Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0,443,11,1,0,66,5,0,318,0,0,68.13213587
5.100774,5353,0,1,0,174,1,132,174,132,0,0
7.285455,53,0,48,0,84,2,160,244,42,0,0.121847868
0,53,0,48,0,84,2,212,296,42,0,0.1219079494
0.121848,53085,0,48,0,160,2,160,244,118,0.121847868,0.121847868
6.00E-05,51510,0,48,0,212,2,212,296,170,0.1219079494,0.1219079494
0.09867,443,2,48,0,78,53,10892,14410,0,0,30.23164392
0.032948,58510,12,48,0,74,53,10892,14410,0,0.03294801712,30.23164392
0.003988,443,10,48,0,66,53,10892,14410,0,0.003988027573,30.23164392
0,443,18,48,0,583,53,10892,14410,517,0,30.23164392
0.034488,58510,10,48,0,66,53,10892,14410,0,0.03448796272,30.23164392
0.000113,58510,10,48,0,1514,53,10892,14410,1448,0.0001130104065,30.23164392
3.40E-05,58510,18,48,0,1514,53,10892,14410,1448,3.39E-05,30.23164392
0.000127,58510,18,48,0,1266,53,10892,14410,1200,0.0001270771027,30.23164392
5.70E-05,58510,10,48,0,1514,53,10892,14410,1448,5.70E-05,30.23164392
2.70E-05,58510,18,48,0,617,53,10892,14410,551,2.69E-05,30.23164392
0.003189,443,10,48,0,66,53,10892,14410,0,0.003189086914,30.23164392
0.001211,443,10,48,0,66,53,10892,14410,0,0.001210927963,30.23164392
0,443,10,48,0,66,53,10892,14410,0,0,30.23164392
0.016774,443,18,48,0,130,53,10892,14410,64,0.01677417755,30.23164392
0.011925,443,18,48,0,112,53,10892,14410,46,0.01192498207,30.23164392
0,443,18,48,0,109,53,10892,14410,43,0,30.23164392
0.000147,443,18,48,0,101,53,10892,14410,35,0.0001468658447,30.23164392
0,443,18,48,0,1141,53,10892,14410,1075,0,30.23164392
0.00116,443,18,48,0,202,53,10892,14410,136,0.001160144806,30.23164392
0.000288,443,18,48,0,502,53,10892,14410,436,0.0002880096436,30.23164392
0.001787,443,18,48,0,503,53,10892,14410,437,0.00178694725,30.23164392
0,443,18,48,0,97,53,10892,14410,31,0,30.23164392
0.015671,58510,10,48,0,66,53,10892,14410,0,0.01567101479,30.23164392
0.001165,58510,18,48,0,337,53,10892,14410,271,0.001164913177,30.23164392
0.000941,58510,18,48,0,337,53,10892,14410,271,0.0009410381317,30.23164392
2.70E-05,58510,18,48,0,128,53,10892,14410,62,2.69E-05,30.23164392
0.002571,443,10,48,0,66,53,10892,14410,0,0.002571105957,30.23164392
0.000385,443,10,48,0,66,53,10892,14410,0,0.0003848075867,30.23164392
0,443,18,48,0,97,53,10892,14410,31,0,30.23164392
0.00649,58510,10,48,0,66,53,10892,14410,0,0.00649023056,30.23164392
6.80E-05,58510,10,48,0,66,53,10892,14410,0,6.79E-05,30.23164392
6.50E-05,58510,10,48,0,66,53,10892,14410,0,6.48E-05,30.23164392
0.000118,58510,10,48,0,66,53,10892,14410,0,0.0001180171967,30.23164392
0.000147,58510,10,48,0,66,53,10892,14410,0,0.0001471042633,30.23164392
2.50E-05,58510,18,48,0,97,53,10892,14410,31,2.50E-05,30.23164392
0.001992,58510,10,48,0,66,53,10892,14410,0,0.001991987228,30.23164392
0.000334,443,10,48,0,66,53,10892,14410,0,0.0003340244293,30.23164392
0.00018,58510,10,48,0,66,53,10892,14410,0,0.0001800060272,30.23164392
0.017162,58510,10,48,0,66,53,10892,14410,0,0.01716184616,30.23164392
0.028229,58510,18,48,0,642,53,10892,14410,576,0.02822899818,30.23164392
0.000311,58510,18,48,0,644,53,10892,14410,578,0.0003111362457,30.23164392
0.000409,58510,18,48,0,97,53,10892,14410,31,0.0004088878632,30.23164392
0.001756,443,10,48,0,66,53,10892,14410,0,0.001755952835,30.23164392
0.001177,443,10,48,0,66,53,10892,14410,0,0.001177072525,30.23164392
4.241038,443,11,104,0,66,5,0,318,0,17.03533101,68.13213587
0.695992,53,0,104,0,100,2,201,285,58,0,0.02174401283
0,53,0,104,0,100,2,212,296,58,0,0.03142285347
0.002124,53,0,104,0,93,2,186,270,51,0,0.0265982151
0,53,0,104,0,93,2,198,282,51,0,0.03428721428
