Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,1336,0,156.0,6.0,612.0,936.0,102.0,0.0,0.0018451213836669
0.000418,443.0,018,1336,0,156.0,6.0,612.0,936.0,102.0,0.000417947769165,0.0018451213836669
0.000355,443.0,011,1336,0,156.0,6.0,612.0,936.0,102.0,0.0003550052642822,0.0018451213836669
0.000374,1044.0,010,1336,0,156.0,6.0,612.0,936.0,102.0,0.0003740787506103,0.0018451213836669
0.000347,1044.0,011,1336,0,156.0,6.0,612.0,936.0,102.0,0.0003468990325927,0.0018451213836669
0.000351,443.0,010,1336,0,156.0,6.0,612.0,936.0,102.0,0.0003511905670166,0.0018451213836669
0.000419,12177.0,0,1336,0,192.0,117.0,12402.0,179434.0,106.0,0.0,0.527163028717041
0.000399,12177.0,0,1336,0,192.0,117.0,12402.0,179434.0,106.0,0.0003988742828369,0.527163028717041
0.000404,9999.0,002,1336,0,216.0,18.0,14668.0,15656.0,150.0,0.0,0.4553771018981933
0.00043,31412.0,012,1336,0,208.0,18.0,14668.0,15656.0,150.0,0.0004301071166992,0.4553771018981933
0.000349,9999.0,010,1336,0,204.0,18.0,14668.0,15656.0,150.0,0.0003488063812255,0.4553771018981933
0.000368,9999.0,018,1336,0,204.0,18.0,14668.0,15656.0,150.0,0.0003681182861328,0.4553771018981933
0.000346,31412.0,010,1336,0,204.0,18.0,14668.0,15656.0,150.0,0.0003459453582763,0.4553771018981933
0.000348,31412.0,010,1336,0,204.0,18.0,14668.0,15656.0,150.0,0.0003480911254882,0.4553771018981933
0.000348,31412.0,010,1336,0,204.0,18.0,14668.0,15656.0,150.0,0.0003478527069091,0.4553771018981933
0.00037,31412.0,018,1336,0,1132.0,18.0,14668.0,15656.0,1078.0,0.0003700256347656,0.4553771018981933
0.000375,9999.0,018,1336,0,1132.0,18.0,14668.0,15656.0,1078.0,0.0003750324249267,0.4553771018981933
0.000356,31412.0,010,1336,0,1132.0,18.0,14668.0,15656.0,1078.0,0.0003559589385986,0.4553771018981933
0.000449,31412.0,018,1336,0,1134.0,18.0,14668.0,15656.0,1080.0,0.0004489421844482,0.4553771018981933
0.000369,31412.0,018,1336,0,1134.0,18.0,14668.0,15656.0,1080.0,0.0003690719604492,0.4553771018981933
0.000354,9999.0,010,1336,0,1134.0,18.0,14668.0,15656.0,1080.0,0.0003540515899658,0.4553771018981933
0.000383,31412.0,010,1336,0,1134.0,18.0,14668.0,15656.0,1080.0,0.0003829002380371,0.4553771018981933
0.000524,53.0,0,1336,0,1122.0,8.0,727.0,9808.0,42.0,0.0,0.0117261409759521
0.000384,49771.0,010,1336,0,1134.0,38.0,56736.0,58836.0,1080.0,0.0,0.5177419185638428
0.000394,80.0,010,1336,0,1134.0,38.0,56736.0,58836.0,1080.0,0.0003938674926757,0.5177419185638428
0.0013,56255.0,0,1336,0,1122.0,8.0,727.0,9808.0,153.0,0.0020780563354492,0.0117261409759521
0.000518,443.0,002,1336,0,1146.0,45.0,65840.0,68426.0,1080.0,0.0,0.4672119617462158
0.000515,53.0,0,1336,0,1122.0,8.0,727.0,9808.0,51.0,0.001033067703247,0.0117261409759521
0.00093,56255.0,0,1336,0,1122.0,8.0,727.0,9808.0,115.0,0.000929832458496,0.0117261409759521
0.000382,31413.0,012,1336,0,1146.0,45.0,65840.0,68426.0,1080.0,0.0018270015716552,0.4672119617462158
0.000359,443.0,010,1336,0,1134.0,45.0,65840.0,68426.0,1080.0,0.0003588199615478,0.4672119617462158
0.000492,53.0,0,1336,0,1122.0,8.0,727.0,9808.0,51.0,0.0012331008911132,0.0117261409759521
0.000381,443.0,018,1336,0,1134.0,45.0,65840.0,68426.0,1080.0,0.0008730888366699,0.4672119617462158
