Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,20,0,100.0,6.0,77.0,401.0,46.0,0.0,0.2831618785858154
0.026531,443.0,018,20,0,85.0,6.0,77.0,401.0,31.0,0.0265309810638427,0.2831618785858154
0.078781,443.0,011,20,0,54.0,6.0,77.0,401.0,0.0,0.0787808895111084,0.2831618785858154
0.025903,1044.0,010,20,0,54.0,6.0,77.0,401.0,0.0,0.0259029865264892,0.2831618785858154
0.083816,1044.0,011,20,0,54.0,6.0,77.0,401.0,0.0,0.0838160514831543,0.2831618785858154
0.068131,443.0,010,20,0,54.0,6.0,77.0,401.0,0.0,0.0681309700012207,0.2831618785858154
0.015321,12177.0,0,20,0,148.0,117.0,12402.0,17316.0,106.0,0.0,77.52185392379761
0.0825,12177.0,0,20,0,148.0,117.0,12402.0,17316.0,106.0,0.0824999809265136,77.52185392379761
0.044445,9999.0,002,20,0,66.0,18.0,2810.0,3798.0,0.0,0.0,66.9053270816803
0.07088,31412.0,012,20,0,58.0,18.0,2810.0,3798.0,0.0,0.0708799362182617,66.9053270816803
0.03358,9999.0,010,20,0,54.0,18.0,2810.0,3798.0,0.0,0.0335800647735595,66.9053270816803
0.034079,9999.0,018,20,0,91.0,18.0,2810.0,3798.0,37.0,0.0340790748596191,66.9053270816803
0.079894,31412.0,010,20,0,54.0,18.0,2810.0,3798.0,0.0,0.0798938274383544,66.9053270816803
0.021003,31412.0,010,20,0,54.0,18.0,2810.0,3798.0,0.0,0.0210030078887939,66.9053270816803
0.012656,31412.0,010,20,0,54.0,18.0,2810.0,3798.0,0.0,0.0126559734344482,66.9053270816803
0.020923,31412.0,018,20,0,1076.0,18.0,2810.0,3798.0,1022.0,0.0209231376647949,66.9053270816803
0.054864,9999.0,018,20,0,222.0,18.0,2810.0,3798.0,168.0,0.0548639297485351,66.9053270816803
0.091559,31412.0,010,20,0,54.0,18.0,2810.0,3798.0,0.0,0.0915589332580566,66.9053270816803
0.06957,31412.0,018,20,0,1078.0,18.0,2810.0,3798.0,1024.0,0.0695700645446777,66.9053270816803
0.037629,31412.0,018,20,0,613.0,18.0,2810.0,3798.0,559.0,0.0376291275024414,66.9053270816803
0.075629,9999.0,010,15,0,54.0,18.0,2810.0,3798.0,0.0,0.0756289958953857,66.9053270816803
0.06279,31412.0,010,15,0,54.0,18.0,2810.0,3798.0,0.0,0.0627899169921875,66.9053270816803
0.08015,53.0,0,15,0,84.0,8.0,727.0,1063.0,42.0,0.0,1.4703271389007568
0.023279,49771.0,010,15,0,54.0,38.0,4.0,2104.0,0.0,0.0,76.21921801567078
0.081182,80.0,010,15,0,54.0,38.0,4.0,2104.0,0.0,0.0811820030212402,76.21921801567078
0.084369,56255.0,0,15,0,195.0,8.0,727.0,1063.0,153.0,0.1888301372528076,1.4703271389007568
0.071291,443.0,002,15,0,66.0,45.0,6404.0,8990.0,0.0,0.0,69.0410099029541
0.065237,53.0,0,15,0,93.0,8.0,727.0,1063.0,51.0,0.1365280151367187,1.4703271389007568
0.017429,56255.0,0,15,0,157.0,8.0,727.0,1063.0,115.0,0.0174288749694824,1.4703271389007568
0.08431,31413.0,012,15,0,66.0,45.0,6404.0,8990.0,0.0,0.1669759750366211,69.0410099029541
0.091739,443.0,010,15,0,54.0,45.0,6404.0,8990.0,0.0,0.0917389392852783,69.0410099029541
0.043916,53.0,0,15,0,93.0,8.0,727.0,1063.0,51.0,0.2199649810791015,1.4703271389007568
0.096793,443.0,018,15,0,571.0,45.0,6404.0,8990.0,517.0,0.1407091617584228,69.0410099029541
0.068415,53.0,0,15,0,93.0,8.0,727.0,1063.0,51.0,0.165208101272583,1.4703271389007568
0.099543,31413.0,010,15,0,54.0,45.0,6404.0,8990.0,0.0,0.1679580211639404,69.0410099029541
0.082089,31413.0,010,18,0,1494.0,45.0,6404.0,8990.0,1440.0,0.0820889472961425,69.0410099029541
0.064668,31413.0,018,18,0,1494.0,45.0,6404.0,8990.0,1440.0,0.0646679401397705,69.0410099029541
0.024323,31413.0,018,18,0,1172.0,45.0,6404.0,8990.0,1118.0,0.0243229866027832,69.0410099029541
0.101773,56255.0,0,18,0,174.0,8.0,727.0,1063.0,132.0,0.3723959922790527,1.4703271389007568
0.017785,443.0,010,18,0,54.0,45.0,6404.0,8990.0,0.0,0.1195580959320068,69.0410099029541
0.028244,443.0,018,18,0,118.0,45.0,6404.0,8990.0,64.0,0.0282440185546875,69.0410099029541
0.056793,443.0,018,18,0,417.0,45.0,6404.0,8990.0,363.0,0.0567929744720459,69.0410099029541
0.044869,31413.0,010,18,0,54.0,45.0,6404.0,8990.0,0.0,0.0448689460754394,69.0410099029541
0.061983,31413.0,010,18,0,54.0,45.0,6404.0,8990.0,0.0,0.0619828701019287,69.0410099029541
0.042372,31413.0,018,18,0,1480.0,45.0,6404.0,8990.0,1426.0,0.0423719882965087,69.0410099029541
0.059135,443.0,010,18,0,54.0,45.0,6404.0,8990.0,0.0,0.0591351985931396,69.0410099029541
0.05879,56255.0,0,18,0,174.0,8.0,727.0,1063.0,132.0,0.3699710369110107,1.4703271389007568
0.023044,53.0,0,18,0,96.0,6.0,507.0,759.0,54.0,0.0,0.6674871444702148
0.036767,59322.0,0,18,0,179.0,6.0,507.0,759.0,137.0,0.0367670059204101,0.6674871444702148
0.041842,53.0,0,18,0,113.0,6.0,507.0,759.0,71.0,0.041841983795166,0.6674871444702148
0.038057,443.0,002,18,0,66.0,32.0,6708.0,8460.0,0.0,0.0,68.34680891036987
0.068334,53.0,0,18,0,113.0,6.0,507.0,759.0,71.0,0.1063911914825439,0.6674871444702148
0.089566,59322.0,0,18,0,129.0,6.0,507.0,759.0,87.0,0.0895659923553466,0.6674871444702148
0.094831,31414.0,012,17,0,66.0,32.0,6708.0,8460.0,0.0,0.2527310848236084,68.34680891036987
0.077803,443.0,010,17,0,54.0,32.0,6708.0,8460.0,0.0,0.0778028964996337,68.34680891036987
0.013233,53.0,0,17,0,113.0,4.0,470.0,638.0,71.0,0.0,0.9568819999694824
0.097444,443.0,018,17,0,571.0,32.0,6708.0,8460.0,517.0,0.1106770038604736,68.34680891036987
0.10961,59322.0,0,17,0,129.0,6.0,507.0,759.0,87.0,0.392920970916748,0.6674871444702148
0.030866,12177.0,0,17,0,148.0,117.0,12402.0,17316.0,106.0,2.981374979019165,77.52185392379761
0.083093,12177.0,0,17,0,148.0,117.0,12402.0,17316.0,106.0,0.0830929279327392,77.52185392379761
0.015153,31414.0,010,17,0,54.0,32.0,6708.0,8460.0,0.0,0.2387220859527588,68.34680891036987
0.084143,31414.0,010,17,0,1484.0,32.0,6708.0,8460.0,1430.0,0.0841429233551025,68.34680891036987
0.012686,31414.0,018,17,0,1484.0,32.0,6708.0,8460.0,1430.0,0.012686014175415,68.34680891036987
0.059672,31414.0,010,17,0,1484.0,32.0,6708.0,8460.0,1430.0,0.0596718788146972,68.34680891036987
0.071412,31414.0,018,17,0,303.0,32.0,6708.0,8460.0,249.0,0.0714120864868164,68.34680891036987
0.041324,443.0,010,17,0,54.0,32.0,6708.0,8460.0,0.0,0.0413241386413574,68.34680891036987
0.0531,53.0,0,17,0,113.0,4.0,470.0,638.0,71.0,0.6585030555725098,0.9568819999694824
0.022512,53.0,0,17,0,74.0,4.0,326.0,494.0,32.0,0.0,0.3472020626068115
0.093314,62256.0,0,17,0,206.0,4.0,470.0,638.0,164.0,0.11582612991333,0.9568819999694824
0.096698,53.0,0,17,0,74.0,4.0,326.0,494.0,32.0,0.190011978149414,0.3472020626068115
0.021318,49364.0,0,21,0,173.0,4.0,326.0,494.0,131.0,0.0213181972503662,0.3472020626068115
0.064537,62256.0,0,21,0,206.0,4.0,470.0,638.0,164.0,0.1825528144836425,0.9568819999694824
0.071335,49364.0,0,21,0,173.0,4.0,326.0,494.0,131.0,0.1358718872070312,0.3472020626068115
0.056447,80.0,002,21,0,66.0,33.0,1745.0,3695.0,0.0,0.0,66.48246788978577
0.075103,53.0,0,21,0,81.0,4.0,220.0,388.0,39.0,0.0,0.3049449920654297
0.020134,53.0,0,21,0,81.0,4.0,220.0,388.0,39.0,0.0201339721679687,0.3049449920654297
0.088627,57980.0,0,21,0,113.0,4.0,220.0,388.0,71.0,0.0886268615722656,0.3049449920654297
0.041251,31415.0,012,21,0,66.0,33.0,1745.0,3695.0,0.0,0.2251150608062744,66.48246788978577
0.058937,80.0,010,21,0,54.0,33.0,1745.0,3695.0,0.0,0.0589368343353271,66.48246788978577
