Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,1823,0,69.0,8.0,77.0,509.0,15.0,0.0,0.0008158683776855
0.0,443.0,018,1823,0,85.0,8.0,77.0,509.0,31.0,0.0,0.0008158683776855
0.000743,443.0,018,1823,0,75.0,8.0,77.0,509.0,21.0,0.0007429122924804,0.0008158683776855
0.0,443.0,018,1823,0,64.0,8.0,77.0,509.0,10.0,0.0,0.0008158683776855
2.3e-05,443.0,011,1823,0,54.0,8.0,77.0,509.0,0.0,2.312660217285156e-05,0.0008158683776855
1.8e-05,1044.0,010,1823,0,54.0,8.0,77.0,509.0,0.0,1.7881393432617188e-05,0.0008158683776855
1.6e-05,1044.0,011,1823,0,54.0,8.0,77.0,509.0,0.0,1.5974044799804688e-05,0.0008158683776855
1.6e-05,443.0,010,1823,0,54.0,8.0,77.0,509.0,0.0,1.5974044799804688e-05,0.0008158683776855
0.000691,12177.0,0,1823,0,100.0,234.0,24804.0,22230.0,106.0,0.0,0.411506175994873
1e-06,12177.0,0,1823,0,90.0,234.0,24804.0,22230.0,106.0,1.1920928955078125e-06,0.411506175994873
0.000701,12177.0,0,1823,0,91.0,234.0,24804.0,22230.0,106.0,0.0007009506225585,0.411506175994873
0.0,12177.0,0,1823,0,99.0,234.0,24804.0,22230.0,106.0,0.0,0.411506175994873
2e-05,9999.0,002,1823,0,66.0,23.0,2810.0,4068.0,0.0,0.0,0.3376119136810303
1.6e-05,31412.0,012,1823,0,58.0,23.0,2810.0,4068.0,0.0,1.5974044799804688e-05,0.3376119136810303
1.7e-05,9999.0,010,1823,0,54.0,23.0,2810.0,4068.0,0.0,1.6927719116210938e-05,0.3376119136810303
0.000783,9999.0,018,1823,0,72.0,23.0,2810.0,4068.0,18.0,0.0007829666137695,0.3376119136810303
0.0,9999.0,018,1823,0,73.0,23.0,2810.0,4068.0,19.0,0.0,0.3376119136810303
1.8e-05,31412.0,010,1823,0,54.0,23.0,2810.0,4068.0,0.0,1.811981201171875e-05,0.3376119136810303
1.6e-05,31412.0,010,1823,0,54.0,23.0,2810.0,4068.0,0.0,1.5974044799804688e-05,0.3376119136810303
1.6e-05,31412.0,010,1823,0,54.0,23.0,2810.0,4068.0,0.0,1.5974044799804688e-05,0.3376119136810303
0.000726,31412.0,018,1823,0,416.0,23.0,2810.0,4068.0,362.0,0.0007259845733642,0.3376119136810303
0.0,31412.0,018,1823,0,714.0,23.0,2810.0,4068.0,660.0,0.0,0.3376119136810303
0.000733,9999.0,018,1823,0,121.0,23.0,2810.0,4068.0,67.0,0.0007331371307373,0.3376119136810303
0.0,9999.0,018,1823,0,155.0,23.0,2810.0,4068.0,101.0,0.0,0.3376119136810303
1.8e-05,31412.0,010,1823,0,54.0,23.0,2810.0,4068.0,0.0,1.7881393432617188e-05,0.3376119136810303
0.000733,31412.0,018,1823,0,514.0,23.0,2810.0,4068.0,460.0,0.0007328987121582,0.3376119136810303
0.0,31412.0,018,1823,0,618.0,23.0,2810.0,4068.0,564.0,0.0,0.3376119136810303
0.000778,31412.0,018,1823,0,387.0,23.0,2810.0,4068.0,333.0,0.0007781982421875,0.3376119136810303
1e-06,31412.0,018,1823,0,280.0,23.0,2810.0,4068.0,226.0,9.5367431640625e-07,0.3376119136810303
1.8e-05,9999.0,010,1823,0,54.0,23.0,2810.0,4068.0,0.0,1.7881393432617188e-05,0.3376119136810303
1.6e-05,31412.0,010,1823,0,54.0,23.0,2810.0,4068.0,0.0,1.5974044799804688e-05,0.3376119136810303
0.000918,53.0,0,1823,0,65.0,16.0,1454.0,1399.0,42.0,0.0,0.013118028640747
0.0,53.0,0,1823,0,61.0,16.0,1454.0,1399.0,42.0,0.0,0.013118028640747
3.1e-05,49771.0,010,1823,0,54.0,38.0,4.0,2104.0,0.0,0.0,0.4014279842376709
1.8e-05,80.0,010,1823,0,54.0,38.0,4.0,2104.0,0.0,1.7881393432617188e-05,0.4014279842376709
0.001603,56255.0,0,1823,0,93.0,16.0,1454.0,1399.0,153.0,0.0016520023345947,0.013118028640747
0.0,56255.0,0,1823,0,144.0,16.0,1454.0,1399.0,153.0,0.0,0.013118028640747
2e-05,443.0,002,1823,0,66.0,53.0,6404.0,9422.0,0.0,0.0,0.3422939777374267
0.000935,53.0,0,1823,0,71.0,16.0,1454.0,1399.0,51.0,0.0009548664093017,0.013118028640747
0.0,53.0,0,1823,0,64.0,16.0,1454.0,1399.0,51.0,0.0,0.013118028640747
0.001348,56255.0,0,1823,0,86.0,16.0,1454.0,1399.0,115.0,0.0013480186462402,0.013118028640747
1e-06,56255.0,0,1823,0,113.0,16.0,1454.0,1399.0,115.0,9.5367431640625e-07,0.013118028640747
1.9e-05,31413.0,012,1823,0,66.0,53.0,6404.0,9422.0,0.0,0.0023028850555419,0.3422939777374267
1.7e-05,443.0,010,1823,0,54.0,53.0,6404.0,9422.0,0.0,1.6927719116210938e-05,0.3422939777374267
0.000868,53.0,0,1823,0,65.0,16.0,1454.0,1399.0,51.0,0.0009040832519531,0.013118028640747
0.0,53.0,0,1823,0,70.0,16.0,1454.0,1399.0,51.0,0.0,0.013118028640747
0.000734,443.0,018,1823,0,254.0,53.0,6404.0,9422.0,200.0,0.0016021728515625,0.3422939777374267
0.0,443.0,018,1823,0,371.0,53.0,6404.0,9422.0,317.0,0.0,0.3422939777374267
0.000875,53.0,0,1823,0,74.0,16.0,1454.0,1399.0,51.0,0.0016090869903564,0.013118028640747
0.0,53.0,0,1823,0,61.0,16.0,1454.0,1399.0,51.0,0.0,0.013118028640747
1.8e-05,31413.0,010,1823,0,54.0,53.0,6404.0,9422.0,0.0,0.0008928775787353,0.3422939777374267
0.000743,31413.0,010,1823,0,965.0,53.0,6404.0,9422.0,911.0,0.0007431507110595,0.3422939777374267
1e-06,31413.0,010,1823,0,583.0,53.0,6404.0,9422.0,529.0,9.5367431640625e-07,0.3422939777374267
0.000801,31413.0,018,1823,0,897.0,53.0,6404.0,9422.0,843.0,0.0008008480072021,0.3422939777374267
1e-06,31413.0,018,1823,0,651.0,53.0,6404.0,9422.0,597.0,1.1920928955078125e-06,0.3422939777374267
0.000726,31413.0,018,1823,0,462.0,53.0,6404.0,9422.0,408.0,0.0007259845733642,0.3422939777374267
0.0,31413.0,018,1823,0,764.0,53.0,6404.0,9422.0,710.0,0.0,0.3422939777374267
0.000995,56255.0,0,1823,0,97.0,16.0,1454.0,1399.0,132.0,0.0032849311828613,0.013118028640747
0.0,56255.0,0,1823,0,119.0,16.0,1454.0,1399.0,132.0,0.0,0.013118028640747
1.9e-05,443.0,010,1823,0,54.0,53.0,6404.0,9422.0,0.0,0.0010139942169189,0.3422939777374267
0.000725,443.0,018,1823,0,81.0,53.0,6404.0,9422.0,27.0,0.0007250308990478,0.3422939777374267
1e-06,443.0,018,1823,0,91.0,53.0,6404.0,9422.0,37.0,9.5367431640625e-07,0.3422939777374267
0.000792,443.0,018,1823,0,259.0,53.0,6404.0,9422.0,205.0,0.0007920265197753,0.3422939777374267
0.0,443.0,018,1823,0,212.0,53.0,6404.0,9422.0,158.0,0.0,0.3422939777374267
1.8e-05,31413.0,010,1823,0,54.0,53.0,6404.0,9422.0,0.0,1.7881393432617188e-05,0.3422939777374267
1.6e-05,31413.0,010,1823,0,54.0,53.0,6404.0,9422.0,0.0,1.5974044799804688e-05,0.3422939777374267
0.000729,31413.0,018,1823,0,607.0,53.0,6404.0,9422.0,553.0,0.0007290840148925,0.3422939777374267
1e-06,31413.0,018,1823,0,927.0,53.0,6404.0,9422.0,873.0,9.5367431640625e-07,0.3422939777374267
3.4e-05,443.0,010,1823,0,54.0,53.0,6404.0,9422.0,0.0,3.409385681152344e-05,0.3422939777374267
0.001028,56255.0,0,1823,0,128.0,16.0,1454.0,1399.0,132.0,0.0033628940582275,0.013118028640747
1e-06,56255.0,0,1823,0,88.0,16.0,1454.0,1399.0,132.0,1.1920928955078125e-06,0.013118028640747
0.000892,53.0,0,1823,0,64.0,12.0,1014.0,1011.0,54.0,0.0,0.0071101188659667
0.0,53.0,0,1823,0,74.0,12.0,1014.0,1011.0,54.0,0.0,0.0071101188659667
0.001157,59322.0,0,1823,0,93.0,12.0,1014.0,1011.0,137.0,0.0011570453643798,0.0071101188659667
1e-06,59322.0,0,1823,0,128.0,12.0,1014.0,1011.0,137.0,9.5367431640625e-07,0.0071101188659667
0.000927,53.0,0,1823,0,67.0,12.0,1014.0,1011.0,71.0,0.0009269714355468,0.0071101188659667
0.0,53.0,0,1823,0,88.0,12.0,1014.0,1011.0,71.0,0.0,0.0071101188659667
2.6e-05,443.0,002,1823,0,66.0,51.0,6708.0,9486.0,0.0,0.0,0.3308939933776855
0.00092,53.0,0,1823,0,66.0,12.0,1014.0,1011.0,71.0,0.000946044921875,0.0071101188659667
0.0,53.0,0,1823,0,89.0,12.0,1014.0,1011.0,71.0,0.0,0.0071101188659667
0.001247,59322.0,0,1823,0,81.0,12.0,1014.0,1011.0,87.0,0.0012469291687011,0.0071101188659667
0.0,59322.0,0,1823,0,90.0,12.0,1014.0,1011.0,87.0,0.0,0.0071101188659667
2.2e-05,31414.0,012,1823,0,66.0,51.0,6708.0,9486.0,0.0,0.0021891593933105,0.3308939933776855
1.8e-05,443.0,010,1823,0,54.0,51.0,6708.0,9486.0,0.0,1.7881393432617188e-05,0.3308939933776855
0.000976,53.0,0,1823,0,85.0,8.0,940.0,806.0,71.0,0.0,0.0122380256652832
0.0,53.0,0,1823,0,70.0,8.0,940.0,806.0,71.0,0.0,0.0122380256652832
0.000751,443.0,018,1823,0,296.0,51.0,6708.0,9486.0,242.0,0.0017271041870117,0.3308939933776855
0.0,443.0,018,1823,0,329.0,51.0,6708.0,9486.0,275.0,0.0,0.3308939933776855
0.001065,59322.0,0,1823,0,78.0,12.0,1014.0,1011.0,87.0,0.0028321743011474,0.0071101188659667
0.0,59322.0,0,1823,0,93.0,12.0,1014.0,1011.0,87.0,0.0,0.0071101188659667
0.000681,12177.0,0,1823,0,104.0,234.0,24804.0,22230.0,106.0,0.0266280174255371,0.411506175994873
0.0,12177.0,0,1823,0,86.0,234.0,24804.0,22230.0,106.0,0.0,0.411506175994873
0.000679,12177.0,0,1823,0,110.0,234.0,24804.0,22230.0,106.0,0.0006790161132812,0.411506175994873
1e-06,12177.0,0,1823,0,80.0,234.0,24804.0,22230.0,106.0,9.5367431640625e-07,0.411506175994873
1.9e-05,31414.0,010,1823,0,54.0,51.0,6708.0,9486.0,0.0,0.0024449825286865,0.3308939933776855
0.000741,31414.0,010,1823,0,671.0,51.0,6708.0,9486.0,617.0,0.0007410049438476,0.3308939933776855
