Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,1216,0,254.0,6.0,926.0,1250.0,200.0,0.0,0.0014789104461669
0.000312,443.0,018,1216,0,200.0,6.0,926.0,1250.0,146.0,0.0003120899200439,0.0014789104461669
0.000297,443.0,011,1216,0,291.0,6.0,926.0,1250.0,237.0,0.0002968311309814,0.0014789104461669
0.000292,1044.0,010,1216,0,177.0,6.0,926.0,1250.0,123.0,0.0002920627593994,0.0014789104461669
0.00029,1044.0,011,1216,0,160.0,6.0,926.0,1250.0,106.0,0.0002899169921875,0.0014789104461669
0.000288,443.0,010,1216,0,168.0,6.0,926.0,1250.0,114.0,0.0002880096435546,0.0014789104461669
0.000342,12177.0,0,1216,0,154.0,105.0,11130.0,29352.0,106.0,0.0,0.3867280483245849
0.000303,12177.0,0,1216,0,313.0,105.0,11130.0,29352.0,106.0,0.000303030014038,0.3867280483245849
0.000303,9999.0,002,1216,0,205.0,15.0,1960.0,2786.0,139.0,0.0,0.3222908973693847
0.00029,31412.0,012,1216,0,164.0,15.0,1960.0,2786.0,106.0,0.0002899169921875,0.3222908973693847
0.000292,9999.0,010,1216,0,171.0,15.0,1960.0,2786.0,117.0,0.0002920627593994,0.3222908973693847
0.000295,9999.0,018,1216,0,126.0,15.0,1960.0,2786.0,72.0,0.0002949237823486,0.3222908973693847
0.000286,31412.0,010,1216,0,268.0,15.0,1960.0,2786.0,214.0,0.0002861022949218,0.3222908973693847
0.000344,31412.0,010,1216,0,293.0,15.0,1960.0,2786.0,239.0,0.0003437995910644,0.3222908973693847
0.00029,31412.0,010,1216,0,153.0,15.0,1960.0,2786.0,99.0,0.0002901554107666,0.3222908973693847
0.000348,9999.0,018,1216,0,369.0,15.0,1960.0,2786.0,315.0,0.0003478527069091,0.3222908973693847
0.000286,31412.0,010,1216,0,124.0,15.0,1960.0,2786.0,70.0,0.0002861022949218,0.3222908973693847
0.000349,9999.0,010,1216,0,133.0,15.0,1960.0,2786.0,79.0,0.0003490447998046,0.3222908973693847
0.000287,31412.0,010,1216,0,171.0,15.0,1960.0,2786.0,117.0,0.0002868175506591,0.3222908973693847
0.00036,53.0,0,1216,0,239.0,8.0,727.0,2164.0,42.0,0.0,0.0067181587219238
0.000304,49771.0,010,1216,0,185.0,38.0,4732.0,6832.0,131.0,0.0,0.3806347846984863
0.000302,80.0,010,1216,0,258.0,38.0,4732.0,6832.0,204.0,0.0003018379211425,0.3806347846984863
0.00035,56255.0,0,1216,0,362.0,8.0,727.0,2164.0,153.0,0.0009560585021972,0.0067181587219238
0.000304,443.0,002,1216,0,93.0,42.0,8012.0,10436.0,27.0,0.0,0.3477730751037597
0.00032,53.0,0,1216,0,221.0,8.0,727.0,2164.0,51.0,0.0006239414215087,0.0067181587219238
