Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,1336,0,140.0,6.0,902.0,1226.0,86.0,0.0,0.0015299320220947
0.000333,443.0,018,1336,0,278.0,6.0,902.0,1226.0,224.0,0.0003330707550048,0.0015299320220947
0.000302,443.0,011,1336,0,296.0,6.0,902.0,1226.0,242.0,0.0003018379211425,0.0015299320220947
0.0003,1044.0,010,1336,0,111.0,6.0,902.0,1226.0,57.0,0.0003001689910888,0.0015299320220947
0.000297,1044.0,011,1336,0,280.0,6.0,902.0,1226.0,226.0,0.0002968311309814,0.0015299320220947
0.000298,443.0,010,1336,0,121.0,6.0,902.0,1226.0,67.0,0.0002980232238769,0.0015299320220947
0.000316,12177.0,0,1336,0,193.0,117.0,12402.0,32768.0,106.0,0.0,0.426365852355957
0.000307,12177.0,0,1336,0,339.0,117.0,12402.0,32768.0,106.0,0.0003068447113037,0.426365852355957
0.000309,9999.0,002,1336,0,123.0,18.0,5440.0,6428.0,57.0,0.0,0.371204137802124
0.000297,31412.0,012,1336,0,299.0,18.0,5440.0,6428.0,241.0,0.0002970695495605,0.371204137802124
0.000295,9999.0,010,1336,0,147.0,18.0,5440.0,6428.0,93.0,0.0002949237823486,0.371204137802124
0.000303,9999.0,018,1336,0,271.0,18.0,5440.0,6428.0,217.0,0.000303030014038,0.371204137802124
0.000296,31412.0,010,1336,0,293.0,18.0,5440.0,6428.0,239.0,0.0002961158752441,0.371204137802124
0.000346,31412.0,010,1336,0,163.0,18.0,5440.0,6428.0,109.0,0.0003459453582763,0.371204137802124
0.000297,31412.0,010,1336,0,240.0,18.0,5440.0,6428.0,186.0,0.0002970695495605,0.371204137802124
0.000309,31412.0,018,1336,0,1295.0,18.0,5440.0,6428.0,1241.0,0.0003089904785156,0.371204137802124
0.000299,9999.0,018,1336,0,286.0,18.0,5440.0,6428.0,232.0,0.0002989768981933,0.371204137802124
0.000292,31412.0,010,1336,0,127.0,18.0,5440.0,6428.0,73.0,0.0002920627593994,0.371204137802124
0.000305,31412.0,018,1336,0,1205.0,18.0,5440.0,6428.0,1151.0,0.0003049373626708,0.371204137802124
0.000322,31412.0,018,1336,0,669.0,18.0,5440.0,6428.0,615.0,0.0003221035003662,0.371204137802124
0.00029,9999.0,010,1336,0,183.0,18.0,5440.0,6428.0,129.0,0.0002899169921875,0.371204137802124
0.00029,31412.0,010,1336,0,272.0,18.0,5440.0,6428.0,218.0,0.0002899169921875,0.371204137802124
0.000339,53.0,0,1336,0,216.0,8.0,727.0,1951.0,42.0,0.0,0.0099971294403076
0.000303,49771.0,010,1336,0,185.0,38.0,4781.0,6881.0,131.0,0.0,0.4188640117645263
0.000293,80.0,010,1336,0,102.0,38.0,4781.0,6881.0,48.0,0.0002930164337158,0.4188640117645263
0.000364,56255.0,0,1336,0,385.0,8.0,727.0,1951.0,153.0,0.0009601116180419,0.0099971294403076
0.000332,443.0,002,1336,0,120.0,45.0,12444.0,15030.0,54.0,0.0,0.3810269832611084
0.000328,53.0,0,1336,0,183.0,8.0,727.0,1951.0,51.0,0.0006599426269531,0.0099971294403076
0.000342,56255.0,0,1336,0,203.0,8.0,727.0,1951.0,115.0,0.0003418922424316,0.0099971294403076
0.000366,31413.0,012,1336,0,99.0,45.0,12444.0,15030.0,33.0,0.0010359287261962,0.3810269832611084
0.000296,443.0,010,1336,0,71.0,45.0,12444.0,15030.0,17.0,0.0002961158752441,0.3810269832611084
0.000326,53.0,0,1336,0,332.0,8.0,727.0,1951.0,51.0,0.0009880065917968,0.0099971294403076
0.00036,443.0,018,1336,0,809.0,45.0,12444.0,15030.0,755.0,0.0006859302520751,0.3810269832611084
0.000375,53.0,0,1336,0,112.0,8.0,727.0,1951.0,51.0,0.0007350444793701,0.0099971294403076
0.000296,31413.0,010,1336,0,89.0,45.0,12444.0,15030.0,35.0,0.0006711483001708,0.3810269832611084
0.000306,31413.0,010,1336,0,1630.0,45.0,12444.0,15030.0,1576.0,0.0003058910369873,0.3810269832611084
0.000306,31413.0,018,1336,0,1632.0,45.0,12444.0,15030.0,1578.0,0.0003061294555664,0.3810269832611084
0.000309,31413.0,018,1336,0,1413.0,45.0,12444.0,15030.0,1359.0,0.0003089904785156,0.3810269832611084
0.002647,56255.0,0,1336,0,203.0,8.0,727.0,1951.0,132.0,0.003864049911499,0.0099971294403076
0.000302,443.0,010,1336,0,188.0,45.0,12444.0,15030.0,134.0,0.0029489994049072,0.3810269832611084
0.000301,443.0,018,1336,0,305.0,45.0,12444.0,15030.0,251.0,0.0003008842468261,0.3810269832611084
0.000314,443.0,018,1336,0,511.0,45.0,12444.0,15030.0,457.0,0.0003139972686767,0.3810269832611084
0.000296,31413.0,010,1336,0,218.0,45.0,12444.0,15030.0,164.0,0.0002961158752441,0.3810269832611084
0.000289,31413.0,010,1336,0,128.0,45.0,12444.0,15030.0,74.0,0.000288963317871,0.3810269832611084
0.000316,31413.0,018,1336,0,1655.0,45.0,12444.0,15030.0,1601.0,0.0003159046173095,0.3810269832611084
0.000291,443.0,010,1336,0,128.0,45.0,12444.0,15030.0,74.0,0.000291109085083,0.3810269832611084
0.000339,56255.0,0,1336,0,317.0,8.0,727.0,1951.0,132.0,0.0024480819702148,0.0099971294403076
0.000318,53.0,0,1336,0,208.0,6.0,507.0,1509.0,54.0,0.0,0.0032510757446289
0.000334,59322.0,0,1336,0,199.0,6.0,507.0,1509.0,137.0,0.0003340244293212,0.0032510757446289
0.000381,53.0,0,1336,0,225.0,6.0,507.0,1509.0,71.0,0.0003809928894042,0.0032510757446289
0.000308,443.0,002,1336,0,193.0,32.0,10299.0,12051.0,127.0,0.0,0.3740379810333252
0.000334,53.0,0,1336,0,220.0,6.0,507.0,1509.0,71.0,0.0006420612335205,0.0032510757446289
0.00033,59322.0,0,1336,0,385.0,6.0,507.0,1509.0,87.0,0.0003299713134765,0.0032510757446289
0.000308,31414.0,012,1336,0,240.0,32.0,10299.0,12051.0,174.0,0.000972032546997,0.3740379810333252
0.000305,443.0,010,1336,0,69.0,32.0,10299.0,12051.0,15.0,0.0003049373626708,0.3740379810333252
0.000317,53.0,0,1336,0,231.0,4.0,470.0,1192.0,71.0,0.0,0.005281925201416
0.000307,443.0,018,1336,0,675.0,32.0,10299.0,12051.0,621.0,0.0006239414215087,0.3740379810333252
0.000327,59322.0,0,1336,0,272.0,6.0,507.0,1509.0,87.0,0.0015640258789062,0.0032510757446289
0.000303,12177.0,0,1336,0,283.0,117.0,12402.0,32768.0,106.0,0.0184581279754638,0.426365852355957
0.0003,12177.0,0,1336,0,355.0,117.0,12402.0,32768.0,106.0,0.0002999305725097,0.426365852355957
0.000287,31414.0,010,1336,0,149.0,32.0,10299.0,12051.0,95.0,0.0012171268463134,0.3740379810333252
0.000304,31414.0,010,1336,0,1561.0,32.0,10299.0,12051.0,1507.0,0.0003039836883544,0.3740379810333252
0.000307,31414.0,018,1336,0,1600.0,32.0,10299.0,12051.0,1546.0,0.0003070831298828,0.3740379810333252
0.00036,31414.0,010,1336,0,1707.0,32.0,10299.0,12051.0,1653.0,0.0003600120544433,0.3740379810333252
0.000294,31414.0,018,1336,0,389.0,32.0,10299.0,12051.0,335.0,0.0002939701080322,0.3740379810333252
0.000384,443.0,010,1336,0,58.0,32.0,10299.0,12051.0,4.0,0.0003838539123535,0.3740379810333252
0.000323,53.0,0,1336,0,214.0,4.0,470.0,1192.0,71.0,0.0034959316253662,0.005281925201416
0.000346,53.0,0,1336,0,103.0,4.0,326.0,1178.0,32.0,0.0,0.0017850399017333
0.000389,62256.0,0,1336,0,398.0,4.0,470.0,1192.0,164.0,0.0007350444793701,0.005281925201416
0.00036,53.0,0,1336,0,329.0,4.0,326.0,1178.0,32.0,0.0007491111755371,0.0017850399017333
0.000352,49364.0,0,1336,0,365.0,4.0,326.0,1178.0,131.0,0.0003519058227539,0.0017850399017333
0.000339,62256.0,0,1336,0,349.0,4.0,470.0,1192.0,164.0,0.0010509490966796,0.005281925201416
0.000345,49364.0,0,1336,0,381.0,4.0,326.0,1178.0,131.0,0.0006840229034423,0.0017850399017333
0.000304,80.0,002,1336,0,271.0,33.0,6505.0,8455.0,205.0,0.0,0.3644349575042724
0.000315,53.0,0,1336,0,151.0,4.0,220.0,539.0,39.0,0.0,0.0022401809692382
0.000353,53.0,0,1336,0,103.0,4.0,220.0,539.0,39.0,0.0003530979156494,0.0022401809692382
0.000343,57980.0,0,1336,0,155.0,4.0,220.0,539.0,71.0,0.0003430843353271,0.0022401809692382
0.000305,31415.0,012,1336,0,289.0,33.0,6505.0,8455.0,223.0,0.0013160705566406,0.3644349575042724
0.000292,80.0,010,1336,0,236.0,33.0,6505.0,8455.0,182.0,0.0002920627593994,0.3644349575042724
0.000297,80.0,018,1336,0,595.0,33.0,6505.0,8455.0,541.0,0.0002968311309814,0.3644349575042724
0.000318,53.0,0,1336,0,213.0,14.0,1449.0,3523.0,39.0,0.0,0.373723030090332
0.000332,57980.0,0,1336,0,130.0,4.0,220.0,539.0,71.0,0.0015439987182617,0.0022401809692382
0.00118,55046.0,0,1336,0,228.0,14.0,1449.0,3523.0,95.0,0.0015120506286621,0.373723030090332
0.000316,80.0,018,1336,0,677.0,33.0,6505.0,8455.0,623.0,0.0021460056304931,0.3644349575042724
0.000348,31415.0,018,1336,0,1031.0,33.0,6505.0,8455.0,977.0,0.0003480911254882,0.3644349575042724
0.000297,31415.0,010,1336,0,210.0,33.0,6505.0,8455.0,144.0,0.0002970695495605,0.3644349575042724
0.000296,443.0,018,1336,0,371.0,32.0,10299.0,12051.0,317.0,0.0077500343322753,0.3740379810333252
0.000297,443.0,018,1336,0,433.0,32.0,10299.0,12051.0,379.0,0.0002970695495605,0.3740379810333252
