Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,1336,0,310.0,6.0,974.0,1298.0,256.0,0.0,0.0015380382537841
0.000328,443.0,018,1336,0,254.0,6.0,974.0,1298.0,200.0,0.0003280639648437,0.0015380382537841
0.000307,443.0,011,1336,0,205.0,6.0,974.0,1298.0,151.0,0.0003070831298828,0.0015380382537841
0.000303,1044.0,010,1336,0,266.0,6.0,974.0,1298.0,212.0,0.000303030014038,0.0015380382537841
0.000302,1044.0,011,1336,0,124.0,6.0,974.0,1298.0,70.0,0.0003018379211425,0.0015380382537841
0.000298,443.0,010,1336,0,139.0,6.0,974.0,1298.0,85.0,0.0002980232238769,0.0015380382537841
0.000328,12177.0,0,1336,0,366.0,117.0,12402.0,32230.0,106.0,0.0,0.4227290153503418
0.000315,12177.0,0,1336,0,303.0,117.0,12402.0,32230.0,106.0,0.0003149509429931,0.4227290153503418
0.00032,9999.0,002,1336,0,217.0,18.0,4948.0,5936.0,151.0,0.0,0.3661530017852783
0.000328,31412.0,012,1336,0,276.0,18.0,4948.0,5936.0,218.0,0.0003280639648437,0.3661530017852783
0.000293,9999.0,010,1336,0,94.0,18.0,4948.0,5936.0,40.0,0.0002930164337158,0.3661530017852783
0.000312,9999.0,018,1336,0,230.0,18.0,4948.0,5936.0,176.0,0.0003120899200439,0.3661530017852783
0.000297,31412.0,010,1336,0,210.0,18.0,4948.0,5936.0,156.0,0.0002968311309814,0.3661530017852783
0.000352,31412.0,010,1336,0,165.0,18.0,4948.0,5936.0,111.0,0.000352144241333,0.3661530017852783
0.000299,31412.0,010,1336,0,153.0,18.0,4948.0,5936.0,99.0,0.0002989768981933,0.3661530017852783
0.000357,31412.0,018,1336,0,1078.0,18.0,4948.0,5936.0,1024.0,0.000356912612915,0.3661530017852783
0.000317,9999.0,018,1336,0,354.0,18.0,4948.0,5936.0,300.0,0.000317096710205,0.3661530017852783
0.000297,31412.0,010,1336,0,215.0,18.0,4948.0,5936.0,161.0,0.0002968311309814,0.3661530017852783
0.000351,31412.0,018,1336,0,1284.0,18.0,4948.0,5936.0,1230.0,0.0003511905670166,0.3661530017852783
0.000326,31412.0,018,1336,0,688.0,18.0,4948.0,5936.0,634.0,0.0003259181976318,0.3661530017852783
0.000298,9999.0,010,1336,0,265.0,18.0,4948.0,5936.0,211.0,0.0002980232238769,0.3661530017852783
0.000306,31412.0,010,1336,0,115.0,18.0,4948.0,5936.0,61.0,0.0003058910369873,0.3661530017852783
0.000341,53.0,0,1336,0,153.0,8.0,727.0,1655.0,42.0,0.0,0.0079078674316406
0.0003,49771.0,010,1336,0,121.0,38.0,4867.0,6967.0,67.0,0.0,0.4151630401611328
0.0003,80.0,010,1336,0,239.0,38.0,4867.0,6967.0,185.0,0.0002999305725097,0.4151630401611328
0.000361,56255.0,0,1336,0,282.0,8.0,727.0,1655.0,153.0,0.0009608268737792,0.0079078674316406
0.000317,443.0,002,1336,0,148.0,45.0,11251.0,13837.0,82.0,0.0,0.3760449886322021
0.000337,53.0,0,1336,0,256.0,8.0,727.0,1655.0,51.0,0.0006539821624755,0.0079078674316406
0.000345,56255.0,0,1336,0,201.0,8.0,727.0,1655.0,115.0,0.0003449916839599,0.0079078674316406
0.000371,31413.0,012,1336,0,250.0,45.0,11251.0,13837.0,184.0,0.0010530948638916,0.3760449886322021
