Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,11,0,100.0,6.0,77.0,401.0,46.0,0.0,0.4828062057495117
0.01897,443.0,018,11,0,85.0,6.0,77.0,401.0,31.0,0.0189700126647949,0.4828062057495117
0.155451,443.0,011,11,0,54.0,6.0,77.0,401.0,0.0,0.1554510593414306,0.4828062057495117
0.106174,1044.0,010,11,0,54.0,6.0,77.0,401.0,0.0,0.1061739921569824,0.4828062057495117
0.147955,1044.0,011,11,0,54.0,6.0,77.0,401.0,0.0,0.1479549407958984,0.4828062057495117
0.054256,443.0,010,11,0,54.0,6.0,77.0,401.0,0.0,0.0542562007904052,0.4828062057495117
0.049736,12177.0,0,11,0,148.0,117.0,12402.0,17316.0,106.0,0.0,142.88491082191467
0.040503,12177.0,0,11,0,148.0,117.0,12402.0,17316.0,106.0,0.0405027866363525,142.88491082191467
0.118573,9999.0,002,11,0,66.0,18.0,2810.0,3798.0,0.0,0.0,123.35332584381104
0.156801,31412.0,012,11,0,58.0,18.0,2810.0,3798.0,0.0,0.1568009853363037,123.35332584381104
0.04111,9999.0,010,11,0,54.0,18.0,2810.0,3798.0,0.0,0.0411100387573242,123.35332584381104
0.118106,9999.0,018,8,0,91.0,18.0,2810.0,3798.0,37.0,0.1181058883666992,123.35332584381104
0.139942,31412.0,010,8,0,54.0,18.0,2810.0,3798.0,0.0,0.139941930770874,123.35332584381104
0.053158,31412.0,010,8,0,54.0,18.0,2810.0,3798.0,0.0,0.0531580448150634,123.35332584381104
0.183979,31412.0,010,8,0,54.0,18.0,2810.0,3798.0,0.0,0.1839790344238281,123.35332584381104
0.20062,31412.0,018,8,0,1076.0,18.0,2810.0,3798.0,1022.0,0.2006199359893798,123.35332584381104
0.086729,9999.0,018,8,0,222.0,18.0,2810.0,3798.0,168.0,0.0867290496826171,123.35332584381104
0.115838,31412.0,010,8,0,54.0,18.0,2810.0,3798.0,0.0,0.1158380508422851,123.35332584381104
0.120376,31412.0,018,8,0,1078.0,18.0,2810.0,3798.0,1024.0,0.1203758716583252,123.35332584381104
0.152486,31412.0,018,8,0,613.0,18.0,2810.0,3798.0,559.0,0.1524860858917236,123.35332584381104
0.066826,9999.0,010,8,0,54.0,18.0,2810.0,3798.0,0.0,0.0668261051177978,123.35332584381104
0.168854,31412.0,010,8,0,54.0,18.0,2810.0,3798.0,0.0,0.1688539981842041,123.35332584381104
0.111702,53.0,0,8,0,84.0,8.0,727.0,1063.0,42.0,0.0,3.130236864089966
0.05367,49771.0,010,8,0,54.0,38.0,4.0,2104.0,0.0,0.0,140.37133288383484
0.164462,80.0,010,8,0,54.0,38.0,4.0,2104.0,0.0,0.1644620895385742,140.37133288383484
0.204011,56255.0,0,8,0,195.0,8.0,727.0,1063.0,153.0,0.4221429824829101,3.130236864089966
0.12633,443.0,002,8,0,66.0,45.0,6404.0,8990.0,0.0,0.0,126.64317202568054
0.090769,53.0,0,7,0,93.0,8.0,727.0,1063.0,51.0,0.2170989513397216,3.130236864089966
0.183874,56255.0,0,7,0,157.0,8.0,727.0,1063.0,115.0,0.1838738918304443,3.130236864089966
0.138504,31413.0,012,7,0,66.0,45.0,6404.0,8990.0,0.0,0.41314697265625,126.64317202568054
0.183322,443.0,010,7,0,54.0,45.0,6404.0,8990.0,0.0,0.1833221912384033,126.64317202568054
