Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,15,0,72.0,8.0,77.0,509.0,18.0,0.0,0.4501481056213379
0.02525,443.0,018,15,0,82.0,8.0,77.0,509.0,28.0,0.02524995803833,0.4501481056213379
0.085537,443.0,018,15,0,72.0,8.0,77.0,509.0,18.0,0.0855369567871093,0.4501481056213379
0.102451,443.0,018,15,0,67.0,8.0,77.0,509.0,13.0,0.1024510860443115,0.4501481056213379
0.085899,443.0,011,15,0,54.0,8.0,77.0,509.0,0.0,0.0858991146087646,0.4501481056213379
0.072636,1044.0,010,15,0,54.0,8.0,77.0,509.0,0.0,0.0726358890533447,0.4501481056213379
0.045167,1044.0,011,15,0,54.0,8.0,77.0,509.0,0.0,0.0451669692993164,0.4501481056213379
0.033208,443.0,010,15,0,54.0,8.0,77.0,509.0,0.0,0.0332081317901611,0.4501481056213379
0.090621,12177.0,0,15,0,78.0,234.0,24804.0,22230.0,106.0,0.0,108.2845380306244
0.100163,12177.0,0,15,0,112.0,234.0,24804.0,22230.0,106.0,0.1001629829406738,108.2845380306244
0.074423,12177.0,0,15,0,85.0,234.0,24804.0,22230.0,106.0,0.0744228363037109,108.2845380306244
0.079374,12177.0,0,15,0,105.0,234.0,24804.0,22230.0,106.0,0.079374074935913,108.2845380306244
0.071459,9999.0,002,15,0,66.0,23.0,2810.0,4068.0,0.0,0.0,91.06071496009828
0.087373,31412.0,012,15,0,58.0,23.0,2810.0,4068.0,0.0,0.0873730182647705,91.06071496009828
0.016481,9999.0,010,15,0,54.0,23.0,2810.0,4068.0,0.0,0.0164809226989746,91.06071496009828
0.044184,9999.0,018,17,0,76.0,23.0,2810.0,4068.0,22.0,0.0441839694976806,91.06071496009828
0.042485,9999.0,018,17,0,69.0,23.0,2810.0,4068.0,15.0,0.0424849987030029,91.06071496009828
0.020901,31412.0,010,17,0,54.0,23.0,2810.0,4068.0,0.0,0.0209009647369384,91.06071496009828
0.078137,31412.0,010,17,0,54.0,23.0,2810.0,4068.0,0.0,0.0781371593475341,91.06071496009828
0.034954,31412.0,010,17,0,54.0,23.0,2810.0,4068.0,0.0,0.0349538326263427,91.06071496009828
0.04904,31412.0,018,17,0,408.0,23.0,2810.0,4068.0,354.0,0.0490400791168212,91.06071496009828
0.058561,31412.0,018,17,0,722.0,23.0,2810.0,4068.0,668.0,0.058561086654663,91.06071496009828
0.013012,9999.0,018,17,0,135.0,23.0,2810.0,4068.0,81.0,0.0130119323730468,91.06071496009828
0.074465,9999.0,018,17,0,141.0,23.0,2810.0,4068.0,87.0,0.0744650363922119,91.06071496009828
0.102964,31412.0,010,17,0,54.0,23.0,2810.0,4068.0,0.0,0.1029639244079589,91.06071496009828
0.095438,31412.0,018,17,0,558.0,23.0,2810.0,4068.0,504.0,0.095438003540039,91.06071496009828
0.05585,31412.0,018,17,0,574.0,23.0,2810.0,4068.0,520.0,0.0558500289916992,91.06071496009828
0.09273,31412.0,018,17,0,317.0,23.0,2810.0,4068.0,263.0,0.0927300453186035,91.06071496009828
0.066046,31412.0,018,17,0,350.0,23.0,2810.0,4068.0,296.0,0.0660459995269775,91.06071496009828
0.039497,9999.0,010,17,0,54.0,23.0,2810.0,4068.0,0.0,0.039496898651123,91.06071496009828
0.037112,31412.0,010,17,0,54.0,23.0,2810.0,4068.0,0.0,0.0371119976043701,91.06071496009828
0.055088,53.0,0,17,0,64.0,16.0,1454.0,1399.0,42.0,0.0,2.2553160190582275
0.093279,53.0,0,16,0,62.0,16.0,1454.0,1399.0,42.0,0.0932791233062744,2.2553160190582275
0.013706,49771.0,010,16,0,54.0,38.0,4.0,2104.0,0.0,0.0,105.94805192947388
0.075997,80.0,010,16,0,54.0,38.0,4.0,2104.0,0.0,0.0759968757629394,105.94805192947388
0.06842,56255.0,0,16,0,100.0,16.0,1454.0,1399.0,153.0,0.1581230163574218,2.2553160190582275
0.031319,56255.0,0,16,0,137.0,16.0,1454.0,1399.0,153.0,0.0313189029693603,2.2553160190582275
0.02377,443.0,002,16,0,66.0,53.0,6404.0,9422.0,0.0,0.0,94.05528783798218
0.022992,53.0,0,16,0,68.0,16.0,1454.0,1399.0,51.0,0.0467619895935058,2.2553160190582275
0.096994,53.0,0,16,0,67.0,16.0,1454.0,1399.0,51.0,0.0969939231872558,2.2553160190582275
0.041792,56255.0,0,16,0,107.0,16.0,1454.0,1399.0,115.0,0.0417921543121337,2.2553160190582275
0.061183,56255.0,0,16,0,92.0,16.0,1454.0,1399.0,115.0,0.0611829757690429,2.2553160190582275
0.050737,31413.0,012,16,0,66.0,53.0,6404.0,9422.0,0.0,0.2736978530883789,94.05528783798218
0.089586,443.0,010,16,0,54.0,53.0,6404.0,9422.0,0.0,0.0895860195159912,94.05528783798218
0.05076,53.0,0,16,0,65.0,16.0,1454.0,1399.0,51.0,0.1910829544067382,2.2553160190582275
0.101935,53.0,0,16,0,70.0,16.0,1454.0,1399.0,51.0,0.1019349098205566,2.2553160190582275
0.083812,443.0,018,16,0,369.0,53.0,6404.0,9422.0,315.0,0.2365069389343261,94.05528783798218
0.09942,443.0,018,16,0,256.0,53.0,6404.0,9422.0,202.0,0.0994200706481933,94.05528783798218
0.08919,53.0,0,17,0,64.0,16.0,1454.0,1399.0,51.0,0.2724220752716064,2.2553160190582275
0.099656,53.0,0,17,0,71.0,16.0,1454.0,1399.0,51.0,0.0996561050415039,2.2553160190582275
0.041995,31413.0,010,17,0,54.0,53.0,6404.0,9422.0,0.0,0.2308409214019775,94.05528783798218
0.037034,31413.0,010,17,0,627.0,53.0,6404.0,9422.0,573.0,0.0370340347290039,94.05528783798218
0.018696,31413.0,010,17,0,921.0,53.0,6404.0,9422.0,867.0,0.0186960697174072,94.05528783798218
0.064009,31413.0,018,17,0,612.0,53.0,6404.0,9422.0,558.0,0.0640089511871337,94.05528783798218
