Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,1336,0,188.0,6.0,520.0,844.0,134.0,0.0,0.0016000270843505
0.000345,443.0,018,1336,0,135.0,6.0,520.0,844.0,81.0,0.0003449916839599,0.0016000270843505
0.000317,443.0,011,1336,0,139.0,6.0,520.0,844.0,85.0,0.000317096710205,0.0016000270843505
0.0003,1044.0,010,1336,0,66.0,6.0,520.0,844.0,12.0,0.0002999305725097,0.0016000270843505
0.000306,1044.0,011,1336,0,176.0,6.0,520.0,844.0,122.0,0.0003058910369873,0.0016000270843505
0.000332,443.0,010,1336,0,140.0,6.0,520.0,844.0,86.0,0.0003321170806884,0.0016000270843505
0.000361,12177.0,0,1336,0,172.0,117.0,12402.0,24400.0,106.0,0.0,0.4108929634094238
0.000329,12177.0,0,1336,0,232.0,117.0,12402.0,24400.0,106.0,0.0003290176391601,0.4108929634094238
0.000309,9999.0,002,1336,0,85.0,18.0,3798.0,4786.0,19.0,0.0,0.3568549156188965
0.000293,31412.0,012,1336,0,88.0,18.0,3798.0,4786.0,30.0,0.0002930164337158,0.3568549156188965
0.000286,9999.0,010,1336,0,174.0,18.0,3798.0,4786.0,120.0,0.0002858638763427,0.3568549156188965
0.000311,9999.0,018,1336,0,144.0,18.0,3798.0,4786.0,90.0,0.0003111362457275,0.3568549156188965
0.000288,31412.0,010,1336,0,159.0,18.0,3798.0,4786.0,105.0,0.0002880096435546,0.3568549156188965
0.000348,31412.0,010,1336,0,131.0,18.0,3798.0,4786.0,77.0,0.0003478527069091,0.3568549156188965
0.000318,31412.0,010,1336,0,148.0,18.0,3798.0,4786.0,94.0,0.0003180503845214,0.3568549156188965
0.000309,31412.0,018,1336,0,1154.0,18.0,3798.0,4786.0,1100.0,0.0003089904785156,0.3568549156188965
0.000319,9999.0,018,1336,0,299.0,18.0,3798.0,4786.0,245.0,0.0003190040588378,0.3568549156188965
0.000297,31412.0,010,1336,0,105.0,18.0,3798.0,4786.0,51.0,0.0002970695495605,0.3568549156188965
0.000312,31412.0,018,1336,0,1121.0,18.0,3798.0,4786.0,1067.0,0.0003120899200439,0.3568549156188965
0.00032,31412.0,018,1336,0,726.0,18.0,3798.0,4786.0,672.0,0.0003199577331542,0.3568549156188965
0.000288,9999.0,010,1336,0,56.0,18.0,3798.0,4786.0,2.0,0.0002880096435546,0.3568549156188965
0.000291,31412.0,010,1336,0,68.0,18.0,3798.0,4786.0,14.0,0.0002908706665039,0.3568549156188965
0.000347,53.0,0,1336,0,91.0,8.0,727.0,1378.0,42.0,0.0,0.0083470344543457
0.000293,49771.0,010,1336,0,57.0,38.0,2670.0,4770.0,3.0,0.0,0.4035718441009521
0.000286,80.0,010,1336,0,179.0,38.0,2670.0,4770.0,125.0,0.0002858638763427,0.4035718441009521
0.000677,56255.0,0,1336,0,226.0,8.0,727.0,1378.0,153.0,0.001255989074707,0.0083470344543457
0.000377,443.0,002,1336,0,161.0,45.0,9347.0,11933.0,95.0,0.0,0.3659858703613281
0.000353,53.0,0,1336,0,192.0,8.0,727.0,1378.0,51.0,0.0007300376892089,0.0083470344543457
0.000602,56255.0,0,1336,0,198.0,8.0,727.0,1378.0,115.0,0.0006020069122314,0.0083470344543457
0.000308,31413.0,012,1336,0,176.0,45.0,9347.0,11933.0,110.0,0.0012629032135009,0.3659858703613281
0.000295,443.0,010,1336,0,82.0,45.0,9347.0,11933.0,28.0,0.0002951622009277,0.3659858703613281
0.000344,53.0,0,1336,0,121.0,8.0,727.0,1378.0,51.0,0.0009469985961914,0.0083470344543457
0.000307,443.0,018,1336,0,645.0,45.0,9347.0,11933.0,591.0,0.0006508827209472,0.3659858703613281
0.000339,53.0,0,1336,0,147.0,8.0,727.0,1378.0,51.0,0.0006458759307861,0.0083470344543457
0.00031,31413.0,010,1336,0,144.0,45.0,9347.0,11933.0,90.0,0.0006489753723144,0.3659858703613281
0.000298,31413.0,010,1336,0,1524.0,45.0,9347.0,11933.0,1470.0,0.0002980232238769,0.3659858703613281
