Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,1336,0,148.0,6.0,419.0,743.0,94.0,0.0,0.0014820098876953
0.000306,443.0,018,1336,0,148.0,6.0,419.0,743.0,94.0,0.0003061294555664,0.0014820098876953
0.000292,443.0,011,1336,0,103.0,6.0,419.0,743.0,49.0,0.0002918243408203,0.0014820098876953
0.000299,1044.0,010,1336,0,113.0,6.0,419.0,743.0,59.0,0.0002989768981933,0.0014820098876953
0.000295,1044.0,011,1336,0,63.0,6.0,419.0,743.0,9.0,0.0002951622009277,0.0014820098876953
0.00029,443.0,010,1336,0,168.0,6.0,419.0,743.0,114.0,0.0002899169921875,0.0014820098876953
0.000311,12177.0,0,1336,0,271.0,117.0,12402.0,25632.0,106.0,0.0,0.4075250625610351
0.000308,12177.0,0,1336,0,271.0,117.0,12402.0,25632.0,106.0,0.0003080368041992,0.4075250625610351
0.000298,9999.0,002,1336,0,130.0,18.0,4136.0,5124.0,64.0,0.0,0.3537130355834961
0.000293,31412.0,012,1336,0,173.0,18.0,4136.0,5124.0,115.0,0.0002930164337158,0.3537130355834961
0.000284,9999.0,010,1336,0,61.0,18.0,4136.0,5124.0,7.0,0.0002839565277099,0.3537130355834961
0.000297,9999.0,018,1336,0,148.0,18.0,4136.0,5124.0,94.0,0.0002970695495605,0.3537130355834961
0.000284,31412.0,010,1336,0,101.0,18.0,4136.0,5124.0,47.0,0.0002839565277099,0.3537130355834961
0.000357,31412.0,010,1336,0,180.0,18.0,4136.0,5124.0,126.0,0.0003571510314941,0.3537130355834961
0.000289,31412.0,010,1336,0,183.0,18.0,4136.0,5124.0,129.0,0.000288963317871,0.3537130355834961
0.000316,31412.0,018,1336,0,1195.0,18.0,4136.0,5124.0,1141.0,0.0003159046173095,0.3537130355834961
0.000294,9999.0,018,1336,0,337.0,18.0,4136.0,5124.0,283.0,0.0002939701080322,0.3537130355834961
0.000308,31412.0,010,1336,0,132.0,18.0,4136.0,5124.0,78.0,0.0003080368041992,0.3537130355834961
0.000296,31412.0,018,1336,0,1106.0,18.0,4136.0,5124.0,1052.0,0.0002961158752441,0.3537130355834961
0.000295,31412.0,018,1336,0,666.0,18.0,4136.0,5124.0,612.0,0.0002949237823486,0.3537130355834961
0.000285,9999.0,010,1336,0,99.0,18.0,4136.0,5124.0,45.0,0.0002849102020263,0.3537130355834961
0.000312,31412.0,010,1336,0,58.0,18.0,4136.0,5124.0,4.0,0.0003120899200439,0.3537130355834961
0.000356,53.0,0,1336,0,119.0,8.0,727.0,1774.0,42.0,0.0,0.0076289176940917
0.000302,49771.0,010,1336,0,180.0,38.0,2912.0,5012.0,126.0,0.0,0.4002230167388916
0.000291,80.0,010,1336,0,155.0,38.0,2912.0,5012.0,101.0,0.0002908706665039,0.4002230167388916
0.000369,56255.0,0,1336,0,295.0,8.0,727.0,1774.0,153.0,0.0009620189666748,0.0076289176940917
0.000299,443.0,002,1336,0,182.0,45.0,8997.0,11583.0,116.0,0.0,0.3632681369781494
0.000321,53.0,0,1336,0,196.0,8.0,727.0,1774.0,51.0,0.0006201267242431,0.0076289176940917
0.000338,56255.0,0,1336,0,227.0,8.0,727.0,1774.0,115.0,0.0003378391265869,0.0076289176940917
0.000361,31413.0,012,1336,0,96.0,45.0,8997.0,11583.0,30.0,0.0010199546813964,0.3632681369781494
0.000326,443.0,010,1336,0,99.0,45.0,8997.0,11583.0,45.0,0.0003261566162109,0.3632681369781494
0.000325,53.0,0,1336,0,221.0,8.0,727.0,1774.0,51.0,0.0010120868682861,0.0076289176940917
0.0003,443.0,018,1336,0,669.0,45.0,8997.0,11583.0,615.0,0.0006248950958251,0.3632681369781494
0.000339,53.0,0,1336,0,133.0,8.0,727.0,1774.0,51.0,0.0006389617919921,0.0076289176940917
0.000288,31413.0,010,1336,0,79.0,45.0,8997.0,11583.0,25.0,0.0006270408630371,0.3632681369781494
0.000309,31413.0,010,1336,0,1526.0,45.0,8997.0,11583.0,1472.0,0.0003089904785156,0.3632681369781494
0.000304,31413.0,018,1336,0,1549.0,45.0,8997.0,11583.0,1495.0,0.0003039836883544,0.3632681369781494
0.000321,31413.0,018,1336,0,1272.0,45.0,8997.0,11583.0,1218.0,0.0003209114074707,0.3632681369781494
0.000408,56255.0,0,1336,0,284.0,8.0,727.0,1774.0,132.0,0.0016300678253173,0.0076289176940917
0.000287,443.0,010,1336,0,95.0,45.0,8997.0,11583.0,41.0,0.000694990158081,0.3632681369781494
0.000294,443.0,018,1336,0,153.0,45.0,8997.0,11583.0,99.0,0.0002942085266113,0.3632681369781494
0.000295,443.0,018,1336,0,475.0,45.0,8997.0,11583.0,421.0,0.0002949237823486,0.3632681369781494
0.000284,31413.0,010,1336,0,176.0,45.0,8997.0,11583.0,122.0,0.0002839565277099,0.3632681369781494
0.00028,31413.0,010,1336,0,58.0,45.0,8997.0,11583.0,4.0,0.0002799034118652,0.3632681369781494
0.000362,31413.0,018,1336,0,1521.0,45.0,8997.0,11583.0,1467.0,0.0003621578216552,0.3632681369781494
0.000284,443.0,010,1336,0,81.0,45.0,8997.0,11583.0,27.0,0.0002839565277099,0.3632681369781494
0.000342,56255.0,0,1336,0,299.0,8.0,727.0,1774.0,132.0,0.0024278163909912,0.0076289176940917
0.00033,53.0,0,1336,0,221.0,6.0,507.0,1168.0,54.0,0.0,0.0031797885894775
0.000352,59322.0,0,1336,0,232.0,6.0,507.0,1168.0,137.0,0.0003519058227539,0.0031797885894775
0.000337,53.0,0,1336,0,136.0,6.0,507.0,1168.0,71.0,0.0003368854522705,0.0031797885894775
0.000311,443.0,002,1336,0,91.0,32.0,8962.0,10714.0,25.0,0.0,0.3585078716278076
0.000335,53.0,0,1336,0,192.0,6.0,507.0,1168.0,71.0,0.0006461143493652,0.0031797885894775
0.000325,59322.0,0,1336,0,196.0,6.0,507.0,1168.0,87.0,0.0003249645233154,0.0031797885894775
