Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,16,0,151.0,6.0,420.0,744.0,97.0,0.0,0.3308019638061523
0.047743,443.0,018,16,0,128.0,6.0,420.0,744.0,74.0,0.0477430820465087,0.3308019638061523
0.081804,443.0,011,16,0,184.0,6.0,420.0,744.0,130.0,0.0818040370941162,0.3308019638061523
0.104647,1044.0,010,16,0,98.0,6.0,420.0,744.0,44.0,0.1046469211578369,0.3308019638061523
0.04242,1044.0,011,16,0,68.0,6.0,420.0,744.0,14.0,0.0424199104309082,0.3308019638061523
0.054188,443.0,010,16,0,115.0,6.0,420.0,744.0,61.0,0.0541880130767822,0.3308019638061523
0.066526,12177.0,0,16,0,263.0,117.0,12402.0,25563.0,106.0,0.0,81.73468589782715
0.022533,12177.0,0,16,0,255.0,117.0,12402.0,25563.0,106.0,0.0225329399108886,81.73468589782715
0.104477,9999.0,002,16,0,134.0,18.0,3905.0,4893.0,68.0,0.0,70.68505501747131
0.054134,31412.0,012,16,0,104.0,18.0,3905.0,4893.0,46.0,0.0541341304779052,70.68505501747131
0.094638,9999.0,010,16,0,115.0,18.0,3905.0,4893.0,61.0,0.0946378707885742,70.68505501747131
0.058206,9999.0,018,16,0,99.0,18.0,3905.0,4893.0,45.0,0.0582060813903808,70.68505501747131
0.050103,31412.0,010,16,0,122.0,18.0,3905.0,4893.0,68.0,0.050102949142456,70.68505501747131
0.042782,31412.0,010,16,0,135.0,18.0,3905.0,4893.0,81.0,0.0427820682525634,70.68505501747131
0.074868,31412.0,010,16,0,89.0,18.0,3905.0,4893.0,35.0,0.0748679637908935,70.68505501747131
0.052101,31412.0,018,16,0,1116.0,18.0,3905.0,4893.0,1062.0,0.0521008968353271,70.68505501747131
0.091791,9999.0,018,17,0,333.0,18.0,3905.0,4893.0,279.0,0.0917911529541015,70.68505501747131
0.087548,31412.0,010,17,0,151.0,18.0,3905.0,4893.0,97.0,0.087548017501831,70.68505501747131
0.073712,31412.0,018,17,0,1111.0,18.0,3905.0,4893.0,1057.0,0.07371187210083,70.68505501747131
