Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,1336,0,447.0,6.0,1942.0,2266.0,393.0,0.0,0.0015358924865722
0.000315,443.0,018,1336,0,447.0,6.0,1942.0,2266.0,393.0,0.0003149509429931,0.0015358924865722
0.000295,443.0,011,1336,0,212.0,6.0,1942.0,2266.0,158.0,0.0002949237823486,0.0015358924865722
0.000305,1044.0,010,1336,0,376.0,6.0,1942.0,2266.0,322.0,0.00030517578125,0.0015358924865722
0.000316,1044.0,011,1336,0,265.0,6.0,1942.0,2266.0,211.0,0.0003159046173095,0.0015358924865722
0.000305,443.0,010,1336,0,519.0,6.0,1942.0,2266.0,465.0,0.0003049373626708,0.0015358924865722
0.000336,12177.0,0,1336,0,311.0,117.0,12402.0,52258.0,106.0,0.0,0.4189779758453369
0.000321,12177.0,0,1336,0,624.0,117.0,12402.0,52258.0,106.0,0.0003209114074707,0.4189779758453369
0.00032,9999.0,002,1336,0,174.0,18.0,8793.0,9781.0,108.0,0.0,0.3638200759887695
0.000303,31412.0,012,1336,0,512.0,18.0,8793.0,9781.0,454.0,0.000303030014038,0.3638200759887695
0.000291,9999.0,010,1336,0,238.0,18.0,8793.0,9781.0,184.0,0.000291109085083,0.3638200759887695
0.000302,9999.0,018,1336,0,370.0,18.0,8793.0,9781.0,316.0,0.0003018379211425,0.3638200759887695
0.000293,31412.0,010,1336,0,302.0,18.0,8793.0,9781.0,248.0,0.0002930164337158,0.3638200759887695
0.000365,31412.0,010,1336,0,251.0,18.0,8793.0,9781.0,197.0,0.0003650188446044,0.3638200759887695
0.000294,31412.0,010,1336,0,447.0,18.0,8793.0,9781.0,393.0,0.0002939701080322,0.3638200759887695
0.000305,31412.0,018,1336,0,1502.0,18.0,8793.0,9781.0,1448.0,0.0003049373626708,0.3638200759887695
0.000329,9999.0,018,1336,0,620.0,18.0,8793.0,9781.0,566.0,0.0003290176391601,0.3638200759887695
0.000306,31412.0,010,1336,0,445.0,18.0,8793.0,9781.0,391.0,0.0003061294555664,0.3638200759887695
0.000298,31412.0,018,1336,0,1501.0,18.0,8793.0,9781.0,1447.0,0.0002980232238769,0.3638200759887695
0.0003,31412.0,018,1336,0,1044.0,18.0,8793.0,9781.0,990.0,0.0002999305725097,0.3638200759887695
0.000292,9999.0,010,1336,0,503.0,18.0,8793.0,9781.0,449.0,0.0002920627593994,0.3638200759887695
0.00029,31412.0,010,1336,0,389.0,18.0,8793.0,9781.0,335.0,0.0002899169921875,0.3638200759887695
0.000352,53.0,0,1336,0,307.0,8.0,727.0,3742.0,42.0,0.0,0.0085628032684326
0.000309,49771.0,010,1336,0,437.0,38.0,11235.0,13335.0,383.0,0.0,0.4115719795227051
0.000287,80.0,010,1336,0,199.0,38.0,11235.0,13335.0,145.0,0.0002868175506591,0.4115719795227051
0.000714,56255.0,0,1336,0,606.0,8.0,727.0,3742.0,153.0,0.0013098716735839,0.0085628032684326
0.000369,443.0,002,1336,0,252.0,45.0,19621.0,22207.0,186.0,0.0,0.3732140064239502
0.000344,53.0,0,1336,0,311.0,8.0,727.0,3742.0,51.0,0.0007131099700927,0.0085628032684326
0.000643,56255.0,0,1336,0,422.0,8.0,727.0,3742.0,115.0,0.0006430149078369,0.0085628032684326
0.000327,31413.0,012,1336,0,333.0,45.0,19621.0,22207.0,267.0,0.0013139247894287,0.3732140064239502
0.000314,443.0,010,1336,0,363.0,45.0,19621.0,22207.0,309.0,0.0003139972686767,0.3732140064239502
0.000367,53.0,0,1336,0,594.0,8.0,727.0,3742.0,51.0,0.0010077953338623,0.0085628032684326
0.000326,443.0,018,1336,0,894.0,45.0,19621.0,22207.0,840.0,0.0006930828094482,0.3732140064239502
0.000348,53.0,0,1336,0,451.0,8.0,727.0,3742.0,51.0,0.0006740093231201,0.0085628032684326
0.000289,31413.0,010,1336,0,226.0,45.0,19621.0,22207.0,172.0,0.0006368160247802,0.3732140064239502
0.000305,31413.0,010,1336,0,1666.0,45.0,19621.0,22207.0,1612.0,0.00030517578125,0.3732140064239502
