Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,16,0,183.0,6.0,560.0,884.0,129.0,0.0,0.3467509746551513
0.078977,443.0,018,16,0,106.0,6.0,560.0,884.0,52.0,0.0789768695831298,0.3467509746551513
0.025718,443.0,011,16,0,170.0,6.0,560.0,884.0,116.0,0.0257179737091064,0.3467509746551513
0.053097,1044.0,010,16,0,159.0,6.0,560.0,884.0,105.0,0.0530970096588134,0.3467509746551513
0.091009,1044.0,011,16,0,106.0,6.0,560.0,884.0,52.0,0.0910091400146484,0.3467509746551513
0.09795,443.0,010,16,0,160.0,6.0,560.0,884.0,106.0,0.0979499816894531,0.3467509746551513
0.042732,12177.0,0,16,0,273.0,117.0,12402.0,25186.0,106.0,0.0,82.58759093284607
0.077748,12177.0,0,16,0,220.0,117.0,12402.0,25186.0,106.0,0.0777478218078613,82.58759093284607
0.061216,9999.0,002,16,0,187.0,18.0,3903.0,4891.0,121.0,0.0,70.6754629611969
0.052236,31412.0,012,16,0,153.0,18.0,3903.0,4891.0,95.0,0.0522360801696777,70.6754629611969
0.100016,9999.0,010,16,0,71.0,18.0,3903.0,4891.0,17.0,0.1000158786773681,70.6754629611969
0.017914,9999.0,018,16,0,133.0,18.0,3903.0,4891.0,79.0,0.0179140567779541,70.6754629611969
0.041431,31412.0,010,16,0,74.0,18.0,3903.0,4891.0,20.0,0.0414309501647949,70.6754629611969
0.082384,31412.0,010,16,0,164.0,18.0,3903.0,4891.0,110.0,0.0823841094970703,70.6754629611969
0.082024,31412.0,010,16,0,81.0,18.0,3903.0,4891.0,27.0,0.0820238590240478,70.6754629611969
0.041347,31412.0,018,16,0,1172.0,18.0,3903.0,4891.0,1118.0,0.0413470268249511,70.6754629611969
0.084105,9999.0,018,16,0,248.0,18.0,3903.0,4891.0,194.0,0.0841050148010253,70.6754629611969
0.076148,31412.0,010,16,0,144.0,18.0,3903.0,4891.0,90.0,0.0761480331420898,70.6754629611969
0.065909,31412.0,018,16,0,1137.0,18.0,3903.0,4891.0,1083.0,0.0659089088439941,70.6754629611969
0.031737,31412.0,018,16,0,666.0,18.0,3903.0,4891.0,612.0,0.0317370891571044,70.6754629611969
0.041402,9999.0,010,16,0,71.0,18.0,3903.0,4891.0,17.0,0.0414021015167236,70.6754629611969
0.072875,31412.0,010,16,0,122.0,18.0,3903.0,4891.0,68.0,0.0728747844696044,70.6754629611969
0.048649,53.0,0,16,0,152.0,8.0,727.0,1633.0,42.0,0.0,1.5276401042938232
0.052051,49771.0,010,16,0,60.0,38.0,2153.0,4253.0,6.0,0.0,81.10290908813477
0.104666,80.0,010,16,0,66.0,38.0,2153.0,4253.0,12.0,0.104665994644165,81.10290908813477
0.028216,56255.0,0,16,0,248.0,8.0,727.0,1633.0,153.0,0.1849329471588134,1.5276401042938232
0.060238,443.0,002,16,0,124.0,45.0,9634.0,12220.0,58.0,0.0,72.96019887924194
0.047659,53.0,0,16,0,175.0,8.0,727.0,1633.0,51.0,0.1078970432281494,1.5276401042938232
0.085148,56255.0,0,16,0,210.0,8.0,727.0,1633.0,115.0,0.0851480960845947,1.5276401042938232
0.046332,31413.0,012,16,0,162.0,45.0,9634.0,12220.0,96.0,0.1791388988494873,72.96019887924194
0.102062,443.0,010,16,0,69.0,45.0,9634.0,12220.0,15.0,0.1020619869232177,72.96019887924194
0.083553,53.0,0,16,0,221.0,8.0,727.0,1633.0,51.0,0.2319469451904297,1.5276401042938232
0.073326,443.0,018,17,0,687.0,45.0,9634.0,12220.0,633.0,0.156879186630249,72.96019887924194
0.035391,53.0,0,17,0,143.0,8.0,727.0,1633.0,51.0,0.1087169647216796,1.5276401042938232
0.045489,31413.0,010,17,0,71.0,45.0,9634.0,12220.0,17.0,0.0808799266815185,72.96019887924194
0.078075,31413.0,010,17,0,1537.0,45.0,9634.0,12220.0,1483.0,0.0780749320983886,72.96019887924194
