Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,443.0,018,1336,0,131.0,6.0,425.0,749.0,77.0,0.0,0.0015289783477783
0.000324,443.0,018,1336,0,198.0,6.0,425.0,749.0,144.0,0.000324010848999,0.0015289783477783
0.000297,443.0,011,1336,0,104.0,6.0,425.0,749.0,50.0,0.0002970695495605,0.0015289783477783
0.000324,1044.0,010,1336,0,76.0,6.0,425.0,749.0,22.0,0.000324010848999,0.0015289783477783
0.000297,1044.0,011,1336,0,182.0,6.0,425.0,749.0,128.0,0.0002968311309814,0.0015289783477783
0.000287,443.0,010,1336,0,58.0,6.0,425.0,749.0,4.0,0.0002870559692382,0.0015289783477783
0.000317,12177.0,0,1336,0,225.0,117.0,12402.0,25124.0,106.0,0.0,0.417943000793457
0.000303,12177.0,0,1336,0,212.0,117.0,12402.0,25124.0,106.0,0.0003027915954589,0.417943000793457
0.000305,9999.0,002,1336,0,153.0,18.0,3631.0,4619.0,87.0,0.0,0.362419843673706
0.000333,31412.0,012,1336,0,144.0,18.0,3631.0,4619.0,86.0,0.0003328323364257,0.362419843673706
0.000289,9999.0,010,1336,0,119.0,18.0,3631.0,4619.0,65.0,0.0002892017364501,0.362419843673706
0.000327,9999.0,018,1336,0,104.0,18.0,3631.0,4619.0,50.0,0.0003268718719482,0.362419843673706
0.000309,31412.0,010,1336,0,85.0,18.0,3631.0,4619.0,31.0,0.0003089904785156,0.362419843673706
0.000343,31412.0,010,1336,0,117.0,18.0,3631.0,4619.0,63.0,0.0003430843353271,0.362419843673706
0.000324,31412.0,010,1336,0,96.0,18.0,3631.0,4619.0,42.0,0.000324010848999,0.362419843673706
0.000359,31412.0,018,1336,0,1094.0,18.0,3631.0,4619.0,1040.0,0.0003590583801269,0.362419843673706
0.000306,9999.0,018,1336,0,242.0,18.0,3631.0,4619.0,188.0,0.0003058910369873,0.362419843673706
0.00029,31412.0,010,1336,0,83.0,18.0,3631.0,4619.0,29.0,0.0002899169921875,0.362419843673706
0.000358,31412.0,018,1336,0,1129.0,18.0,3631.0,4619.0,1075.0,0.0003581047058105,0.362419843673706
0.00033,31412.0,018,1336,0,642.0,18.0,3631.0,4619.0,588.0,0.0003299713134765,0.362419843673706
0.000284,9999.0,010,1336,0,74.0,18.0,3631.0,4619.0,20.0,0.0002839565277099,0.362419843673706
0.000287,31412.0,010,1336,0,65.0,18.0,3631.0,4619.0,11.0,0.0002870559692382,0.362419843673706
0.000371,53.0,0,1336,0,166.0,8.0,727.0,1573.0,42.0,0.0,0.0079150199890136
0.000299,49771.0,010,1336,0,136.0,38.0,2698.0,4798.0,82.0,0.0,0.4103760719299316
0.00029,80.0,010,1336,0,123.0,38.0,2698.0,4798.0,69.0,0.0002899169921875,0.4103760719299316
0.00036,56255.0,0,1336,0,227.0,8.0,727.0,1573.0,153.0,0.0009489059448242,0.0079150199890136
0.000304,443.0,002,1336,0,100.0,45.0,9196.0,11782.0,34.0,0.0,0.3720419406890869
0.000326,53.0,0,1336,0,173.0,8.0,727.0,1573.0,51.0,0.0006301403045654,0.0079150199890136
0.000355,56255.0,0,1336,0,227.0,8.0,727.0,1573.0,115.0,0.0003550052642822,0.0079150199890136
0.000362,31413.0,012,1336,0,176.0,45.0,9196.0,11782.0,110.0,0.0010428428649902,0.3720419406890869
0.000295,443.0,010,1336,0,174.0,45.0,9196.0,11782.0,120.0,0.0002949237823486,0.3720419406890869
0.000327,53.0,0,1336,0,102.0,8.0,727.0,1573.0,51.0,0.0009839534759521,0.0079150199890136
0.00033,443.0,018,1336,0,636.0,45.0,9196.0,11782.0,582.0,0.0006570816040039,0.3720419406890869
0.000327,53.0,0,1336,0,208.0,8.0,727.0,1573.0,51.0,0.0006570816040039,0.0079150199890136
0.000287,31413.0,010,1336,0,59.0,45.0,9196.0,11782.0,5.0,0.0006139278411865,0.3720419406890869
0.000374,31413.0,010,1336,0,1533.0,45.0,9196.0,11782.0,1479.0,0.0003740787506103,0.3720419406890869
0.000387,31413.0,018,1336,0,1581.0,45.0,9196.0,11782.0,1527.0,0.0003869533538818,0.3720419406890869
0.000349,31413.0,018,1336,0,1202.0,45.0,9196.0,11782.0,1148.0,0.0003490447998046,0.3720419406890869
0.000353,56255.0,0,1336,0,270.0,8.0,727.0,1573.0,132.0,0.0017499923706054,0.0079150199890136
0.000296,443.0,010,1336,0,116.0,45.0,9196.0,11782.0,62.0,0.0006489753723144,0.3720419406890869
0.000311,443.0,018,1336,0,183.0,45.0,9196.0,11782.0,129.0,0.0003111362457275,0.3720419406890869
0.000311,443.0,018,1336,0,451.0,45.0,9196.0,11782.0,397.0,0.0003108978271484,0.3720419406890869
0.000286,31413.0,010,1336,0,71.0,45.0,9196.0,11782.0,17.0,0.0002861022949218,0.3720419406890869
0.0003,31413.0,010,1336,0,96.0,45.0,9196.0,11782.0,42.0,0.0002999305725097,0.3720419406890869
0.000435,31413.0,018,1336,0,1489.0,45.0,9196.0,11782.0,1435.0,0.0004348754882812,0.3720419406890869
0.000294,443.0,010,1336,0,137.0,45.0,9196.0,11782.0,83.0,0.0002942085266113,0.3720419406890869
0.000357,56255.0,0,1336,0,200.0,8.0,727.0,1573.0,132.0,0.0025899410247802,0.0079150199890136
0.000317,53.0,0,1336,0,102.0,6.0,507.0,1158.0,54.0,0.0,0.0032057762145996
0.000344,59322.0,0,1336,0,304.0,6.0,507.0,1158.0,137.0,0.0003437995910644,0.0032057762145996
0.000323,53.0,0,1336,0,157.0,6.0,507.0,1158.0,71.0,0.0003230571746826,0.0032057762145996
0.000313,443.0,002,1336,0,163.0,32.0,8284.0,10036.0,97.0,0.0,0.3670439720153808
