Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,49317,0,20,0,201,3201,509169,643611,159,0.0,2265.7158529758453
0.0432,33434,0,20,0,191,3201,477179,611621,149,0.0,2265.7743911743164
0.013975,46369,018,20,0,95,165,3682,12592,41,0.0,23.739601850509644
0.065572,443,010,20,0,54,165,3682,12592,0,0.0655720233917236,23.739601850509644
0.052813,443,018,20,0,95,165,3682,12592,41,0.0528128147125244,23.739601850509644
0.044857,46369,010,20,0,54,165,3682,12592,0,0.0448570251464843,23.739601850509644
0.055657,123,0,20,0,90,26,1248,2340,48,0.0,55.97041296958923
0.078272,42458,0,20,0,90,26,1248,2340,48,0.0782718658447265,55.97041296958923
0.037245,49317,0,20,0,201,3201,509169,643611,159,0.3915910720825195,2265.7158529758453
0.020397,33434,0,20,0,191,3201,477179,611621,149,0.3687880039215088,2265.7743911743164
0.100279,443,018,20,0,95,165,3682,12592,41,0.2918500900268554,23.739601850509644
0.064795,46369,010,20,0,54,165,3682,12592,0,0.0647950172424316,23.739601850509644
0.10034,46369,018,20,0,95,165,3682,12592,41,0.1003398895263671,23.739601850509644
0.042253,46369,018,20,0,95,165,3682,12592,41,0.0422530174255371,23.739601850509644
0.057078,443,010,20,0,54,165,3682,12592,0,0.0570781230926513,23.739601850509644
0.036503,49317,0,20,0,201,3201,509169,643611,159,0.421644926071167,2265.7158529758453
0.086002,33434,0,20,0,191,3201,477179,611621,149,0.4872500896453857,2265.7743911743164
0.026568,123,0,20,0,90,4,192,360,48,0.0,1.0032720565795898
0.025609,37543,0,20,0,90,4,192,360,48,0.025609016418457,1.0032720565795898
0.021799,123,0,20,0,90,26,1248,2340,48,0.6188681125640869,55.97041296958923
0.054871,42458,0,18,0,90,26,1248,2340,48,0.0548708438873291,55.97041296958923
0.052305,46369,018,18,0,95,165,3682,12592,41,0.3036568164825439,23.739601850509644
0.032105,443,010,18,0,54,165,3682,12592,0,0.0321052074432373,23.739601850509644
0.016169,443,018,18,0,95,165,3682,12592,41,0.0161688327789306,23.739601850509644
0.0729,46369,010,18,0,54,165,3682,12592,0,0.0729000568389892,23.739601850509644
0.038104,49317,0,18,0,201,3201,509169,643611,159,0.4264321327209472,2265.7158529758453
0.092007,33434,0,18,0,191,3201,477179,611621,149,0.4324369430541992,2265.7743911743164
0.027938,443,018,18,0,95,165,3682,12592,41,0.1580491065979004,23.739601850509644
0.013737,46369,010,18,0,54,165,3682,12592,0,0.0137369632720947,23.739601850509644
0.097079,46369,018,18,0,95,165,3682,12592,41,0.0970790386199951,23.739601850509644
0.057049,443,018,18,0,95,165,3682,12592,41,0.0570487976074218,23.739601850509644
0.041211,46369,010,18,0,54,165,3682,12592,0,0.0412111282348632,23.739601850509644
0.069047,46369,018,18,0,95,165,3682,12592,41,0.0690469741821289,23.739601850509644
0.025544,443,010,18,0,54,165,3682,12592,0,0.0255439281463623,23.739601850509644
0.084864,49317,0,18,0,201,3201,509169,643611,159,0.5084760189056396,2265.7158529758453
0.091389,33434,0,18,0,191,3201,477179,611621,149,0.5078580379486084,2265.7743911743164
0.011937,123,0,18,0,90,4,192,360,48,0.900054931640625,1.0032720565795898
0.077608,37543,0,18,0,90,4,192,360,48,0.0776081085205078,1.0032720565795898
0.072357,123,0,17,0,90,26,1248,2340,48,0.9733500480651855,55.97041296958923
0.060393,42458,0,17,0,90,26,1248,2340,48,0.0603930950164794,55.97041296958923
0.081122,46369,018,17,0,95,165,3682,12592,41,0.4796700477600097,23.739601850509644
0.035504,443,010,17,0,54,165,3682,12592,0,0.0355041027069091,23.739601850509644
0.078694,443,018,17,0,95,165,3682,12592,41,0.0786938667297363,23.739601850509644
0.045918,46369,010,17,0,54,165,3682,12592,0,0.0459179878234863,23.739601850509644
0.030629,49317,0,17,0,201,3201,509169,643611,159,0.5855510234832764,2265.7158529758453
0.037427,33434,0,17,0,191,3201,477179,611621,149,0.5315890312194824,2265.7743911743164
0.042741,53,0,17,0,75,4,176,344,33,0.0,0.2384638786315918
0.065848,53,0,17,0,75,4,176,344,33,0.0658478736877441,0.2384638786315918
