Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,5353,0,1458,0,459.0,32.0,7448.0,43262.0,373.0,0.0,1.5637381076812744
0.001171,5353,0,1458,0,459.0,32.0,7448.0,43262.0,373.0,0.0011711120605468,1.5637381076812744
0.001041,5353,0,1458,0,459.0,32.0,7448.0,43262.0,179.0,0.0010409355163574,1.5637381076812744
0.001089,5353,0,1458,0,459.0,32.0,7448.0,43262.0,179.0,0.0010888576507568,1.5637381076812744
0.001046,5353,0,1458,0,459.0,32.0,7448.0,43262.0,179.0,0.0010461807250976,1.5637381076812744
0.001033,5353,0,1458,0,459.0,32.0,7448.0,43262.0,179.0,0.0010328292846679,1.5637381076812744
0.000633,67,0,1458,0,459.0,20.0,6020.0,26764.0,300.0,0.0,1.5601069927215576
0.000647,67,0,1458,0,459.0,20.0,6020.0,26764.0,300.0,0.0006470680236816,1.5601069927215576
0.000596,67,0,1458,0,459.0,20.0,6020.0,26764.0,302.0,0.0005960464477539,1.5601069927215576
0.000616,67,0,1458,0,459.0,20.0,6020.0,26764.0,302.0,0.0006160736083984,1.5601069927215576
0.000625,53,0,1458,0,459.0,1.0,32.0,459.0,32.0,0.0,0.0
2.2e-05,53,0,1458,0,459.0,1206.0,194812.0,1840942.0,119.0,0.0,1.9103238582611084
0.000847,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,119.0,0.0008189678192138,1.9103238582611084
0.000819,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,123.0,0.0009090900421142,1.9103238582611084
0.000909,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,123.0,0.000756025314331,1.9103238582611084
0.000756,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0007579326629638,1.9103238582611084
0.000758,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0007660388946533,1.9103238582611084
0.000766,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,119.0,0.000748872756958,1.9103238582611084
0.000749,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,119.0,0.000817060470581,1.9103238582611084
0.000817,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0007529258728027,1.9103238582611084
0.000753,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,127.0,0.000756025314331,1.9103238582611084
0.000756,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0007660388946533,1.9103238582611084
0.000766,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0007801055908203,1.9103238582611084
0.00078,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,119.0,0.0008199214935302,1.9103238582611084
0.00082,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,119.0,0.0007538795471191,1.9103238582611084
0.000754,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0007550716400146,1.9103238582611084
0.000755,5353,0,1458,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0007519721984863,1.9103238582611084
