Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,5353,0,2056,0,259.0,64.0,14896.0,10136.0,373.0,0.0,1.986227989196777
0.0,5353,0,2056,0,198.0,64.0,14896.0,10136.0,373.0,0.0,1.986227989196777
0.002048,5353,0,2056,0,195.0,64.0,14896.0,10136.0,373.0,0.0020480155944824,1.986227989196777
1e-06,5353,0,2056,0,262.0,64.0,14896.0,10136.0,373.0,9.5367431640625e-07,1.986227989196777
0.001388,5353,0,2056,0,146.0,64.0,14896.0,10136.0,179.0,0.0013880729675292,1.986227989196777
1e-06,5353,0,2056,0,117.0,64.0,14896.0,10136.0,179.0,9.5367431640625e-07,1.986227989196777
0.00152,5353,0,2056,0,153.0,64.0,14896.0,10136.0,179.0,0.0015201568603515,1.986227989196777
1e-06,5353,0,2056,0,110.0,64.0,14896.0,10136.0,179.0,9.5367431640625e-07,1.986227989196777
0.001498,5353,0,2056,0,119.0,64.0,14896.0,10136.0,179.0,0.0014979839324951,1.986227989196777
1e-06,5353,0,2056,0,144.0,64.0,14896.0,10136.0,179.0,9.5367431640625e-07,1.986227989196777
0.001408,5353,0,2056,0,162.0,64.0,14896.0,10136.0,179.0,0.0014081001281738,1.986227989196777
0.0,5353,0,2056,0,101.0,64.0,14896.0,10136.0,179.0,0.0,1.986227989196777
0.000971,67,0,2056,0,217.0,40.0,12040.0,7700.0,300.0,0.0,1.980978012084961
1e-06,67,0,2056,0,167.0,40.0,12040.0,7700.0,300.0,9.5367431640625e-07,1.980978012084961
0.000959,67,0,2056,0,235.0,40.0,12040.0,7700.0,300.0,0.0009591579437255,1.980978012084961
0.0,67,0,2056,0,149.0,40.0,12040.0,7700.0,300.0,0.0,1.980978012084961
0.000878,67,0,2056,0,233.0,40.0,12040.0,7700.0,302.0,0.0008778572082519,1.980978012084961
0.0,67,0,2056,0,153.0,40.0,12040.0,7700.0,302.0,0.0,1.980978012084961
