Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,5353,0,6,0,415.0,32.0,7448.0,8792.0,373.0,0.0,1239.3243868350985
2.6e-05,5353,0,6,0,415.0,32.0,7448.0,8792.0,373.0,2.5987625122070312e-05,1239.3243868350985
0.069767,5353,0,6,0,221.0,32.0,7448.0,8792.0,179.0,0.0697669982910156,1239.3243868350985
2.4e-05,5353,0,6,0,221.0,32.0,7448.0,8792.0,179.0,2.384185791015625e-05,1239.3243868350985
0.130003,5353,0,6,0,221.0,32.0,7448.0,8792.0,179.0,0.1300029754638672,1239.3243868350985
2.2e-05,5353,0,6,0,221.0,32.0,7448.0,8792.0,179.0,2.2172927856445312e-05,1239.3243868350985
2.707089,67,0,4,0,342.0,20.0,6020.0,6860.0,300.0,0.0,1238.9363079071045
3.4e-05,67,0,4,0,342.0,20.0,6020.0,6860.0,300.0,3.409385681152344e-05,1238.9363079071045
0.014829,67,0,4,0,344.0,20.0,6020.0,6860.0,302.0,0.0148289203643798,1238.9363079071045
2.8e-05,67,0,4,0,344.0,20.0,6020.0,6860.0,302.0,2.789497375488281e-05,1238.9363079071045
0.606494,53,0,2,0,74.0,1.0,32.0,74.0,32.0,0.0,0.0
0.000766,53,0,2,0,161.0,1206.0,194812.0,245464.0,119.0,0.0,1365.926078081131
2.310975,5353,0,6,0,161.0,1206.0,194812.0,245464.0,119.0,2.408027648925781e-05,1365.926078081131
2.4e-05,5353,0,6,0,165.0,1206.0,194812.0,245464.0,123.0,0.0498340129852294,1365.926078081131
0.049834,5353,0,6,0,165.0,1206.0,194812.0,245464.0,123.0,2.384185791015625e-05,1365.926078081131
2.4e-05,5353,0,6,0,169.0,1206.0,194812.0,245464.0,127.0,0.0601091384887695,1365.926078081131
0.060109,5353,0,6,0,169.0,1206.0,194812.0,245464.0,127.0,2.288818359375e-05,1365.926078081131
2.3e-05,5353,0,6,0,161.0,1206.0,194812.0,245464.0,119.0,0.1398141384124755,1365.926078081131
0.139814,5353,0,72,0,161.0,1206.0,194812.0,245464.0,119.0,2.384185791015625e-05,1365.926078081131
2.4e-05,5353,0,72,0,169.0,1206.0,194812.0,245464.0,127.0,0.0901219844818115,1365.926078081131
0.090122,5353,0,72,0,169.0,1206.0,194812.0,245464.0,127.0,2.408027648925781e-05,1365.926078081131
2.4e-05,5353,0,72,0,169.0,1206.0,194812.0,245464.0,127.0,0.0599410533905029,1365.926078081131
0.059941,5353,0,72,0,169.0,1206.0,194812.0,245464.0,127.0,2.384185791015625e-05,1365.926078081131
2.4e-05,5353,0,72,0,161.0,1206.0,194812.0,245464.0,119.0,0.1100881099700927,1365.926078081131
0.110088,5353,0,72,0,161.0,1206.0,194812.0,245464.0,119.0,2.312660217285156e-05,1365.926078081131
2.3e-05,5353,0,72,0,169.0,1206.0,194812.0,245464.0,127.0,0.0897738933563232,1365.926078081131
0.089774,5353,0,72,0,169.0,1206.0,194812.0,245464.0,127.0,2.5033950805664062e-05,1365.926078081131
2.5e-05,5353,0,72,0,169.0,1206.0,194812.0,245464.0,127.0,0.1021828651428222,1365.926078081131
0.102183,5353,0,72,0,169.0,1206.0,194812.0,245464.0,127.0,2.408027648925781e-05,1365.926078081131
2.4e-05,5353,0,72,0,411.0,1206.0,194812.0,245464.0,369.0,0.0679070949554443,1365.926078081131
0.067907,5353,0,72,0,411.0,1206.0,194812.0,245464.0,369.0,2.47955322265625e-05,1365.926078081131
2.5e-05,5353,0,72,0,147.0,1206.0,194812.0,245464.0,105.0,0.0907011032104492,1365.926078081131
0.090701,5353,0,72,0,147.0,1206.0,194812.0,245464.0,105.0,2.312660217285156e-05,1365.926078081131
2.3e-05,5353,0,72,0,84.0,1206.0,194812.0,245464.0,42.0,0.0002429485321044,1365.926078081131
0.000243,5353,0,72,0,84.0,1206.0,194812.0,245464.0,42.0,2.193450927734375e-05,1365.926078081131
2.2e-05,5353,0,72,0,192.0,454.0,106216.0,125284.0,150.0,0.0,1243.009664773941
