Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,5353,0,2775,0,459.0,32.0,7448.0,12654.0,373.0,0.0,0.8107180595397949
0.000407,5353,0,2775,0,564.0,32.0,7448.0,12654.0,373.0,0.0004069805145263,0.8107180595397949
0.000363,5353,0,2775,0,420.0,32.0,7448.0,12654.0,179.0,0.0003628730773925,0.8107180595397949
0.00036,5353,0,2775,0,318.0,32.0,7448.0,12654.0,179.0,0.0003600120544433,0.8107180595397949
0.00039,5353,0,2775,0,307.0,32.0,7448.0,12654.0,179.0,0.0003900527954101,0.8107180595397949
0.000373,5353,0,2775,0,388.0,32.0,7448.0,12654.0,179.0,0.0003731250762939,0.8107180595397949
0.000444,67,0,2775,0,568.0,20.0,6020.0,9576.0,300.0,0.0,0.8099050521850586
0.000411,67,0,2775,0,504.0,20.0,6020.0,9576.0,300.0,0.000411033630371,0.8099050521850586
0.000387,67,0,2775,0,501.0,20.0,6020.0,9576.0,302.0,0.0003869533538818,0.8099050521850586
0.000391,67,0,2775,0,503.0,20.0,6020.0,9576.0,302.0,0.0003910064697265,0.8099050521850586
0.000764,53,0,2775,0,155.0,1.0,32.0,155.0,32.0,0.0,0.0
1e-05,53,0,2775,0,264.0,1206.0,194812.0,403295.0,119.0,0.0,1.0333528518676758
0.000367,5353,0,2775,0,291.0,1206.0,194812.0,403295.0,119.0,0.0003628730773925,1.0333528518676758
0.000363,5353,0,2775,0,264.0,1206.0,194812.0,403295.0,123.0,0.0003509521484375,1.0333528518676758
0.000351,5353,0,2775,0,370.0,1206.0,194812.0,403295.0,123.0,0.000349998474121,1.0333528518676758
0.00035,5353,0,2775,0,357.0,1206.0,194812.0,403295.0,127.0,0.0003490447998046,1.0333528518676758
0.000349,5353,0,2775,0,396.0,1206.0,194812.0,403295.0,127.0,0.0003440380096435,1.0333528518676758
0.000344,5353,0,2775,0,405.0,1206.0,194812.0,403295.0,119.0,0.0003550052642822,1.0333528518676758
0.000355,5353,0,2775,0,389.0,1206.0,194812.0,403295.0,119.0,0.0003449916839599,1.0333528518676758
0.000345,5353,0,2775,0,359.0,1206.0,194812.0,403295.0,127.0,0.0003409385681152,1.0333528518676758
0.000341,5353,0,2775,0,175.0,1206.0,194812.0,403295.0,127.0,0.0003449916839599,1.0333528518676758
0.000345,5353,0,2775,0,206.0,1206.0,194812.0,403295.0,127.0,0.0003390312194824,1.0333528518676758
0.000339,5353,0,2775,0,368.0,1206.0,194812.0,403295.0,127.0,0.0003681182861328,1.0333528518676758
0.000368,5353,0,2775,0,299.0,1206.0,194812.0,403295.0,119.0,0.0003449916839599,1.0333528518676758
0.000345,5353,0,2775,0,171.0,1206.0,194812.0,403295.0,119.0,0.0003328323364257,1.0333528518676758
0.000333,5353,0,2775,0,362.0,1206.0,194812.0,403295.0,127.0,0.0004150867462158,1.0333528518676758
0.000415,5353,0,2775,0,312.0,1206.0,194812.0,403295.0,127.0,0.0003550052642822,1.0333528518676758
0.000355,5353,0,2775,0,260.0,1206.0,194812.0,403295.0,127.0,0.000364065170288,1.0333528518676758
0.000364,5353,0,2775,0,235.0,1206.0,194812.0,403295.0,127.0,0.0003418922424316,1.0333528518676758
0.000342,5353,0,2775,0,614.0,1206.0,194812.0,403295.0,369.0,0.0003690719604492,1.0333528518676758
0.000369,5353,0,2775,0,471.0,1206.0,194812.0,403295.0,369.0,0.0003678798675537,1.0333528518676758
0.000368,5353,0,2775,0,178.0,1206.0,194812.0,403295.0,105.0,0.0003321170806884,1.0333528518676758
0.000332,5353,0,2775,0,316.0,1206.0,194812.0,403295.0,105.0,0.0003368854522705,1.0333528518676758
0.000337,5353,0,2775,0,295.0,1206.0,194812.0,403295.0,42.0,0.000331163406372,1.0333528518676758
0.000331,5353,0,2775,0,238.0,1206.0,194812.0,403295.0,42.0,0.0003259181976318,1.0333528518676758
