Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,5353,0,6,0,459.0,32.0,7448.0,43262.0,373.0,0.0,160.36741089820862
0.0179,5353,0,6,0,459.0,32.0,7448.0,43262.0,373.0,0.0178999900817871,160.36741089820862
0.092806,5353,0,6,0,459.0,32.0,7448.0,43262.0,179.0,0.0928058624267578,160.36741089820862
0.038368,5353,0,6,0,459.0,32.0,7448.0,43262.0,179.0,0.0383679866790771,160.36741089820862
0.190857,5353,0,6,0,459.0,32.0,7448.0,43262.0,179.0,0.1908571720123291,160.36741089820862
0.037595,5353,0,6,0,459.0,32.0,7448.0,43262.0,179.0,0.0375950336456298,160.36741089820862
0.352685,67,0,6,0,459.0,20.0,6020.0,26764.0,300.0,0.0,160.01488304138184
0.064059,67,0,6,0,459.0,20.0,6020.0,26764.0,300.0,0.0640590190887451,160.01488304138184
0.030948,67,0,6,0,459.0,20.0,6020.0,26764.0,302.0,0.0309479236602783,160.01488304138184
0.048909,67,0,6,0,459.0,20.0,6020.0,26764.0,302.0,0.0489089488983154,160.01488304138184
0.695992,53,0,6,0,459.0,1.0,32.0,459.0,32.0,0.0,0.0
0.039925,53,0,6,0,459.0,1206.0,194812.0,1840942.0,119.0,0.0,199.41095685958865
0.12328,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,119.0,0.0343818664550781,199.41095685958865
0.034382,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,123.0,0.047987937927246,199.41095685958865
0.047988,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,123.0,0.0256152153015136,199.41095685958865
0.025615,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0882868766784668,199.41095685958865
0.088287,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,127.0,0.1086819171905517,199.41095685958865
0.108682,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,119.0,0.053879976272583,199.41095685958865
0.05388,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,119.0,0.0834791660308837,199.41095685958865
0.083479,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0569429397583007,199.41095685958865
0.056943,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0251579284667968,199.41095685958865
0.025158,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0623910427093505,199.41095685958865
0.062391,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0618870258331298,199.41095685958865
0.061887,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,119.0,0.0958330631256103,199.41095685958865
0.095833,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,119.0,0.0697250366210937,199.41095685958865
0.069725,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0984079837799072,199.41095685958865
0.098408,5353,0,15,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0862948894500732,199.41095685958865
0.086295,5353,0,14,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0199570655822753,199.41095685958865
0.019957,5353,0,14,0,459.0,1206.0,194812.0,1840942.0,127.0,0.0504069328308105,199.41095685958865
0.050407,5353,0,14,0,459.0,1206.0,194812.0,1840942.0,369.0,0.1047151088714599,199.41095685958865
0.104715,5353,0,14,0,459.0,1206.0,194812.0,1840942.0,369.0,0.0795638561248779,199.41095685958865
0.079564,5353,0,14,0,459.0,1206.0,194812.0,1840942.0,105.0,0.0728111267089843,199.41095685958865
0.072811,5353,0,14,0,459.0,1206.0,194812.0,1840942.0,105.0,0.0190620422363281,199.41095685958865
0.019062,5353,0,14,0,459.0,1206.0,194812.0,1840942.0,42.0,0.0669219493865966,199.41095685958865
0.066922,5353,0,14,0,459.0,1206.0,194812.0,1840942.0,42.0,0.104665994644165,199.41095685958865
0.104666,5353,0,14,0,459.0,454.0,106216.0,629544.0,150.0,0.0,166.25380611419678
0.198927,1900,0,14,0,459.0,454.0,106216.0,629544.0,150.0,0.0963780879974365,166.25380611419678
0.096378,1900,0,14,0,459.0,454.0,106216.0,629544.0,137.0,0.0439569950103759,166.25380611419678
0.043957,1900,0,14,0,459.0,454.0,106216.0,629544.0,137.0,0.0261769294738769,166.25380611419678
