Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,5353,0,12,0,198.0,64.0,14896.0,10136.0,373.0,0.0,260.34769201278687
0.049911,5353,0,12,0,259.0,64.0,14896.0,10136.0,373.0,0.0499110221862793,260.34769201278687
0.092562,5353,0,12,0,199.0,64.0,14896.0,10136.0,373.0,0.0925619602203369,260.34769201278687
0.017299,5353,0,12,0,258.0,64.0,14896.0,10136.0,373.0,0.017298936843872,260.34769201278687
0.085759,5353,0,12,0,138.0,64.0,14896.0,10136.0,179.0,0.085759162902832,260.34769201278687
0.090621,5353,0,12,0,125.0,64.0,14896.0,10136.0,179.0,0.0906209945678711,260.34769201278687
0.073512,5353,0,12,0,144.0,64.0,14896.0,10136.0,179.0,0.0735118389129638,260.34769201278687
0.039111,5353,0,12,0,119.0,64.0,14896.0,10136.0,179.0,0.0391111373901367,260.34769201278687
0.177642,5353,0,12,0,139.0,64.0,14896.0,10136.0,179.0,0.1776418685913086,260.34769201278687
0.028624,5353,0,12,0,124.0,64.0,14896.0,10136.0,179.0,0.0286240577697753,260.34769201278687
0.099164,5353,0,12,0,143.0,64.0,14896.0,10136.0,179.0,0.0991640090942382,260.34769201278687
0.053008,5353,0,12,0,120.0,64.0,14896.0,10136.0,179.0,0.0530080795288085,260.34769201278687
0.315373,67,0,8,0,212.0,40.0,12040.0,7700.0,300.0,0.0,259.88674092292786
0.016384,67,0,8,0,172.0,40.0,12040.0,7700.0,300.0,0.0163841247558593,259.88674092292786
0.073634,67,0,8,0,158.0,40.0,12040.0,7700.0,300.0,0.0736339092254638,259.88674092292786
0.04212,67,0,8,0,226.0,40.0,12040.0,7700.0,300.0,0.0421199798583984,259.88674092292786
0.085908,67,0,8,0,208.0,40.0,12040.0,7700.0,302.0,0.0859079360961914,259.88674092292786
0.040115,67,0,8,0,178.0,40.0,12040.0,7700.0,302.0,0.0401151180267334,259.88674092292786
0.039356,67,0,8,0,182.0,40.0,12040.0,7700.0,302.0,0.039355993270874,259.88674092292786
0.040823,67,0,8,0,204.0,40.0,12040.0,7700.0,302.0,0.0408229827880859,259.88674092292786
0.554212,53,0,12,0,64.0,2.0,64.0,116.0,32.0,0.0,0.0612351894378662
0.061235,53,0,12,0,52.0,2.0,64.0,116.0,32.0,0.0612351894378662,0.0612351894378662
