Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,5353,0,2492,0,430.0,32.0,7448.0,10968.0,373.0,0.0,0.926440954208374
0.000386,5353,0,2492,0,498.0,32.0,7448.0,10968.0,373.0,0.0003859996795654,0.926440954208374
0.00035,5353,0,2492,0,283.0,32.0,7448.0,10968.0,179.0,0.000349998474121,0.926440954208374
0.000344,5353,0,2492,0,227.0,32.0,7448.0,10968.0,179.0,0.0003437995910644,0.926440954208374
0.000893,5353,0,2492,0,242.0,32.0,7448.0,10968.0,179.0,0.0008931159973144,0.926440954208374
0.000366,5353,0,2492,0,325.0,32.0,7448.0,10968.0,179.0,0.0003659725189208,0.926440954208374
0.000409,67,0,2492,0,416.0,20.0,6020.0,8078.0,300.0,0.0,0.9251580238342284
0.000392,67,0,2492,0,369.0,20.0,6020.0,8078.0,300.0,0.000392198562622,0.9251580238342284
0.000389,67,0,2492,0,377.0,20.0,6020.0,8078.0,302.0,0.0003888607025146,0.9251580238342284
0.000395,67,0,2492,0,460.0,20.0,6020.0,8078.0,302.0,0.0003950595855712,0.9251580238342284
0.000328,53,0,2492,0,198.0,1.0,32.0,198.0,32.0,0.0,0.0
1e-05,53,0,2492,0,275.0,1206.0,194812.0,326119.0,119.0,0.0,1.155648946762085
0.000341,5353,0,2492,0,287.0,1206.0,194812.0,326119.0,119.0,0.0003399848937988,1.155648946762085
0.00034,5353,0,2492,0,241.0,1206.0,194812.0,326119.0,123.0,0.0003409385681152,1.155648946762085
0.000341,5353,0,2492,0,249.0,1206.0,194812.0,326119.0,123.0,0.0003459453582763,1.155648946762085
0.000346,5353,0,2492,0,268.0,1206.0,194812.0,326119.0,127.0,0.000392198562622,1.155648946762085
0.000392,5353,0,2492,0,289.0,1206.0,194812.0,326119.0,127.0,0.0003378391265869,1.155648946762085
0.000338,5353,0,2492,0,273.0,1206.0,194812.0,326119.0,119.0,0.0003390312194824,1.155648946762085
0.000339,5353,0,2492,0,288.0,1206.0,194812.0,326119.0,119.0,0.0003409385681152,1.155648946762085
0.000341,5353,0,2492,0,223.0,1206.0,194812.0,326119.0,127.0,0.0024781227111816,1.155648946762085
0.002478,5353,0,2492,0,230.0,1206.0,194812.0,326119.0,127.0,0.0004069805145263,1.155648946762085
0.000407,5353,0,2492,0,254.0,1206.0,194812.0,326119.0,127.0,0.0004699230194091,1.155648946762085
0.00047,5353,0,2492,0,202.0,1206.0,194812.0,326119.0,127.0,0.0003659725189208,1.155648946762085
0.000366,5353,0,2492,0,263.0,1206.0,194812.0,326119.0,119.0,0.0003540515899658,1.155648946762085
0.000354,5353,0,2492,0,174.0,1206.0,194812.0,326119.0,119.0,0.0014009475708007,1.155648946762085
0.001401,5353,0,2492,0,242.0,1206.0,194812.0,326119.0,127.0,0.0003430843353271,1.155648946762085
0.000343,5353,0,2492,0,265.0,1206.0,194812.0,326119.0,127.0,0.000338077545166,1.155648946762085
0.000338,5353,0,2492,0,246.0,1206.0,194812.0,326119.0,127.0,0.0012719631195068,1.155648946762085
0.001272,5353,0,2492,0,251.0,1206.0,194812.0,326119.0,127.0,0.0003418922424316,1.155648946762085
0.000342,5353,0,2492,0,460.0,1206.0,194812.0,326119.0,369.0,0.000352144241333,1.155648946762085
0.000352,5353,0,2492,0,480.0,1206.0,194812.0,326119.0,369.0,0.000349998474121,1.155648946762085
0.00035,5353,0,2492,0,215.0,1206.0,194812.0,326119.0,105.0,0.0003678798675537,1.155648946762085
