Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9958517686435432,0.002312358865888908,0.9941976067597889,0.9975059305272975
Random Forest,Original,Precision,0.9941420364959764,0.0038629047538565825,0.9913786809032681,0.9969053920886848
Random Forest,Original,Recall,0.9940738770099143,0.004340074147184592,0.9909691749963796,0.9971785790234491
Random Forest,Original,F1-Score,0.9940548019634956,0.003665788335105831,0.9914324549622172,0.996677148964774
Random Forest,con,Accuracy,0.6388604619001522,0.011900182256436992,0.6303475843409158,0.6473733394593887
Random Forest,con,Precision,0.4086282145320957,0.015263119590308512,0.3977096365267885,0.4195467925374029
Random Forest,con,Recall,0.5076535360871709,0.006109851299752139,0.5032828117655499,0.5120242604087919
Random Forest,con,F1-Score,0.4457606414773186,0.011078682769109784,0.43783542924957813,0.45368585370505904
K-Nearest Neighbors,Original,Accuracy,0.9250448942787497,0.009044784908268544,0.9185746449317642,0.9315151436257352
K-Nearest Neighbors,Original,Precision,0.9044433952679581,0.009923476765482605,0.8973445676327103,0.911542222903206
K-Nearest Neighbors,Original,Recall,0.8995448251242312,0.01472484807864425,0.8890113033620706,0.9100783468863918
K-Nearest Neighbors,Original,F1-Score,0.9012648534481998,0.011759439294511538,0.892852657338741,0.9096770495576587
K-Nearest Neighbors,con,Accuracy,0.31033052136633943,0.003802441456193457,0.3076104186111711,0.31305062412150775
K-Nearest Neighbors,con,Precision,0.24245804904477355,0.017683111534003065,0.2298083130901949,0.2551077849993522
K-Nearest Neighbors,con,Recall,0.20969560315670802,0.0020665504825054582,0.2082172819975481,0.21117392431586793
K-Nearest Neighbors,con,F1-Score,0.11082335632968207,0.003713230615655564,0.10816707116537834,0.1134796414939858
Decision Tree,Original,Accuracy,0.9918412767550798,0.00412215754241836,0.9888924628896864,0.9947900906204733
Decision Tree,Original,Precision,0.9878255897284232,0.005928337532673406,0.9835847125336074,0.992066466923239
Decision Tree,Original,Recall,0.9882561113200226,0.006006436911392697,0.9839593651952894,0.9925528574447557
Decision Tree,Original,F1-Score,0.9879775202578125,0.005467221735604553,0.9840665054328738,0.9918885350827512
Decision Tree,con,Accuracy,0.5402433964873461,0.10922100522807032,0.462111396122364,0.6183753968523282
Decision Tree,con,Precision,0.38600804931126975,0.04092676473038222,0.35673080552309466,0.41528529309944484
Decision Tree,con,Recall,0.45862195996675076,0.058256485590590094,0.41694778068299565,0.5002961392505059
Decision Tree,con,F1-Score,0.38776948184667603,0.06778867642662782,0.3392763840195035,0.43626257967384857
Gradient Boosting Machine,Original,Accuracy,0.9951602057113164,0.002981225864450284,0.9930275652009775,0.9972928462216553
Gradient Boosting Machine,Original,Precision,0.9918747296859255,0.00563444225561527,0.9878440925071801,0.9959053668646709
Gradient Boosting Machine,Original,Recall,0.9944290452217672,0.004318808203121825,0.9913395559481795,0.997518534495355
Gradient Boosting Machine,Original,F1-Score,0.9930719932139016,0.004278706255270337,0.9900111911456515,0.9961327952821517
Gradient Boosting Machine,con,Accuracy,0.4754252523855621,0.005680074487110997,0.4713619718748822,0.479488532896242
Gradient Boosting Machine,con,Precision,0.43766188667019207,0.006631454507420341,0.4329180298917986,0.4424057434485855
Gradient Boosting Machine,con,Recall,0.4205522737517608,0.0031835151518974348,0.41827492420264634,0.42282962330087526
Gradient Boosting Machine,con,F1-Score,0.37909599336384103,0.003468647346644562,0.3766146725301048,0.3815773141975773
