Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9958517686435432,0.002312358865888908,0.9941976067597889,0.9975059305272975
Random Forest,Original,Precision,0.9941420364959764,0.0038629047538565825,0.9913786809032681,0.9969053920886848
Random Forest,Original,Recall,0.9940738770099143,0.004340074147184592,0.9909691749963796,0.9971785790234491
Random Forest,Original,F1-Score,0.9940548019634956,0.003665788335105831,0.9914324549622172,0.996677148964774
Random Forest,del,Accuracy,0.8120730189462039,0.02262038419202551,0.7958913708991381,0.8282546669932697
Random Forest,del,Precision,0.8626836506373667,0.011574364460619036,0.8544038490884509,0.8709634521862826
Random Forest,del,Recall,0.8085169474938351,0.05106827617839893,0.7719849034545242,0.8450489915331459
Random Forest,del,F1-Score,0.8043962619286841,0.05176903968083434,0.7673629218784664,0.8414296019789017
K-Nearest Neighbors,Original,Accuracy,0.9250448942787497,0.009044784908268544,0.9185746449317642,0.9315151436257352
K-Nearest Neighbors,Original,Precision,0.9044433952679581,0.009923476765482605,0.8973445676327103,0.911542222903206
K-Nearest Neighbors,Original,Recall,0.8995448251242312,0.01472484807864425,0.8890113033620706,0.9100783468863918
K-Nearest Neighbors,Original,F1-Score,0.9012648534481998,0.011759439294511538,0.892852657338741,0.9096770495576587
K-Nearest Neighbors,del,Accuracy,0.7545567694648042,0.002352452626188903,0.7528739262327337,0.7562396126968747
K-Nearest Neighbors,del,Precision,0.7281426653562377,0.0037194823423805272,0.7254819079760472,0.7308034227364283
K-Nearest Neighbors,del,Recall,0.738305424377471,0.0034550404119873886,0.7358338373584107,0.7407770113965314
K-Nearest Neighbors,del,F1-Score,0.7305336021327399,0.002984218549858726,0.7283988207842267,0.7326683834812531
Decision Tree,Original,Accuracy,0.9918412767550798,0.00412215754241836,0.9888924628896864,0.9947900906204733
Decision Tree,Original,Precision,0.9878255897284232,0.005928337532673406,0.9835847125336074,0.992066466923239
Decision Tree,Original,Recall,0.9882561113200226,0.006006436911392697,0.9839593651952894,0.9925528574447557
Decision Tree,Original,F1-Score,0.9879775202578125,0.005467221735604553,0.9840665054328738,0.9918885350827512
Decision Tree,del,Accuracy,0.6848845249619693,0.020265272597088855,0.6703876222586304,0.6993814276653082
Decision Tree,del,Precision,0.6740075584510272,0.05612250217900358,0.6338599389379387,0.7141551779641158
Decision Tree,del,Recall,0.6057851284535842,0.020147039784860963,0.5913728044089828,0.6201974524981857
Decision Tree,del,F1-Score,0.5921685477440921,0.015972531775633486,0.5807424868328458,0.6035946086553384
Gradient Boosting Machine,Original,Accuracy,0.9951602057113164,0.002981225864450284,0.9930275652009775,0.9972928462216553
Gradient Boosting Machine,Original,Precision,0.9918747296859255,0.00563444225561527,0.9878440925071801,0.9959053668646709
Gradient Boosting Machine,Original,Recall,0.9944290452217672,0.004318808203121825,0.9913395559481795,0.997518534495355
Gradient Boosting Machine,Original,F1-Score,0.9930719932139016,0.004278706255270337,0.9900111911456515,0.9961327952821517
Gradient Boosting Machine,del,Accuracy,0.6388604619001521,0.0040913366585233575,0.6359336959669005,0.6417872278334037
Gradient Boosting Machine,del,Precision,0.8088984086333536,0.007507887416544841,0.8035275895208138,0.8142692277458934
Gradient Boosting Machine,del,Recall,0.7249914733277084,0.007480571042106912,0.7196401951722684,0.7303427514831484
Gradient Boosting Machine,del,F1-Score,0.6786166359613418,0.005861078673079443,0.6744238728562231,0.6828093990664605
