Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9958517686435432,0.002312358865888908,0.9941976067597889,0.9975059305272975
Random Forest,Original,Precision,0.9941420364959764,0.0038629047538565825,0.9913786809032681,0.9969053920886848
Random Forest,Original,Recall,0.9940738770099143,0.004340074147184592,0.9909691749963796,0.9971785790234491
Random Forest,Original,F1-Score,0.9940548019634956,0.003665788335105831,0.9914324549622172,0.996677148964774
Random Forest,frag,Accuracy,0.6933731238479769,0.0030197550712480477,0.6912129212034743,0.6955333264924795
Random Forest,frag,Precision,0.5697893589371923,0.135276219505736,0.473018581102608,0.6665601367717766
Random Forest,frag,Recall,0.5217001814926605,0.0017081685220347981,0.5204782313438922,0.5229221316414289
Random Forest,frag,F1-Score,0.4847358943967152,0.004289322513627318,0.48166749791473407,0.48780429087869637
K-Nearest Neighbors,Original,Accuracy,0.9250448942787497,0.009044784908268544,0.9185746449317642,0.9315151436257352
K-Nearest Neighbors,Original,Precision,0.9044433952679581,0.009923476765482605,0.8973445676327103,0.911542222903206
K-Nearest Neighbors,Original,Recall,0.8995448251242312,0.01472484807864425,0.8890113033620706,0.9100783468863918
K-Nearest Neighbors,Original,F1-Score,0.9012648534481998,0.011759439294511538,0.892852657338741,0.9096770495576587
K-Nearest Neighbors,frag,Accuracy,0.3554814359694549,1e-06,0.355480720612549,0.35548215132636085
K-Nearest Neighbors,frag,Precision,0.2689218136379864,1e-06,0.26892109828108046,0.26892252899489233
K-Nearest Neighbors,frag,Recall,0.20950226244343892,1e-06,0.20950154708653296,0.20950297780034488
K-Nearest Neighbors,frag,F1-Score,0.12065831361436656,1.3877787807814457e-17,0.12065831361436655,0.12065831361436657
Decision Tree,Original,Accuracy,0.9918412767550798,0.00412215754241836,0.9888924628896864,0.9947900906204733
Decision Tree,Original,Precision,0.9878255897284232,0.005928337532673406,0.9835847125336074,0.992066466923239
Decision Tree,Original,Recall,0.9882561113200226,0.006006436911392697,0.9839593651952894,0.9925528574447557
Decision Tree,Original,F1-Score,0.9879775202578125,0.005467221735604553,0.9840665054328738,0.9918885350827512
Decision Tree,frag,Accuracy,0.5803124725708769,0.0892955856489796,0.5164342587058,0.6441906864359539
Decision Tree,frag,Precision,0.4413730705946282,0.0404482028826299,0.41243816932916816,0.47030797186008827
Decision Tree,frag,Recall,0.46703190712645676,0.04999804398374712,0.4312654610785628,0.5027983531743507
Decision Tree,frag,F1-Score,0.41722983033040884,0.051446440511013825,0.3804272638241769,0.45403239683664076
Gradient Boosting Machine,Original,Accuracy,0.9951602057113164,0.002981225864450284,0.9930275652009775,0.9972928462216553
Gradient Boosting Machine,Original,Precision,0.9918747296859255,0.00563444225561527,0.9878440925071801,0.9959053668646709
Gradient Boosting Machine,Original,Recall,0.9944290452217672,0.004318808203121825,0.9913395559481795,0.997518534495355
Gradient Boosting Machine,Original,F1-Score,0.9930719932139016,0.004278706255270337,0.9900111911456515,0.9961327952821517
Gradient Boosting Machine,frag,Accuracy,0.5422803475818485,0.04349208796586019,0.5111679821011736,0.5733927130625234
Gradient Boosting Machine,frag,Precision,0.4831752803936794,0.06007284475677929,0.4402017560367006,0.5261488047506583
Gradient Boosting Machine,frag,Recall,0.4348692115409074,0.02491858537373869,0.41704352940723466,0.45269489367458016
Gradient Boosting Machine,frag,F1-Score,0.4062527995295335,0.025297943281676023,0.3881557410965901,0.42434985796247693
