Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9958517686435432,0.002312358865888908,0.9941976067597889,0.9975059305272975
Random Forest,Original,Precision,0.9941420364959764,0.0038629047538565825,0.9913786809032681,0.9969053920886848
Random Forest,Original,Recall,0.9940738770099143,0.004340074147184592,0.9909691749963796,0.9971785790234491
Random Forest,Original,F1-Score,0.9940548019634956,0.003665788335105831,0.9914324549622172,0.996677148964774
Random Forest,Padding,Accuracy,0.6584024750386724,0.005863479617646086,0.6542079944012772,0.6625969556760677
Random Forest,Padding,Precision,0.5378564967917656,0.13322308380668324,0.4425544437583565,0.6331585498251747
Random Forest,Padding,Recall,0.5124786452336036,0.003983616220925664,0.5096289378592997,0.5153283526079075
Random Forest,Padding,F1-Score,0.4705771310082607,0.0031080362373867815,0.46835377582189525,0.47280048619462617
K-Nearest Neighbors,Original,Accuracy,0.9250448942787497,0.009044784908268544,0.9185746449317642,0.9315151436257352
K-Nearest Neighbors,Original,Precision,0.9044433952679581,0.009923476765482605,0.8973445676327103,0.911542222903206
K-Nearest Neighbors,Original,Recall,0.8995448251242312,0.01472484807864425,0.8890113033620706,0.9100783468863918
K-Nearest Neighbors,Original,F1-Score,0.9012648534481998,0.011759439294511538,0.892852657338741,0.9096770495576587
K-Nearest Neighbors,Padding,Accuracy,0.29742652228941074,5.551115123125783e-17,0.2974265222894107,0.2974265222894108
K-Nearest Neighbors,Padding,Precision,0.05955573608234984,6.923550520042876e-05,0.0595062079855676,0.05960526417913208
K-Nearest Neighbors,Padding,Recall,0.2,1e-06,0.19999928464309405,0.20000071535690597
K-Nearest Neighbors,Padding,F1-Score,0.0917810143653454,8.219710351778802e-05,0.09172221409969465,0.09183981463099615
Decision Tree,Original,Accuracy,0.9918412767550798,0.00412215754241836,0.9888924628896864,0.9947900906204733
Decision Tree,Original,Precision,0.9878255897284232,0.005928337532673406,0.9835847125336074,0.992066466923239
Decision Tree,Original,Recall,0.9882561113200226,0.006006436911392697,0.9839593651952894,0.9925528574447557
Decision Tree,Original,F1-Score,0.9879775202578125,0.005467221735604553,0.9840665054328738,0.9918885350827512
Decision Tree,Padding,Accuracy,0.5189565461960344,0.11737959420117218,0.4349882428663154,0.6029248495257533
Decision Tree,Padding,Precision,0.4525740841409386,0.07767749014630856,0.3970069551277139,0.5081412131541633
Decision Tree,Padding,Recall,0.4440293068288317,0.06133562088639833,0.4001524468468578,0.48790616681080556
Decision Tree,Padding,F1-Score,0.3936998392344032,0.06937669878757174,0.3440707386445223,0.4433289398242841
Gradient Boosting Machine,Original,Accuracy,0.9951602057113164,0.002981225864450284,0.9930275652009775,0.9972928462216553
Gradient Boosting Machine,Original,Precision,0.9918747296859255,0.00563444225561527,0.9878440925071801,0.9959053668646709
Gradient Boosting Machine,Original,Recall,0.9944290452217672,0.004318808203121825,0.9913395559481795,0.997518534495355
Gradient Boosting Machine,Original,F1-Score,0.9930719932139016,0.004278706255270337,0.9900111911456515,0.9961327952821517
Gradient Boosting Machine,Padding,Accuracy,0.45467585431022356,0.04114593187837789,0.42524182778917186,0.48410988083127526
Gradient Boosting Machine,Padding,Precision,0.4328437664117229,0.013510675755284907,0.42317881120609385,0.44250872161735194
Gradient Boosting Machine,Padding,Recall,0.4051207603216479,0.021981758045607817,0.3893959578987438,0.420845562744552
Gradient Boosting Machine,Padding,F1-Score,0.3597491542754871,0.02573808988722314,0.34133723392863397,0.3781610746223402
