Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9958517686435432,0.002312358865888908,0.9941976067597889,0.9975059305272975
Random Forest,Original,Precision,0.9941420364959764,0.0038629047538565825,0.9913786809032681,0.9969053920886848
Random Forest,Original,Recall,0.9940738770099143,0.004340074147184592,0.9909691749963796,0.9971785790234491
Random Forest,Original,F1-Score,0.9940548019634956,0.003665788335105831,0.9914324549622172,0.996677148964774
Random Forest,Padshift,Accuracy,0.6503388189738626,0.004908619123546734,0.6468274043851425,0.6538502335625827
Random Forest,Padshift,Precision,0.5142693351208104,0.09209779716327096,0.44838653989704536,0.5801521303445755
Random Forest,Padshift,Recall,0.5143380538409885,0.003304463384076321,0.5119741831387221,0.5167019245432549
Random Forest,Padshift,F1-Score,0.46871341649701553,0.0026398235767021534,0.46682500047092523,0.47060183252310583
K-Nearest Neighbors,Original,Accuracy,0.9250448942787497,0.009044784908268544,0.9185746449317642,0.9315151436257352
K-Nearest Neighbors,Original,Precision,0.9044433952679581,0.009923476765482605,0.8973445676327103,0.911542222903206
K-Nearest Neighbors,Original,Recall,0.8995448251242312,0.01472484807864425,0.8890113033620706,0.9100783468863918
K-Nearest Neighbors,Original,F1-Score,0.9012648534481998,0.011759439294511538,0.892852657338741,0.9096770495576587
K-Nearest Neighbors,Padshift,Accuracy,0.29249066519153644,1e-06,0.2924899498346305,0.29249138054844237
K-Nearest Neighbors,Padshift,Precision,0.05856624377229254,6.69528565928932e-05,0.05851834858395556,0.05861413896062952
K-Nearest Neighbors,Padshift,Recall,0.2,1e-06,0.19999928464309405,0.20000071535690597
K-Nearest Neighbors,Padshift,F1-Score,0.09060151009816815,8.009719846778797e-05,0.09054421201409676,0.09065880818223954
Decision Tree,Original,Accuracy,0.9918412767550798,0.00412215754241836,0.9888924628896864,0.9947900906204733
Decision Tree,Original,Precision,0.9878255897284232,0.005928337532673406,0.9835847125336074,0.992066466923239
Decision Tree,Original,Recall,0.9882561113200226,0.006006436911392697,0.9839593651952894,0.9925528574447557
Decision Tree,Original,F1-Score,0.9879775202578125,0.005467221735604553,0.9840665054328738,0.9918885350827512
Decision Tree,Padshift,Accuracy,0.511367722306735,0.11479400142218804,0.4292490406274434,0.5934864039860266
Decision Tree,Padshift,Precision,0.4487505071251195,0.07586795632170419,0.3944778406298803,0.5030231736203586
Decision Tree,Padshift,Recall,0.4442429615497244,0.061182617492374164,0.4004755536022999,0.48801036949714893
Decision Tree,Padshift,F1-Score,0.39106181558781916,0.06923591929082545,0.3415334225831523,0.44059020859248604
Gradient Boosting Machine,Original,Accuracy,0.9951602057113164,0.002981225864450284,0.9930275652009775,0.9972928462216553
Gradient Boosting Machine,Original,Precision,0.9918747296859255,0.00563444225561527,0.9878440925071801,0.9959053668646709
Gradient Boosting Machine,Original,Recall,0.9944290452217672,0.004318808203121825,0.9913395559481795,0.997518534495355
Gradient Boosting Machine,Original,F1-Score,0.9930719932139016,0.004278706255270337,0.9900111911456515,0.9961327952821517
Gradient Boosting Machine,Padshift,Accuracy,0.44375605033881893,0.041001144260702324,0.41442559863996786,0.47308650203767
Gradient Boosting Machine,Padshift,Precision,0.42779944608599096,0.014448573538605245,0.4174635592239861,0.43813533294799584
Gradient Boosting Machine,Padshift,Recall,0.4031995500903319,0.022300219815513847,0.3872469338410437,0.41915216633962016
Gradient Boosting Machine,Padshift,F1-Score,0.3557708761937396,0.026024459376673886,0.3371540994549538,0.3743876529325254
