Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9958517686435432,0.002312358865888908,0.9941976067597889,0.9975059305272975
Random Forest,Original,Precision,0.9941420364959764,0.0038629047538565825,0.9913786809032681,0.9969053920886848
Random Forest,Original,Recall,0.9940738770099143,0.004340074147184592,0.9909691749963796,0.9971785790234491
Random Forest,Original,F1-Score,0.9940548019634956,0.003665788335105831,0.9914324549622172,0.996677148964774
Random Forest,Padxor,Accuracy,0.6493569354169547,0.00584549617026324,0.6451753193628376,0.6535385514710719
Random Forest,Padxor,Precision,0.5336967869624704,0.13081237925787176,0.4401192480762648,0.6272743258486759
Random Forest,Padxor,Recall,0.5137321453796206,0.0034355368008572107,0.5112745104034733,0.516189780355768
Random Forest,Padxor,F1-Score,0.4681680383098691,0.0027939647693664737,0.4661693563171146,0.4701667203026236
K-Nearest Neighbors,Original,Accuracy,0.9250448942787497,0.009044784908268544,0.9185746449317642,0.9315151436257352
K-Nearest Neighbors,Original,Precision,0.9044433952679581,0.009923476765482605,0.8973445676327103,0.911542222903206
K-Nearest Neighbors,Original,Recall,0.8995448251242312,0.01472484807864425,0.8890113033620706,0.9100783468863918
K-Nearest Neighbors,Original,F1-Score,0.9012648534481998,0.011759439294511538,0.892852657338741,0.9096770495576587
K-Nearest Neighbors,Padxor,Accuracy,0.29249066519153644,1e-06,0.2924899498346305,0.29249138054844237
K-Nearest Neighbors,Padxor,Precision,0.058558923425092335,5.577084154012852e-05,0.05851902736844582,0.058598819481738854
K-Nearest Neighbors,Padxor,Recall,0.2,1e-06,0.19999928464309405,0.20000071535690597
K-Nearest Neighbors,Padxor,F1-Score,0.09059275672396888,6.672619851630701e-05,0.09054502367705228,0.09064048977088549
Decision Tree,Original,Accuracy,0.9918412767550798,0.00412215754241836,0.9888924628896864,0.9947900906204733
Decision Tree,Original,Precision,0.9878255897284232,0.005928337532673406,0.9835847125336074,0.992066466923239
Decision Tree,Original,Recall,0.9882561113200226,0.006006436911392697,0.9839593651952894,0.9925528574447557
Decision Tree,Original,F1-Score,0.9879775202578125,0.005467221735604553,0.9840665054328738,0.9918885350827512
Decision Tree,Padxor,Accuracy,0.5138984926012999,0.11230852567263715,0.4335578131640272,0.5942391720385727
Decision Tree,Padxor,Precision,0.4351985538504911,0.03775541998279124,0.40818995342866166,0.46220715427232056
Decision Tree,Padxor,Recall,0.44609820652239945,0.0598632717844187,0.40327460163849976,0.48892181140629914
Decision Tree,Padxor,F1-Score,0.39321672283864206,0.06656640116306976,0.3455979880622308,0.4408354576150533
Gradient Boosting Machine,Original,Accuracy,0.9951602057113164,0.002981225864450284,0.9930275652009775,0.9972928462216553
Gradient Boosting Machine,Original,Precision,0.9918747296859255,0.00563444225561527,0.9878440925071801,0.9959053668646709
Gradient Boosting Machine,Original,Recall,0.9944290452217672,0.004318808203121825,0.9913395559481795,0.997518534495355
Gradient Boosting Machine,Original,F1-Score,0.9930719932139016,0.004278706255270337,0.9900111911456515,0.9961327952821517
Gradient Boosting Machine,Padxor,Accuracy,0.44436454155718436,0.04222843694522542,0.41415613756083464,0.4745729455535341
Gradient Boosting Machine,Padxor,Precision,0.4213058121921255,0.016630987287438562,0.4094087205832469,0.43320290380100407
Gradient Boosting Machine,Padxor,Recall,0.40365831219384446,0.022942102495259527,0.38724652073678884,0.4200701036509001
Gradient Boosting Machine,Padxor,F1-Score,0.35540815148591004,0.026651422296539856,0.3363428724926219,0.3744734304791982
