Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9988237369021682,0.0009840166756049792,0.9981198137777016,0.9995276600266347
Random Forest,Original,Precision,0.998780616043504,0.0010166083986913501,0.9980533782048507,0.9995078538821572
Random Forest,Original,Recall,0.9987883391144405,0.001001849805663372,0.998071658937232,0.999505019291649
Random Forest,Original,F1-Score,0.9987830517764266,0.0010091312923414272,0.9980611627374373,0.9995049408154159
Random Forest,con,Accuracy,0.5025054402164324,0.07406257392777406,0.44952426648457633,0.5554866139482885
Random Forest,con,Precision,0.583706283779468,0.11308988115993816,0.5028066562983505,0.6646059112605854
Random Forest,con,Recall,0.5068978659996998,0.07994537028543977,0.4497083932670749,0.5640873387323246
Random Forest,con,F1-Score,0.4822840731722692,0.10284076118951385,0.4087162244419312,0.5558519219026071
K-Nearest Neighbors,Original,Accuracy,0.9093685029567382,0.00446824225842808,0.9061721149997025,0.9125648909137739
K-Nearest Neighbors,Original,Precision,0.9121372870926516,0.005293505493964475,0.9083505413808463,0.915924032804457
K-Nearest Neighbors,Original,Recall,0.9091797650763466,0.004824781191031076,0.9057283245316324,0.9126312056210607
K-Nearest Neighbors,Original,F1-Score,0.9103756107213895,0.004934033158806222,0.9068460160270385,0.9139052054157405
K-Nearest Neighbors,con,Accuracy,0.2273716402987708,1e-06,0.22737092494186484,0.22737235565567676
K-Nearest Neighbors,con,Precision,0.04894600240552004,1e-06,0.04894528704861408,0.04894671776242599
K-Nearest Neighbors,con,Recall,0.2,1e-06,0.19999928464309405,0.20000071535690597
K-Nearest Neighbors,con,F1-Score,0.07864517113360117,1e-06,0.07864445577669522,0.07864588649050712
Decision Tree,Original,Accuracy,0.9977061935885466,0.0010341434025259305,0.9969664119638044,0.9984459752132888
Decision Tree,Original,Precision,0.997687428953794,0.0010502960946986697,0.9969360923891564,0.9984387655184317
Decision Tree,Original,Recall,0.9976885005101318,0.0010884706710410765,0.9969098554986757,0.9984671455215879
Decision Tree,Original,F1-Score,0.9976838965599926,0.0010660462112668913,0.9969212930406982,0.9984465000792869
Decision Tree,con,Accuracy,0.33899900017643947,0.06371838561045319,0.29341761299385277,0.38458038735902617
Decision Tree,con,Precision,0.28744847849380994,0.11234554646136437,0.2070813159796574,0.3678156410079625
Decision Tree,con,Recall,0.3580231846661513,0.06394163432780019,0.3122820949718654,0.4037642743604372
Decision Tree,con,F1-Score,0.2861921341731752,0.08562223852807291,0.22494167453899983,0.34744259380735054
Gradient Boosting Machine,Original,Accuracy,0.9964712452882388,0.00139191683930534,0.99547552796473,0.9974669626117476
Gradient Boosting Machine,Original,Precision,0.996585273475452,0.0014084853442635692,0.9955777037575001,0.9975928431934039
Gradient Boosting Machine,Original,Recall,0.9964019257245148,0.001468475938206558,0.9953514413208936,0.997452410128136
Gradient Boosting Machine,Original,F1-Score,0.996490667742612,0.001437862094242643,0.9954620831636881,0.9975192523215358
Gradient Boosting Machine,con,Accuracy,0.17512791860259952,0.04812537518402805,0.14070109911314652,0.20955473809205252
Gradient Boosting Machine,con,Precision,0.17340872949154137,0.09386701567936048,0.10626031158415249,0.24055714739893025
Gradient Boosting Machine,con,Recall,0.17352023904617,0.04981668016057771,0.13788353286167027,0.20915694523066974
Gradient Boosting Machine,con,F1-Score,0.15658142934689018,0.055784196208781715,0.11667581934592489,0.19648703934785547
