Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9988237369021682,0.0009840166756049792,0.9981198137777016,0.9995276600266347
Random Forest,Original,Precision,0.998780616043504,0.0010166083986913501,0.9980533782048507,0.9995078538821572
Random Forest,Original,Recall,0.9987883391144405,0.001001849805663372,0.998071658937232,0.999505019291649
Random Forest,Original,F1-Score,0.9987830517764266,0.0010091312923414272,0.9980611627374373,0.9995049408154159
Random Forest,del,Accuracy,0.7223901664412162,0.018021424232037293,0.7094984161617274,0.7352819167207051
Random Forest,del,Precision,0.7903936662823867,0.012970271974729228,0.781115292653181,0.7996720399115924
Random Forest,del,Recall,0.7446226437235014,0.018085247900546445,0.7316852367419813,0.7575600507050215
Random Forest,del,F1-Score,0.7231821068802915,0.01781052393763656,0.7104412255828696,0.7359229881777134
K-Nearest Neighbors,Original,Accuracy,0.9093685029567382,0.00446824225842808,0.9061721149997025,0.9125648909137739
K-Nearest Neighbors,Original,Precision,0.9121372870926516,0.005293505493964475,0.9083505413808463,0.915924032804457
K-Nearest Neighbors,Original,Recall,0.9091797650763466,0.004824781191031076,0.9057283245316324,0.9126312056210607
K-Nearest Neighbors,Original,F1-Score,0.9103756107213895,0.004934033158806222,0.9068460160270385,0.9139052054157405
K-Nearest Neighbors,del,Accuracy,0.6653120037640416,0.00282695550530719,0.6632897216204995,0.6673342859075838
K-Nearest Neighbors,del,Precision,0.6896347323985801,0.0023269661119571148,0.687970121120474,0.6912993436766862
K-Nearest Neighbors,del,Recall,0.679344596397378,0.0025311445628732835,0.6775339246543622,0.6811552681403937
K-Nearest Neighbors,del,F1-Score,0.6676547529031792,0.0036079730193297496,0.6650737644873111,0.6702357413190473
Decision Tree,Original,Accuracy,0.9977061935885466,0.0010341434025259305,0.9969664119638044,0.9984459752132888
Decision Tree,Original,Precision,0.997687428953794,0.0010502960946986697,0.9969360923891564,0.9984387655184317
Decision Tree,Original,Recall,0.9976885005101318,0.0010884706710410765,0.9969098554986757,0.9984671455215879
Decision Tree,Original,F1-Score,0.9976838965599926,0.0010660462112668913,0.9969212930406982,0.9984465000792869
Decision Tree,del,Accuracy,0.7845380227018761,0.034702163642514626,0.759713590288707,0.8093624551150452
Decision Tree,del,Precision,0.8066267773796552,0.03761212961926044,0.779720680708934,0.8335328740503763
Decision Tree,del,Recall,0.789248120455208,0.03972779219452349,0.7608285699506069,0.8176676709598091
Decision Tree,del,F1-Score,0.784423141572341,0.03882507614439403,0.7566493552283143,0.8121969279163678
Gradient Boosting Machine,Original,Accuracy,0.9964712452882388,0.00139191683930534,0.99547552796473,0.9974669626117476
Gradient Boosting Machine,Original,Precision,0.996585273475452,0.0014084853442635692,0.9955777037575001,0.9975928431934039
Gradient Boosting Machine,Original,Recall,0.9964019257245148,0.001468475938206558,0.9953514413208936,0.997452410128136
Gradient Boosting Machine,Original,F1-Score,0.996490667742612,0.001437862094242643,0.9954620831636881,0.9975192523215358
Gradient Boosting Machine,del,Accuracy,0.740675174969123,0.016731903089620297,0.728705892544234,0.7526444573940121
Gradient Boosting Machine,del,Precision,0.8310384339889826,0.005532151875652574,0.827080970939956,0.8349958970380091
Gradient Boosting Machine,del,Recall,0.7510738806544309,0.01716607412660893,0.7387940109798674,0.7633537503289944
Gradient Boosting Machine,del,F1-Score,0.747437155410785,0.01732300943045138,0.7350450209828301,0.75982928983874
