Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9988237369021682,0.0009840166756049792,0.9981198137777016,0.9995276600266347
Random Forest,Original,Precision,0.998780616043504,0.0010166083986913501,0.9980533782048507,0.9995078538821572
Random Forest,Original,Recall,0.9987883391144405,0.001001849805663372,0.998071658937232,0.999505019291649
Random Forest,Original,F1-Score,0.9987830517764266,0.0010091312923414272,0.9980611627374373,0.9995049408154159
Random Forest,frag,Accuracy,0.5109548372731657,0.02700242672968712,0.4916384648346057,0.5302712097117257
Random Forest,frag,Precision,0.5187254895452429,0.04533184104070733,0.4862970439972287,0.5511539350932572
Random Forest,frag,Recall,0.5003408167106576,0.026174433577064695,0.4816167548919074,0.5190648785294076
Random Forest,frag,F1-Score,0.45104630539176516,0.03284182183512774,0.42755268133794255,0.47453992944558776
K-Nearest Neighbors,Original,Accuracy,0.9093685029567382,0.00446824225842808,0.9061721149997025,0.9125648909137739
K-Nearest Neighbors,Original,Precision,0.9121372870926516,0.005293505493964475,0.9083505413808463,0.915924032804457
K-Nearest Neighbors,Original,Recall,0.9091797650763466,0.004824781191031076,0.9057283245316324,0.9126312056210607
K-Nearest Neighbors,Original,F1-Score,0.9103756107213895,0.004934033158806222,0.9068460160270385,0.9139052054157405
K-Nearest Neighbors,frag,Accuracy,0.1854751920436412,1e-06,0.18547447668673525,0.18547590740054717
K-Nearest Neighbors,frag,Precision,0.03709503840872824,1e-06,0.03709432305182229,0.0370957537656342
K-Nearest Neighbors,frag,Recall,0.2,1e-06,0.19999928464309405,0.20000071535690597
K-Nearest Neighbors,frag,F1-Score,0.06258256378149944,1.3877787807814457e-17,0.06258256378149943,0.06258256378149946
Decision Tree,Original,Accuracy,0.9977061935885466,0.0010341434025259305,0.9969664119638044,0.9984459752132888
Decision Tree,Original,Precision,0.997687428953794,0.0010502960946986697,0.9969360923891564,0.9984387655184317
Decision Tree,Original,Recall,0.9976885005101318,0.0010884706710410765,0.9969098554986757,0.9984671455215879
Decision Tree,Original,F1-Score,0.9976838965599926,0.0010660462112668913,0.9969212930406982,0.9984465000792869
Decision Tree,frag,Accuracy,0.5645118194975323,0.035181645992680755,0.5393443860738895,0.5896792529211751
Decision Tree,frag,Precision,0.5783148974277824,0.029327048918424685,0.5573355904527784,0.5992942044027865
Decision Tree,frag,Recall,0.5478253954788745,0.03872795671300804,0.520121084190792,0.5755297067669571
Decision Tree,frag,F1-Score,0.5027473336236872,0.055211388802575416,0.4632514853565323,0.542243181890842
Gradient Boosting Machine,Original,Accuracy,0.9964712452882388,0.00139191683930534,0.99547552796473,0.9974669626117476
Gradient Boosting Machine,Original,Precision,0.996585273475452,0.0014084853442635692,0.9955777037575001,0.9975928431934039
Gradient Boosting Machine,Original,Recall,0.9964019257245148,0.001468475938206558,0.9953514413208936,0.997452410128136
Gradient Boosting Machine,Original,F1-Score,0.996490667742612,0.001437862094242643,0.9954620831636881,0.9975192523215358
Gradient Boosting Machine,frag,Accuracy,0.31010130997884733,0.024556347195159787,0.2925347574278207,0.32766786252987395
Gradient Boosting Machine,frag,Precision,0.4048220048862702,0.02803718145541066,0.3847654135086968,0.42487859626384356
Gradient Boosting Machine,frag,Recall,0.31621932171770517,0.025921087331954702,0.29767649288499165,0.3347621505504187
Gradient Boosting Machine,frag,F1-Score,0.27341822517987246,0.027577433090104304,0.25369051797042136,0.29314593238932357
