Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9988237369021682,0.0009840166756049792,0.9981198137777016,0.9995276600266347
Random Forest,Original,Precision,0.998780616043504,0.0010166083986913501,0.9980533782048507,0.9995078538821572
Random Forest,Original,Recall,0.9987883391144405,0.001001849805663372,0.998071658937232,0.999505019291649
Random Forest,Original,F1-Score,0.9987830517764266,0.0010091312923414272,0.9980611627374373,0.9995049408154159
Random Forest,pad,Accuracy,0.5402634829147798,0.04214756083154401,0.5101129342048787,0.5704140316246809
Random Forest,pad,Precision,0.5839259076031916,0.07068701987450726,0.5333594597747562,0.6344923554316271
Random Forest,pad,Recall,0.5455308155017173,0.047305433841053436,0.5116905467144373,0.5793710842889974
Random Forest,pad,F1-Score,0.5357095011135142,0.060096318155874746,0.4927191848983863,0.5786998173286422
K-Nearest Neighbors,Original,Accuracy,0.9093685029567382,0.00446824225842808,0.9061721149997025,0.9125648909137739
K-Nearest Neighbors,Original,Precision,0.9121372870926516,0.005293505493964475,0.9083505413808463,0.915924032804457
K-Nearest Neighbors,Original,Recall,0.9091797650763466,0.004824781191031076,0.9057283245316324,0.9126312056210607
K-Nearest Neighbors,Original,F1-Score,0.9103756107213895,0.004934033158806222,0.9068460160270385,0.9139052054157405
K-Nearest Neighbors,pad,Accuracy,0.2273716402987708,1e-06,0.22737092494186484,0.22737235565567676
K-Nearest Neighbors,pad,Precision,0.04547432805975416,1e-06,0.04547361270284821,0.045475043416660116
K-Nearest Neighbors,pad,Recall,0.2,1e-06,0.19999928464309405,0.20000071535690597
K-Nearest Neighbors,pad,F1-Score,0.07410034021754755,1e-06,0.0740996248606416,0.0741010555744535
Decision Tree,Original,Accuracy,0.9977061935885466,0.0010341434025259305,0.9969664119638044,0.9984459752132888
Decision Tree,Original,Precision,0.997687428953794,0.0010502960946986697,0.9969360923891564,0.9984387655184317
Decision Tree,Original,Recall,0.9976885005101318,0.0010884706710410765,0.9969098554986757,0.9984671455215879
Decision Tree,Original,F1-Score,0.9976838965599926,0.0010660462112668913,0.9969212930406982,0.9984465000792869
Decision Tree,pad,Accuracy,0.48070928659648293,0.04732246039405929,0.44685683774692553,0.5145617354460403
Decision Tree,pad,Precision,0.485013273704663,0.07226893191862373,0.4333151941708593,0.5367113532384667
Decision Tree,pad,Recall,0.4901614504776493,0.04912367218344204,0.45502049233547376,0.5253024086198248
Decision Tree,pad,F1-Score,0.46684489490115366,0.05142381695973471,0.43005851230856645,0.5036312774937409
Gradient Boosting Machine,Original,Accuracy,0.9964712452882388,0.00139191683930534,0.99547552796473,0.9974669626117476
Gradient Boosting Machine,Original,Precision,0.996585273475452,0.0014084853442635692,0.9955777037575001,0.9975928431934039
Gradient Boosting Machine,Original,Recall,0.9964019257245148,0.001468475938206558,0.9953514413208936,0.997452410128136
Gradient Boosting Machine,Original,F1-Score,0.996490667742612,0.001437862094242643,0.9954620831636881,0.9975192523215358
Gradient Boosting Machine,pad,Accuracy,0.33034758572016704,0.03303506399712067,0.3067157245512416,0.3539794468890925
Gradient Boosting Machine,pad,Precision,0.41286745923318663,0.029520984596991467,0.3917494190312093,0.43398549943516396
Gradient Boosting Machine,pad,Recall,0.31752217818863343,0.03402142189343437,0.29318471908683913,0.34185963729042773
Gradient Boosting Machine,pad,F1-Score,0.3136368684461845,0.03280449200659711,0.2901699485429993,0.33710378834936966
