Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9988237369021682,0.0009840166756049792,0.9981198137777016,0.9995276600266347
Random Forest,Original,Precision,0.998780616043504,0.0010166083986913501,0.9980533782048507,0.9995078538821572
Random Forest,Original,Recall,0.9987883391144405,0.001001849805663372,0.998071658937232,0.999505019291649
Random Forest,Original,F1-Score,0.9987830517764266,0.0010091312923414272,0.9980611627374373,0.9995049408154159
Random Forest,padshift,Accuracy,0.5240829808193777,0.04190438042600794,0.4941063928919691,0.5540595687467862
Random Forest,padshift,Precision,0.5703842567087574,0.06942620508590129,0.5207197414464783,0.6200487719710365
Random Forest,padshift,Recall,0.5261485040795524,0.046584749114956144,0.4928237820881005,0.5594732260710042
Random Forest,padshift,F1-Score,0.5199406898694926,0.0595113408214953,0.47736884123033874,0.5625125385086465
K-Nearest Neighbors,Original,Accuracy,0.9093685029567382,0.00446824225842808,0.9061721149997025,0.9125648909137739
K-Nearest Neighbors,Original,Precision,0.9121372870926516,0.005293505493964475,0.9083505413808463,0.915924032804457
K-Nearest Neighbors,Original,Recall,0.9091797650763466,0.004824781191031076,0.9057283245316324,0.9126312056210607
K-Nearest Neighbors,Original,F1-Score,0.9103756107213895,0.004934033158806222,0.9068460160270385,0.9139052054157405
K-Nearest Neighbors,padshift,Accuracy,0.23828011821289913,2.7755575615628914e-17,0.2382801182128991,0.23828011821289916
K-Nearest Neighbors,padshift,Precision,0.164746890937361,2.7755575615628914e-17,0.16474689093736097,0.16474689093736103
K-Nearest Neighbors,padshift,Recall,0.21510592569849557,1e-06,0.2151052103415896,0.21510664105540153
K-Nearest Neighbors,padshift,F1-Score,0.10147753292603676,1e-06,0.10147681756913081,0.1014782482829427
Decision Tree,Original,Accuracy,0.9977061935885466,0.0010341434025259305,0.9969664119638044,0.9984459752132888
Decision Tree,Original,Precision,0.997687428953794,0.0010502960946986697,0.9969360923891564,0.9984387655184317
Decision Tree,Original,Recall,0.9976885005101318,0.0010884706710410765,0.9969098554986757,0.9984671455215879
Decision Tree,Original,F1-Score,0.9976838965599926,0.0010660462112668913,0.9969212930406982,0.9984465000792869
Decision Tree,padshift,Accuracy,0.4657704120067219,0.046074805748262275,0.43281048152427926,0.4987303424891646
Decision Tree,padshift,Precision,0.4705655818624532,0.0738965810585994,0.41770315227590005,0.5234280114490063
Decision Tree,padshift,Recall,0.47275646506829067,0.04903031520460077,0.4376822904856481,0.5078306396509332
Decision Tree,padshift,F1-Score,0.4506547154111993,0.0516402730680245,0.4137134894467113,0.48759594137568724
Gradient Boosting Machine,Original,Accuracy,0.9964712452882388,0.00139191683930534,0.99547552796473,0.9974669626117476
Gradient Boosting Machine,Original,Precision,0.996585273475452,0.0014084853442635692,0.9955777037575001,0.9975928431934039
Gradient Boosting Machine,Original,Recall,0.9964019257245148,0.001468475938206558,0.9953514413208936,0.997452410128136
Gradient Boosting Machine,Original,F1-Score,0.996490667742612,0.001437862094242643,0.9954620831636881,0.9975192523215358
Gradient Boosting Machine,padshift,Accuracy,0.31315987715130095,0.03802947251305006,0.2859552313593571,0.3403645229432448
Gradient Boosting Machine,padshift,Precision,0.3998076463490324,0.03373873569804653,0.3756724087693262,0.4239428839287385
Gradient Boosting Machine,padshift,Recall,0.30118847621984224,0.03933393191467332,0.2730506763864124,0.3293262760532721
Gradient Boosting Machine,padshift,F1-Score,0.29337845266046714,0.036156215347524126,0.2675138543185074,0.3192430510024269
