Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9988237369021682,0.0009840166756049792,0.9981198137777016,0.9995276600266347
Random Forest,Original,Precision,0.998780616043504,0.0010166083986913501,0.9980533782048507,0.9995078538821572
Random Forest,Original,Recall,0.9987883391144405,0.001001849805663372,0.998071658937232,0.999505019291649
Random Forest,Original,F1-Score,0.9987830517764266,0.0010091312923414272,0.9980611627374373,0.9995049408154159
Random Forest,padxor,Accuracy,0.5332000235252602,0.040328748182194035,0.5043505750047055,0.5620494720458149
Random Forest,padxor,Precision,0.5751218757957294,0.06812712790154198,0.5263866643686471,0.6238570872228116
Random Forest,padxor,Recall,0.5386486286488829,0.04547561171348609,0.506117335757223,0.5711799215405428
Random Forest,padxor,F1-Score,0.5289477910695545,0.05851717996900142,0.4870871222618598,0.5708084598772492
K-Nearest Neighbors,Original,Accuracy,0.9093685029567382,0.00446824225842808,0.9061721149997025,0.9125648909137739
K-Nearest Neighbors,Original,Precision,0.9121372870926516,0.005293505493964475,0.9083505413808463,0.915924032804457
K-Nearest Neighbors,Original,Recall,0.9091797650763466,0.004824781191031076,0.9057283245316324,0.9126312056210607
K-Nearest Neighbors,Original,F1-Score,0.9103756107213895,0.004934033158806222,0.9068460160270385,0.9139052054157405
K-Nearest Neighbors,padxor,Accuracy,0.2494853849320708,2.7755575615628914e-17,0.24948538493207076,0.24948538493207081
K-Nearest Neighbors,padxor,Precision,0.44650267636976004,1e-06,0.4465019610128541,0.446503391726666
K-Nearest Neighbors,padxor,Recall,0.2237776321298909,2.7755575615628914e-17,0.22377763212989088,0.22377763212989094
K-Nearest Neighbors,padxor,F1-Score,0.11982839133993455,1e-06,0.1198276759830286,0.11982910669684049
Decision Tree,Original,Accuracy,0.9977061935885466,0.0010341434025259305,0.9969664119638044,0.9984459752132888
Decision Tree,Original,Precision,0.997687428953794,0.0010502960946986697,0.9969360923891564,0.9984387655184317
Decision Tree,Original,Recall,0.9976885005101318,0.0010884706710410765,0.9969098554986757,0.9984671455215879
Decision Tree,Original,F1-Score,0.9976838965599926,0.0010660462112668913,0.9969212930406982,0.9984465000792869
Decision Tree,padxor,Accuracy,0.47389284243956953,0.047531296511985614,0.43989100123084124,0.5078946836482978
Decision Tree,padxor,Precision,0.4743170794779106,0.07427018361118362,0.4211873907252848,0.5274467682305363
Decision Tree,padxor,Recall,0.4839765754954641,0.04935032293334734,0.44867348117410444,0.5192796698168237
Decision Tree,padxor,F1-Score,0.46011165984219626,0.05229937616102303,0.42269893992839713,0.4975243797559954
Gradient Boosting Machine,Original,Accuracy,0.9964712452882388,0.00139191683930534,0.99547552796473,0.9974669626117476
Gradient Boosting Machine,Original,Precision,0.996585273475452,0.0014084853442635692,0.9955777037575001,0.9975928431934039
Gradient Boosting Machine,Original,Recall,0.9964019257245148,0.001468475938206558,0.9953514413208936,0.997452410128136
Gradient Boosting Machine,Original,F1-Score,0.996490667742612,0.001437862094242643,0.9954620831636881,0.9975192523215358
Gradient Boosting Machine,padxor,Accuracy,0.3257836852320179,0.040083343741379465,0.2971097884729513,0.3544575819910845
Gradient Boosting Machine,padxor,Precision,0.40297625072068594,0.03403936867073778,0.37862595326780807,0.4273265481735638
Gradient Boosting Machine,padxor,Recall,0.3137877866594375,0.041204859260808836,0.2843116060284141,0.34326396729046094
Gradient Boosting Machine,padxor,F1-Score,0.30818944946833343,0.03733160215274982,0.2814840300580899,0.33489486887857695
