Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9996954825441753,8.613064863806511e-05,0.9996338683898579,0.9997570966984927
Random Forest,Original,Precision,0.9997201967308215,7.712834045409948e-05,0.999665022439833,0.9997753710218099
Random Forest,Original,Recall,0.9995712808807508,0.0001758796486984298,0.9994454641594378,0.9996970976020637
Random Forest,Original,F1-Score,0.9996455790841416,0.0001213150687522239,0.9995587955119136,0.9997323626563697
Random Forest,con,Accuracy,0.4108061195902408,0.0780459249055678,0.35497542822758704,0.4666368109528946
Random Forest,con,Precision,0.4977049596310251,0.11956172777961391,0.41217565197625683,0.5832342672857934
Random Forest,con,Recall,0.4270160296914843,0.08405454345227177,0.3668870315562111,0.48714502782675745
Random Forest,con,F1-Score,0.33771827294786094,0.1067361607785864,0.2613638232200351,0.4140727226756868
K-Nearest Neighbors,Original,Accuracy,0.9720148228497643,0.0010994608986857164,0.9712283159030646,0.9728013297964639
K-Nearest Neighbors,Original,Precision,0.9731536708131714,0.0009960100392040817,0.9724411681532287,0.9738661734731141
K-Nearest Neighbors,Original,Recall,0.9699177850708163,0.0016539124790371114,0.9687346473570959,0.9711009227845366
K-Nearest Neighbors,Original,F1-Score,0.9714930964680637,0.0012207914256316503,0.9706197948910105,0.9723663980451169
K-Nearest Neighbors,con,Accuracy,0.08259193393181237,0.0002547553257360959,0.08240969295021885,0.08277417491340588
K-Nearest Neighbors,con,Precision,0.1966628620510304,0.005637152873745392,0.19263028581288624,0.20069543828917455
K-Nearest Neighbors,con,Recall,0.1810235702230601,0.0002753983822046007,0.18082656208846187,0.1812205783576583
K-Nearest Neighbors,con,F1-Score,0.07041329188722373,0.00031658746224391243,0.07018681885976955,0.07063976491467791
Decision Tree,Original,Accuracy,0.9993117907501329,0.00017450256370136748,0.9991869591360827,0.9994366223641831
Decision Tree,Original,Precision,0.9991737393950327,0.00039633352990411995,0.9988902194673552,0.9994572593227102
Decision Tree,Original,Recall,0.999220229117123,0.00023685830166896864,0.9990507908952919,0.9993896673389542
Decision Tree,Original,F1-Score,0.9991965703908583,0.00027721784363084407,0.9989982606919637,0.9993948800897529
Decision Tree,con,Accuracy,0.31871566561506504,0.022817077193161547,0.302393311871284,0.3350380193588461
Decision Tree,con,Precision,0.20745577606054502,0.04771018993830168,0.173325962203872,0.24158558991721804
Decision Tree,con,Recall,0.30961987109060674,0.01454075637852273,0.2992180405974566,0.32002170158375687
Decision Tree,con,F1-Score,0.20203285597211865,0.026297572064370847,0.18322070618608552,0.22084500575815177
Gradient Boosting Machine,Original,Accuracy,0.9966685754205175,0.00039475236535891766,0.9963861865898168,0.9969509642512181
Gradient Boosting Machine,Original,Precision,0.9968131718070914,0.00037672688507949393,0.9965436776281917,0.997082665985991
Gradient Boosting Machine,Original,Recall,0.9951203170973866,0.0007939431921731609,0.9945523643519315,0.9956882698428416
Gradient Boosting Machine,Original,F1-Score,0.9959568625017174,0.0005436667308119182,0.9955679467512945,0.9963457782521404
Gradient Boosting Machine,con,Accuracy,0.15250435460491857,0.0032778851631297917,0.1501594968165542,0.15484921239328295
Gradient Boosting Machine,con,Precision,0.42833115781863107,0.06207486677480495,0.3839254731851885,0.47273684245207365
Gradient Boosting Machine,con,Recall,0.2575965848593685,0.002499569985727677,0.2558085002081664,0.25938466951057054
Gradient Boosting Machine,con,F1-Score,0.16254893626224906,0.004007754536663933,0.15968196137708376,0.16541591114741436
