Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9996954825441753,8.613064863806511e-05,0.9996338683898579,0.9997570966984927
Random Forest,Original,Precision,0.9997201967308215,7.712834045409948e-05,0.999665022439833,0.9997753710218099
Random Forest,Original,Recall,0.9995712808807508,0.0001758796486984298,0.9994454641594378,0.9996970976020637
Random Forest,Original,F1-Score,0.9996455790841416,0.0001213150687522239,0.9995587955119136,0.9997323626563697
Random Forest,del,Accuracy,0.9640200490873767,0.004736099730873453,0.9606320474376162,0.9674080507371372
Random Forest,del,Precision,0.9587415894414704,0.004866253798853526,0.9552604811803426,0.9622226977025982
Random Forest,del,Recall,0.9561550424918849,0.00563756422080558,0.9521221719937805,0.9601879129899893
Random Forest,del,F1-Score,0.9571002552680337,0.005310629653782819,0.9533012596702436,0.9608992508658237
K-Nearest Neighbors,Original,Accuracy,0.9720148228497643,0.0010994608986857164,0.9712283159030646,0.9728013297964639
K-Nearest Neighbors,Original,Precision,0.9731536708131714,0.0009960100392040817,0.9724411681532287,0.9738661734731141
K-Nearest Neighbors,Original,Recall,0.9699177850708163,0.0016539124790371114,0.9687346473570959,0.9711009227845366
K-Nearest Neighbors,Original,F1-Score,0.9714930964680637,0.0012207914256316503,0.9706197948910105,0.9723663980451169
K-Nearest Neighbors,del,Accuracy,0.8014068466537146,0.0026543329069266936,0.7995080512780475,0.8033056420293818
K-Nearest Neighbors,del,Precision,0.7525879032335361,0.0028463549009679627,0.7505517435983367,0.7546240628687355
K-Nearest Neighbors,del,Recall,0.7505404979173066,0.002063160932737158,0.7490646014959815,0.7520163943386317
K-Nearest Neighbors,del,F1-Score,0.7478102356323839,0.002487817140939558,0.7460305584598657,0.7495899128049022
Decision Tree,Original,Accuracy,0.9993117907501329,0.00017450256370136748,0.9991869591360827,0.9994366223641831
Decision Tree,Original,Precision,0.9991737393950327,0.00039633352990411995,0.9988902194673552,0.9994572593227102
Decision Tree,Original,Recall,0.999220229117123,0.00023685830166896864,0.9990507908952919,0.9993896673389542
Decision Tree,Original,F1-Score,0.9991965703908583,0.00027721784363084407,0.9989982606919637,0.9993948800897529
Decision Tree,del,Accuracy,0.83136719915711,0.021130437978277773,0.8162513944235464,0.8464830038906735
Decision Tree,del,Precision,0.7952191596574651,0.025662394398109217,0.7768613886014991,0.8135769307134312
Decision Tree,del,Recall,0.7933985682862507,0.016319625131960728,0.7817242117455454,0.8050729248269559
Decision Tree,del,F1-Score,0.7786316009777731,0.023640645514701027,0.7617201019476549,0.7955431000078912
Gradient Boosting Machine,Original,Accuracy,0.9966685754205175,0.00039475236535891766,0.9963861865898168,0.9969509642512181
Gradient Boosting Machine,Original,Precision,0.9968131718070914,0.00037672688507949393,0.9965436776281917,0.997082665985991
Gradient Boosting Machine,Original,Recall,0.9951203170973866,0.0007939431921731609,0.9945523643519315,0.9956882698428416
Gradient Boosting Machine,Original,F1-Score,0.9959568625017174,0.0005436667308119182,0.9955679467512945,0.9963457782521404
Gradient Boosting Machine,del,Accuracy,0.9254736688246437,0.0030730571302634117,0.9232753361841229,0.9276720014651644
Gradient Boosting Machine,del,Precision,0.9184770366593409,0.005886017395967791,0.9142664334665783,0.9226876398521034
Gradient Boosting Machine,del,Recall,0.8981608200737498,0.002977632237097755,0.8960307502895549,0.9002908898579446
Gradient Boosting Machine,del,F1-Score,0.9059739930580347,0.003914006021499952,0.9031740818206148,0.9087739042954547
