Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9996954825441753,8.613064863806511e-05,0.9996338683898579,0.9997570966984927
Random Forest,Original,Precision,0.9997201967308215,7.712834045409948e-05,0.999665022439833,0.9997753710218099
Random Forest,Original,Recall,0.9995712808807508,0.0001758796486984298,0.9994454641594378,0.9996970976020637
Random Forest,Original,F1-Score,0.9996455790841416,0.0001213150687522239,0.9995587955119136,0.9997323626563697
Random Forest,frag,Accuracy,0.49066773589032164,0.03854754278383401,0.46309248495240374,0.5182429868282395
Random Forest,frag,Precision,0.4830308803875537,0.018230326916011785,0.46998969013041164,0.4960720706446958
Random Forest,frag,Recall,0.567020104210157,0.03244628530947313,0.5438094299415179,0.5902307784787961
Random Forest,frag,F1-Score,0.4369229529503339,0.03809080884627414,0.4096744297888324,0.4641714761118354
K-Nearest Neighbors,Original,Accuracy,0.9720148228497643,0.0010994608986857164,0.9712283159030646,0.9728013297964639
K-Nearest Neighbors,Original,Precision,0.9731536708131714,0.0009960100392040817,0.9724411681532287,0.9738661734731141
K-Nearest Neighbors,Original,Recall,0.9699177850708163,0.0016539124790371114,0.9687346473570959,0.9711009227845366
K-Nearest Neighbors,Original,F1-Score,0.9714930964680637,0.0012207914256316503,0.9706197948910105,0.9723663980451169
K-Nearest Neighbors,frag,Accuracy,0.051541440278569925,1e-06,0.05154072492166397,0.05154215563547588
K-Nearest Neighbors,frag,Precision,0.00859024004642832,1e-06,0.008589524689522367,0.008590955403334273
K-Nearest Neighbors,frag,Recall,0.16666666666666669,2.7755575615628914e-17,0.16666666666666666,0.1666666666666667
K-Nearest Neighbors,frag,F1-Score,0.01633837662955562,1e-06,0.01633766127264967,0.016339091986461572
Decision Tree,Original,Accuracy,0.9993117907501329,0.00017450256370136748,0.9991869591360827,0.9994366223641831
Decision Tree,Original,Precision,0.9991737393950327,0.00039633352990411995,0.9988902194673552,0.9994572593227102
Decision Tree,Original,Recall,0.999220229117123,0.00023685830166896864,0.9990507908952919,0.9993896673389542
Decision Tree,Original,F1-Score,0.9991965703908583,0.00027721784363084407,0.9989982606919637,0.9993948800897529
Decision Tree,frag,Accuracy,0.4524578564352827,0.028319486533616944,0.43219931617042895,0.47271639670013643
Decision Tree,frag,Precision,0.33043224110754016,0.017478512979922957,0.3179288661415706,0.3429356160735097
Decision Tree,frag,Recall,0.4309570120648707,0.01569267375771594,0.4197311495194279,0.44218287461031347
Decision Tree,frag,F1-Score,0.34940168213134826,0.016798142402369036,0.33738501495663886,0.36141834930605765
Gradient Boosting Machine,Original,Accuracy,0.9966685754205175,0.00039475236535891766,0.9963861865898168,0.9969509642512181
Gradient Boosting Machine,Original,Precision,0.9968131718070914,0.00037672688507949393,0.9965436776281917,0.997082665985991
Gradient Boosting Machine,Original,Recall,0.9951203170973866,0.0007939431921731609,0.9945523643519315,0.9956882698428416
Gradient Boosting Machine,Original,F1-Score,0.9959568625017174,0.0005436667308119182,0.9955679467512945,0.9963457782521404
Gradient Boosting Machine,frag,Accuracy,0.29551354897916304,0.06015685673121106,0.2524799260760917,0.3385471718822344
Gradient Boosting Machine,frag,Precision,0.4628195445338311,0.11207343521014132,0.3826470386824284,0.5429920503852339
Gradient Boosting Machine,frag,Recall,0.39665439762691845,0.05724232977362216,0.35570570171054333,0.4376030935432936
Gradient Boosting Machine,frag,F1-Score,0.3073291073877977,0.07543673092347608,0.2533649209592031,0.36129329381639225
