Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9996954825441753,8.613064863806511e-05,0.9996338683898579,0.9997570966984927
Random Forest,Original,Precision,0.9997201967308215,7.712834045409948e-05,0.999665022439833,0.9997753710218099
Random Forest,Original,Recall,0.9995712808807508,0.0001758796486984298,0.9994454641594378,0.9996970976020637
Random Forest,Original,F1-Score,0.9996455790841416,0.0001213150687522239,0.9995587955119136,0.9997323626563697
Random Forest,pad,Accuracy,0.4611530684337467,0.050750119304934505,0.42484862011104485,0.49745751675644856
Random Forest,pad,Precision,0.633388018717035,0.03188185466276782,0.6105811138094478,0.6561949236246222
Random Forest,pad,Recall,0.5142964172471176,0.05267129093301803,0.47661764553274605,0.5519751889614891
Random Forest,pad,F1-Score,0.3760722735087748,0.06859306474789431,0.3270037509409167,0.4251407960766329
K-Nearest Neighbors,Original,Accuracy,0.9720148228497643,0.0010994608986857164,0.9712283159030646,0.9728013297964639
K-Nearest Neighbors,Original,Precision,0.9731536708131714,0.0009960100392040817,0.9724411681532287,0.9738661734731141
K-Nearest Neighbors,Original,Recall,0.9699177850708163,0.0016539124790371114,0.9687346473570959,0.9711009227845366
K-Nearest Neighbors,Original,F1-Score,0.9714930964680637,0.0012207914256316503,0.9706197948910105,0.9723663980451169
K-Nearest Neighbors,pad,Accuracy,0.04953528881526055,3.279877218269638e-06,0.04953294253244178,0.04953763509807932
K-Nearest Neighbors,pad,Precision,0.17491511932030473,2.7755575615628914e-17,0.1749151193203047,0.17491511932030476
K-Nearest Neighbors,pad,Recall,0.1667224942025251,3.3037415535606614e-06,0.1667201308481893,0.16672485755686092
K-Nearest Neighbors,pad,F1-Score,0.015830580147736563,6.603048733722118e-06,0.015825856611224553,0.015835303684248573
Decision Tree,Original,Accuracy,0.9993117907501329,0.00017450256370136748,0.9991869591360827,0.9994366223641831
Decision Tree,Original,Precision,0.9991737393950327,0.00039633352990411995,0.9988902194673552,0.9994572593227102
Decision Tree,Original,Recall,0.999220229117123,0.00023685830166896864,0.9990507908952919,0.9993896673389542
Decision Tree,Original,F1-Score,0.9991965703908583,0.00027721784363084407,0.9989982606919637,0.9993948800897529
Decision Tree,pad,Accuracy,0.3974206397544279,0.018208405287701422,0.38439513128548736,0.4104461482233684
Decision Tree,pad,Precision,0.5112333429250218,0.05963077697120336,0.46857605481135384,0.5538906310386896
Decision Tree,pad,Recall,0.4167808368990206,0.022331153860139504,0.4008060917672804,0.43275558203076087
Decision Tree,pad,F1-Score,0.3036938521947265,0.021850350192426232,0.2880630532870923,0.3193246511023607
Gradient Boosting Machine,Original,Accuracy,0.9966685754205175,0.00039475236535891766,0.9963861865898168,0.9969509642512181
Gradient Boosting Machine,Original,Precision,0.9968131718070914,0.00037672688507949393,0.9965436776281917,0.997082665985991
Gradient Boosting Machine,Original,Recall,0.9951203170973866,0.0007939431921731609,0.9945523643519315,0.9956882698428416
Gradient Boosting Machine,Original,F1-Score,0.9959568625017174,0.0005436667308119182,0.9955679467512945,0.9963457782521404
Gradient Boosting Machine,pad,Accuracy,0.06836735936852877,0.01273721087281903,0.059255707608083484,0.07747901112897404
Gradient Boosting Machine,pad,Precision,0.40511204736014095,0.04718726373540491,0.3713563123740137,0.4388677823462682
Gradient Boosting Machine,pad,Recall,0.1822901421172277,0.010711080969492196,0.1746278963754843,0.1899523878589711
Gradient Boosting Machine,pad,F1-Score,0.04497638808859772,0.014211358460315808,0.03481019467104329,0.055142581506152144
