Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9996954825441753,8.613064863806511e-05,0.9996338683898579,0.9997570966984927
Random Forest,Original,Precision,0.9997201967308215,7.712834045409948e-05,0.999665022439833,0.9997753710218099
Random Forest,Original,Recall,0.9995712808807508,0.0001758796486984298,0.9994454641594378,0.9996970976020637
Random Forest,Original,F1-Score,0.9996455790841416,0.0001213150687522239,0.9995587955119136,0.9997323626563697
Random Forest,padshift,Accuracy,0.4614813506468195,0.051611593752801846,0.42456064062853405,0.49840206066510495
Random Forest,padshift,Precision,0.6336559796515259,0.03219037936493309,0.6106283694675878,0.6566835898354639
Random Forest,padshift,Recall,0.5145943614924531,0.053704311034594915,0.4761766117144307,0.5530121112704754
Random Forest,padshift,F1-Score,0.376795857303118,0.06938262296258507,0.32716251881372926,0.4264291957925067
K-Nearest Neighbors,Original,Accuracy,0.9720148228497643,0.0010994608986857164,0.9712283159030646,0.9728013297964639
K-Nearest Neighbors,Original,Precision,0.9731536708131714,0.0009960100392040817,0.9724411681532287,0.9738661734731141
K-Nearest Neighbors,Original,Recall,0.9699177850708163,0.0016539124790371114,0.9687346473570959,0.9711009227845366
K-Nearest Neighbors,Original,F1-Score,0.9714930964680637,0.0012207914256316503,0.9706197948910105,0.9723663980451169
K-Nearest Neighbors,padshift,Accuracy,0.04947986454552099,1e-06,0.04947914918861503,0.04948057990242694
K-Nearest Neighbors,padshift,Precision,0.008246644090920163,1.734723475976807e-18,0.008246644090920161,0.008246644090920165
K-Nearest Neighbors,padshift,Recall,0.16666666666666669,2.7755575615628914e-17,0.16666666666666666,0.1666666666666667
K-Nearest Neighbors,padshift,F1-Score,0.015715678536608015,1e-06,0.015714963179702064,0.015716393893513966
Decision Tree,Original,Accuracy,0.9993117907501329,0.00017450256370136748,0.9991869591360827,0.9994366223641831
Decision Tree,Original,Precision,0.9991737393950327,0.00039633352990411995,0.9988902194673552,0.9994572593227102
Decision Tree,Original,Recall,0.999220229117123,0.00023685830166896864,0.9990507908952919,0.9993896673389542
Decision Tree,Original,F1-Score,0.9991965703908583,0.00027721784363084407,0.9989982606919637,0.9993948800897529
Decision Tree,padshift,Accuracy,0.39665505396253076,0.01817142149830909,0.3836560021027403,0.4096541058223212
Decision Tree,padshift,Precision,0.487161340299105,0.06473969989934253,0.4408493488868133,0.5334733317113968
Decision Tree,padshift,Recall,0.41670411355611564,0.022260033707793156,0.40078024471650875,0.43262798239572253
Decision Tree,padshift,F1-Score,0.3049594522493625,0.02156694095860157,0.28953139209435547,0.3203875124043695
Gradient Boosting Machine,Original,Accuracy,0.9966685754205175,0.00039475236535891766,0.9963861865898168,0.9969509642512181
Gradient Boosting Machine,Original,Precision,0.9968131718070914,0.00037672688507949393,0.9965436776281917,0.997082665985991
Gradient Boosting Machine,Original,Recall,0.9951203170973866,0.0007939431921731609,0.9945523643519315,0.9956882698428416
Gradient Boosting Machine,Original,F1-Score,0.9959568625017174,0.0005436667308119182,0.9955679467512945,0.9963457782521404
Gradient Boosting Machine,padshift,Accuracy,0.06842400175408678,0.012861049504216824,0.05922376117344737,0.07762424233472619
Gradient Boosting Machine,padshift,Precision,0.28718372611565296,0.06878280868295289,0.23797946891348806,0.33638798331781783
Gradient Boosting Machine,padshift,Recall,0.18236840217284583,0.010810838046231473,0.17463479451733935,0.19010200982835232
Gradient Boosting Machine,padshift,F1-Score,0.04509122934962252,0.014316321768817138,0.03484994970446004,0.05533250899478501
