Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,0.9996954825441753,8.613064863806511e-05,0.9996338683898579,0.9997570966984927
Random Forest,Original,Precision,0.9997201967308215,7.712834045409948e-05,0.999665022439833,0.9997753710218099
Random Forest,Original,Recall,0.9995712808807508,0.0001758796486984298,0.9994454641594378,0.9996970976020637
Random Forest,Original,F1-Score,0.9996455790841416,0.0001213150687522239,0.9995587955119136,0.9997323626563697
Random Forest,padxor,Accuracy,0.4615593100592005,0.0514011389280857,0.4247891503531668,0.4983294697652342
Random Forest,padxor,Precision,0.6377673747160355,0.03162352987241544,0.6151452642312056,0.6603894852008654
Random Forest,padxor,Recall,0.5148619995929898,0.05346990908215425,0.47661193087041465,0.553112068315565
Random Forest,padxor,F1-Score,0.3775282355345869,0.06930761155090674,0.32794855697656755,0.4271079140926063
K-Nearest Neighbors,Original,Accuracy,0.9720148228497643,0.0010994608986857164,0.9712283159030646,0.9728013297964639
K-Nearest Neighbors,Original,Precision,0.9731536708131714,0.0009960100392040817,0.9724411681532287,0.9738661734731141
K-Nearest Neighbors,Original,Recall,0.9699177850708163,0.0016539124790371114,0.9687346473570959,0.9711009227845366
K-Nearest Neighbors,Original,F1-Score,0.9714930964680637,0.0012207914256316503,0.9706197948910105,0.9723663980451169
K-Nearest Neighbors,padxor,Accuracy,0.04994883913562502,7.704040880377616e-06,0.0499433279967775,0.049954350274472537
K-Nearest Neighbors,padxor,Precision,0.07837890867733326,0.0006674222373641252,0.07790146357064852,0.078856353784018
K-Nearest Neighbors,padxor,Recall,0.16711089572732413,7.2975357637056575e-06,0.16710567538471913,0.16711611606992913
K-Nearest Neighbors,padxor,F1-Score,0.01661556241890589,1.4522722496203164e-05,0.016605173489074997,0.016625951348736782
Decision Tree,Original,Accuracy,0.9993117907501329,0.00017450256370136748,0.9991869591360827,0.9994366223641831
Decision Tree,Original,Precision,0.9991737393950327,0.00039633352990411995,0.9988902194673552,0.9994572593227102
Decision Tree,Original,Recall,0.999220229117123,0.00023685830166896864,0.9990507908952919,0.9993896673389542
Decision Tree,Original,F1-Score,0.9991965703908583,0.00027721784363084407,0.9989982606919637,0.9993948800897529
Decision Tree,padxor,Accuracy,0.3971642263746437,0.018170685395113264,0.3841657010913579,0.41016275165792954
Decision Tree,padxor,Precision,0.4909171712170428,0.057906742831586824,0.44949318283124756,0.532341159602838
Decision Tree,padxor,Recall,0.41702191233605224,0.02198604746874175,0.4012940414446868,0.4327497832274177
Decision Tree,padxor,F1-Score,0.30409143819004925,0.02127006879203242,0.28887574758958257,0.3193071287905159
Gradient Boosting Machine,Original,Accuracy,0.9966685754205175,0.00039475236535891766,0.9963861865898168,0.9969509642512181
Gradient Boosting Machine,Original,Precision,0.9968131718070914,0.00037672688507949393,0.9965436776281917,0.997082665985991
Gradient Boosting Machine,Original,Recall,0.9951203170973866,0.0007939431921731609,0.9945523643519315,0.9956882698428416
Gradient Boosting Machine,Original,F1-Score,0.9959568625017174,0.0005436667308119182,0.9955679467512945,0.9963457782521404
Gradient Boosting Machine,padxor,Accuracy,0.06886069627500183,0.012874048037875292,0.059651157103542574,0.07807023544646108
Gradient Boosting Machine,padxor,Precision,0.28216861606614574,0.05778961729278954,0.24082841424339257,0.3235088178888989
Gradient Boosting Machine,padxor,Recall,0.18273054761140656,0.010821444145895922,0.17498935280925987,0.19047174241355325
Gradient Boosting Machine,padxor,F1-Score,0.04576797784395278,0.014365896202069094,0.03549123478560483,0.056044720902300726
