Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,99.59,0.00231,99.42,99.75
Random Forest,Original,Precision,99.41,0.00386,99.14,99.69
Random Forest,Original,Recall,99.41,0.00434,99.1,99.72
Random Forest,Original,F1-Score,99.41,0.00367,99.14,99.67
Random Forest,Padshift,Accuracy,65.03,0.00491,64.68,65.39
Random Forest,Padshift,Precision,51.43,0.0921,44.84,58.02
Random Forest,Padshift,Recall,51.43,0.0033,51.2,51.67
Random Forest,Padshift,F1-Score,46.87,0.00264,46.68,47.06
K-Nearest Neighbors,Original,Accuracy,92.5,0.00904,91.86,93.15
K-Nearest Neighbors,Original,Precision,90.44,0.00992,89.73,91.15
K-Nearest Neighbors,Original,Recall,89.95,0.01472,88.9,91.01
K-Nearest Neighbors,Original,F1-Score,90.13,0.01176,89.29,90.97
K-Nearest Neighbors,Padshift,Accuracy,29.25,0.0,29.25,29.25
K-Nearest Neighbors,Padshift,Precision,5.86,7e-05,5.85,5.86
K-Nearest Neighbors,Padshift,Recall,20.0,0.0,20.0,20.0
K-Nearest Neighbors,Padshift,F1-Score,9.06,8e-05,9.05,9.07
Decision Tree,Original,Accuracy,99.18,0.00412,98.89,99.48
Decision Tree,Original,Precision,98.78,0.00593,98.36,99.21
Decision Tree,Original,Recall,98.83,0.00601,98.4,99.26
Decision Tree,Original,F1-Score,98.8,0.00547,98.41,99.19
Decision Tree,Padshift,Accuracy,51.14,0.11479,42.92,59.35
Decision Tree,Padshift,Precision,44.88,0.07587,39.45,50.3
Decision Tree,Padshift,Recall,44.42,0.06118,40.05,48.8
Decision Tree,Padshift,F1-Score,39.11,0.06924,34.15,44.06
Gradient Boosting Machine,Original,Accuracy,99.52,0.00298,99.3,99.73
Gradient Boosting Machine,Original,Precision,99.19,0.00563,98.78,99.59
Gradient Boosting Machine,Original,Recall,99.44,0.00432,99.13,99.75
Gradient Boosting Machine,Original,F1-Score,99.31,0.00428,99.0,99.61
Gradient Boosting Machine,Padshift,Accuracy,44.38,0.041,41.44,47.31
Gradient Boosting Machine,Padshift,Precision,42.78,0.01445,41.75,43.81
Gradient Boosting Machine,Padshift,Recall,40.32,0.0223,38.72,41.92
Gradient Boosting Machine,Padshift,F1-Score,35.58,0.02602,33.72,37.44
