Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,99.59,0.00231,99.42,99.75
Random Forest,Original,Precision,99.41,0.00386,99.14,99.69
Random Forest,Original,Recall,99.41,0.00434,99.1,99.72
Random Forest,Original,F1-Score,99.41,0.00367,99.14,99.67
Random Forest,Padxor,Accuracy,64.94,0.00585,64.52,65.35
Random Forest,Padxor,Precision,53.37,0.13081,44.01,62.73
Random Forest,Padxor,Recall,51.37,0.00344,51.13,51.62
Random Forest,Padxor,F1-Score,46.82,0.00279,46.62,47.02
K-Nearest Neighbors,Original,Accuracy,92.5,0.00904,91.86,93.15
K-Nearest Neighbors,Original,Precision,90.44,0.00992,89.73,91.15
K-Nearest Neighbors,Original,Recall,89.95,0.01472,88.9,91.01
K-Nearest Neighbors,Original,F1-Score,90.13,0.01176,89.29,90.97
K-Nearest Neighbors,Padxor,Accuracy,29.25,0.0,29.25,29.25
K-Nearest Neighbors,Padxor,Precision,5.86,6e-05,5.85,5.86
K-Nearest Neighbors,Padxor,Recall,20.0,0.0,20.0,20.0
K-Nearest Neighbors,Padxor,F1-Score,9.06,7e-05,9.05,9.06
Decision Tree,Original,Accuracy,99.18,0.00412,98.89,99.48
Decision Tree,Original,Precision,98.78,0.00593,98.36,99.21
Decision Tree,Original,Recall,98.83,0.00601,98.4,99.26
Decision Tree,Original,F1-Score,98.8,0.00547,98.41,99.19
Decision Tree,Padxor,Accuracy,51.39,0.11231,43.36,59.42
Decision Tree,Padxor,Precision,43.52,0.03776,40.82,46.22
Decision Tree,Padxor,Recall,44.61,0.05986,40.33,48.89
Decision Tree,Padxor,F1-Score,39.32,0.06657,34.56,44.08
Gradient Boosting Machine,Original,Accuracy,99.52,0.00298,99.3,99.73
Gradient Boosting Machine,Original,Precision,99.19,0.00563,98.78,99.59
Gradient Boosting Machine,Original,Recall,99.44,0.00432,99.13,99.75
Gradient Boosting Machine,Original,F1-Score,99.31,0.00428,99.0,99.61
Gradient Boosting Machine,Padxor,Accuracy,44.44,0.04223,41.42,47.46
Gradient Boosting Machine,Padxor,Precision,42.13,0.01663,40.94,43.32
Gradient Boosting Machine,Padxor,Recall,40.37,0.02294,38.72,42.01
Gradient Boosting Machine,Padxor,F1-Score,35.54,0.02665,33.63,37.45
