Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,99.97,9e-05,99.96,99.98
Random Forest,Original,Precision,99.97,8e-05,99.97,99.98
Random Forest,Original,Recall,99.96,0.00018,99.94,99.97
Random Forest,Original,F1-Score,99.96,0.00012,99.96,99.97
Random Forest,del,Accuracy,96.4,0.00474,96.06,96.74
Random Forest,del,Precision,95.87,0.00487,95.53,96.22
Random Forest,del,Recall,95.62,0.00564,95.21,96.02
Random Forest,del,F1-Score,95.71,0.00531,95.33,96.09
K-Nearest Neighbors,Original,Accuracy,97.2,0.0011,97.12,97.28
K-Nearest Neighbors,Original,Precision,97.32,0.001,97.24,97.39
K-Nearest Neighbors,Original,Recall,96.99,0.00165,96.87,97.11
K-Nearest Neighbors,Original,F1-Score,97.15,0.00122,97.06,97.24
K-Nearest Neighbors,del,Accuracy,80.14,0.00265,79.95,80.33
K-Nearest Neighbors,del,Precision,75.26,0.00285,75.06,75.46
K-Nearest Neighbors,del,Recall,75.05,0.00206,74.91,75.2
K-Nearest Neighbors,del,F1-Score,74.78,0.00249,74.6,74.96
Decision Tree,Original,Accuracy,99.93,0.00017,99.92,99.94
Decision Tree,Original,Precision,99.92,0.0004,99.89,99.95
Decision Tree,Original,Recall,99.92,0.00024,99.91,99.94
Decision Tree,Original,F1-Score,99.92,0.00028,99.9,99.94
Decision Tree,del,Accuracy,83.14,0.02113,81.63,84.65
Decision Tree,del,Precision,79.52,0.02566,77.69,81.36
Decision Tree,del,Recall,79.34,0.01632,78.17,80.51
Decision Tree,del,F1-Score,77.86,0.02364,76.17,79.55
Gradient Boosting Machine,Original,Accuracy,99.67,0.00039,99.64,99.7
Gradient Boosting Machine,Original,Precision,99.68,0.00038,99.65,99.71
Gradient Boosting Machine,Original,Recall,99.51,0.00079,99.46,99.57
Gradient Boosting Machine,Original,F1-Score,99.6,0.00054,99.56,99.63
Gradient Boosting Machine,del,Accuracy,92.55,0.00307,92.33,92.77
Gradient Boosting Machine,del,Precision,91.85,0.00589,91.43,92.27
Gradient Boosting Machine,del,Recall,89.82,0.00298,89.6,90.03
Gradient Boosting Machine,del,F1-Score,90.6,0.00391,90.32,90.88
