Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,99.97,9e-05,99.96,99.98
Random Forest,Original,Precision,99.97,8e-05,99.97,99.98
Random Forest,Original,Recall,99.96,0.00018,99.94,99.97
Random Forest,Original,F1-Score,99.96,0.00012,99.96,99.97
Random Forest,frag,Accuracy,49.07,0.03855,46.31,51.82
Random Forest,frag,Precision,48.3,0.01823,47.0,49.61
Random Forest,frag,Recall,56.7,0.03245,54.38,59.02
Random Forest,frag,F1-Score,43.69,0.03809,40.97,46.42
K-Nearest Neighbors,Original,Accuracy,97.2,0.0011,97.12,97.28
K-Nearest Neighbors,Original,Precision,97.32,0.001,97.24,97.39
K-Nearest Neighbors,Original,Recall,96.99,0.00165,96.87,97.11
K-Nearest Neighbors,Original,F1-Score,97.15,0.00122,97.06,97.24
K-Nearest Neighbors,frag,Accuracy,5.15,0.0,5.15,5.15
K-Nearest Neighbors,frag,Precision,0.86,0.0,0.86,0.86
K-Nearest Neighbors,frag,Recall,16.67,0.0,16.67,16.67
K-Nearest Neighbors,frag,F1-Score,1.63,0.0,1.63,1.63
Decision Tree,Original,Accuracy,99.93,0.00017,99.92,99.94
Decision Tree,Original,Precision,99.92,0.0004,99.89,99.95
Decision Tree,Original,Recall,99.92,0.00024,99.91,99.94
Decision Tree,Original,F1-Score,99.92,0.00028,99.9,99.94
Decision Tree,frag,Accuracy,45.25,0.02832,43.22,47.27
Decision Tree,frag,Precision,33.04,0.01748,31.79,34.29
Decision Tree,frag,Recall,43.1,0.01569,41.97,44.22
Decision Tree,frag,F1-Score,34.94,0.0168,33.74,36.14
Gradient Boosting Machine,Original,Accuracy,99.67,0.00039,99.64,99.7
Gradient Boosting Machine,Original,Precision,99.68,0.00038,99.65,99.71
Gradient Boosting Machine,Original,Recall,99.51,0.00079,99.46,99.57
Gradient Boosting Machine,Original,F1-Score,99.6,0.00054,99.56,99.63
Gradient Boosting Machine,frag,Accuracy,29.55,0.06016,25.25,33.85
Gradient Boosting Machine,frag,Precision,46.28,0.11207,38.26,54.3
Gradient Boosting Machine,frag,Recall,39.67,0.05724,35.57,43.76
Gradient Boosting Machine,frag,F1-Score,30.73,0.07544,25.34,36.13
