Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,99.97,9e-05,99.96,99.98
Random Forest,Original,Precision,99.97,8e-05,99.97,99.98
Random Forest,Original,Recall,99.96,0.00018,99.94,99.97
Random Forest,Original,F1-Score,99.96,0.00012,99.96,99.97
Random Forest,pad,Accuracy,46.12,0.05075,42.48,49.75
Random Forest,pad,Precision,63.34,0.03188,61.06,65.62
Random Forest,pad,Recall,51.43,0.05267,47.66,55.2
Random Forest,pad,F1-Score,37.61,0.06859,32.7,42.51
K-Nearest Neighbors,Original,Accuracy,97.2,0.0011,97.12,97.28
K-Nearest Neighbors,Original,Precision,97.32,0.001,97.24,97.39
K-Nearest Neighbors,Original,Recall,96.99,0.00165,96.87,97.11
K-Nearest Neighbors,Original,F1-Score,97.15,0.00122,97.06,97.24
K-Nearest Neighbors,pad,Accuracy,4.95,0.0,4.95,4.95
K-Nearest Neighbors,pad,Precision,17.49,0.0,17.49,17.49
K-Nearest Neighbors,pad,Recall,16.67,0.0,16.67,16.67
K-Nearest Neighbors,pad,F1-Score,1.58,1e-05,1.58,1.58
Decision Tree,Original,Accuracy,99.93,0.00017,99.92,99.94
Decision Tree,Original,Precision,99.92,0.0004,99.89,99.95
Decision Tree,Original,Recall,99.92,0.00024,99.91,99.94
Decision Tree,Original,F1-Score,99.92,0.00028,99.9,99.94
Decision Tree,pad,Accuracy,39.74,0.01821,38.44,41.04
Decision Tree,pad,Precision,51.12,0.05963,46.86,55.39
Decision Tree,pad,Recall,41.68,0.02233,40.08,43.28
Decision Tree,pad,F1-Score,30.37,0.02185,28.81,31.93
Gradient Boosting Machine,Original,Accuracy,99.67,0.00039,99.64,99.7
Gradient Boosting Machine,Original,Precision,99.68,0.00038,99.65,99.71
Gradient Boosting Machine,Original,Recall,99.51,0.00079,99.46,99.57
Gradient Boosting Machine,Original,F1-Score,99.6,0.00054,99.56,99.63
Gradient Boosting Machine,pad,Accuracy,6.84,0.01274,5.93,7.75
Gradient Boosting Machine,pad,Precision,40.51,0.04719,37.14,43.89
Gradient Boosting Machine,pad,Recall,18.23,0.01071,17.46,19.0
Gradient Boosting Machine,pad,F1-Score,4.5,0.01421,3.48,5.51
