Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Original,Accuracy,99.97,9e-05,99.96,99.98
Random Forest,Original,Precision,99.97,8e-05,99.97,99.98
Random Forest,Original,Recall,99.96,0.00018,99.94,99.97
Random Forest,Original,F1-Score,99.96,0.00012,99.96,99.97
Random Forest,padxor,Accuracy,46.16,0.0514,42.48,49.83
Random Forest,padxor,Precision,63.78,0.03162,61.51,66.04
Random Forest,padxor,Recall,51.49,0.05347,47.66,55.31
Random Forest,padxor,F1-Score,37.75,0.06931,32.79,42.71
K-Nearest Neighbors,Original,Accuracy,97.2,0.0011,97.12,97.28
K-Nearest Neighbors,Original,Precision,97.32,0.001,97.24,97.39
K-Nearest Neighbors,Original,Recall,96.99,0.00165,96.87,97.11
K-Nearest Neighbors,Original,F1-Score,97.15,0.00122,97.06,97.24
K-Nearest Neighbors,padxor,Accuracy,4.99,1e-05,4.99,5.0
K-Nearest Neighbors,padxor,Precision,7.84,0.00067,7.79,7.89
K-Nearest Neighbors,padxor,Recall,16.71,1e-05,16.71,16.71
K-Nearest Neighbors,padxor,F1-Score,1.66,1e-05,1.66,1.66
Decision Tree,Original,Accuracy,99.93,0.00017,99.92,99.94
Decision Tree,Original,Precision,99.92,0.0004,99.89,99.95
Decision Tree,Original,Recall,99.92,0.00024,99.91,99.94
Decision Tree,Original,F1-Score,99.92,0.00028,99.9,99.94
Decision Tree,padxor,Accuracy,39.72,0.01817,38.42,41.02
Decision Tree,padxor,Precision,49.09,0.05791,44.95,53.23
Decision Tree,padxor,Recall,41.7,0.02199,40.13,43.27
Decision Tree,padxor,F1-Score,30.41,0.02127,28.89,31.93
Gradient Boosting Machine,Original,Accuracy,99.67,0.00039,99.64,99.7
Gradient Boosting Machine,Original,Precision,99.68,0.00038,99.65,99.71
Gradient Boosting Machine,Original,Recall,99.51,0.00079,99.46,99.57
Gradient Boosting Machine,Original,F1-Score,99.6,0.00054,99.56,99.63
Gradient Boosting Machine,padxor,Accuracy,6.89,0.01287,5.97,7.81
Gradient Boosting Machine,padxor,Precision,28.22,0.05779,24.08,32.35
Gradient Boosting Machine,padxor,Recall,18.27,0.01082,17.5,19.05
Gradient Boosting Machine,padxor,F1-Score,4.58,0.01437,3.55,5.6
