Model,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Accuracy,0.9961283938164339,0.0020302772195594817,0.9946760209864238,0.997580766646444
Random Forest,Precision,0.9961673901001026,0.0020017328730081055,0.994735436665524,0.9975993435346812
Random Forest,Recall,0.9961283938164339,0.0020302772195594817,0.9946760209864238,0.997580766646444
Random Forest,F1-Score,0.996128952501681,0.002028081797388195,0.9946781501820826,0.9975797548212794
K-Nearest Neighbors,Accuracy,0.9290563413646332,0.01012026978428207,0.9218167364843439,0.9362959462449225
K-Nearest Neighbors,Precision,0.9304607575197853,0.010122993958953152,0.923219203882332,0.9377023111572386
K-Nearest Neighbors,Recall,0.9290563413646332,0.01012026978428207,0.9218167364843439,0.9362959462449225
K-Nearest Neighbors,F1-Score,0.9293175690154598,0.010182802238824576,0.9220332311119673,0.9366019069189523
Decision Tree,Accuracy,0.9910114012364076,0.003922765006285674,0.9882052241987321,0.9938175782740831
Decision Tree,Precision,0.9910772010254034,0.003922859978744262,0.9882709560485238,0.9938834460022831
Decision Tree,Recall,0.9910114012364076,0.003922765006285674,0.9882052241987321,0.9938175782740831
Decision Tree,F1-Score,0.9910206255996512,0.003927252791910234,0.9882112381935367,0.9938300130057657
Gradient Boosting Machine,Accuracy,0.9947456500309485,0.0032586425467120983,0.9924145575811272,0.9970767424807698
Gradient Boosting Machine,Precision,0.9948490196038614,0.003215893086235737,0.9925485082758175,0.9971495309319053
Gradient Boosting Machine,Recall,0.9947456500309485,0.0032586425467120983,0.9924145575811272,0.9970767424807698
Gradient Boosting Machine,F1-Score,0.9947546700506971,0.0032545165316768135,0.9924265291742252,0.9970828109271689
