Model,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Accuracy,0.9988237369021682,0.0009840166756049792,0.9981198137777016,0.9995276600266347
Random Forest,Precision,0.9988262682277244,0.0009835610379781215,0.9981226710467809,0.9995298654086678
Random Forest,Recall,0.9988237369021682,0.0009840166756049792,0.9981198137777016,0.9995276600266347
Random Forest,F1-Score,0.9988236498962019,0.0009843105590893533,0.9981195165401553,0.9995277832522484
K-Nearest Neighbors,Accuracy,0.9093685029567382,0.00446824225842808,0.9061721149997025,0.9125648909137739
K-Nearest Neighbors,Precision,0.9100828144019001,0.004870732098093371,0.9065985025584842,0.913567126245316
K-Nearest Neighbors,Recall,0.9093685029567382,0.00446824225842808,0.9061721149997025,0.9125648909137739
K-Nearest Neighbors,F1-Score,0.9094488809139847,0.00457596936134154,0.9061754296299216,0.9127223321980478
Decision Tree,Accuracy,0.9977061935885466,0.0010341434025259305,0.9969664119638044,0.9984459752132888
Decision Tree,Precision,0.9977139341438143,0.0010308154490735115,0.996976533193557,0.9984513350940716
Decision Tree,Recall,0.9977061935885466,0.0010341434025259305,0.9969664119638044,0.9984459752132888
Decision Tree,F1-Score,0.9977061140978565,0.0010340171989664708,0.9969664227537021,0.9984458054420109
Gradient Boosting Machine,Accuracy,0.9964712452882388,0.00139191683930534,0.99547552796473,0.9974669626117476
Gradient Boosting Machine,Precision,0.9964763328163506,0.0013925332951937944,0.9954801745068649,0.9974724911258364
Gradient Boosting Machine,Recall,0.9964712452882388,0.00139191683930534,0.99547552796473,0.9974669626117476
Gradient Boosting Machine,F1-Score,0.9964708766620651,0.001392566921520878,0.995474694297754,0.9974670590263762
