Model,Metric,Mean,Std Dev,CI Lower,CI Upper
Random Forest,Accuracy,0.9996163093187173,0.00013356725232299091,0.9995207610623589,0.9997118575750756
Random Forest,Precision,0.9996165001511331,0.0001334782088026827,0.9995210155926719,0.9997119847095943
Random Forest,Recall,0.9996163093187173,0.00013356725232299091,0.9995207610623589,0.9997118575750756
Random Forest,F1-Score,0.9996162896877591,0.00013357866292004265,0.9995207332687513,0.9997118461067668
K-Nearest Neighbors,Accuracy,0.9728248421976886,0.0015942136188167309,0.9716844104759044,0.9739652739194729
K-Nearest Neighbors,Precision,0.9728130868173668,0.0015898553641778086,0.9716757728031364,0.9739504008315971
K-Nearest Neighbors,Recall,0.9728248421976886,0.0015942136188167309,0.9716844104759044,0.9739652739194729
K-Nearest Neighbors,F1-Score,0.9727932552630069,0.0015939163338787516,0.9716530362060561,0.9739334743199576
Decision Tree,Accuracy,0.9993239736145381,0.0001815771214712778,0.9991940811667306,0.9994538660623455
Decision Tree,Precision,0.9993243576040765,0.0001813858143946253,0.9991946020091075,0.9994541131990454
Decision Tree,Recall,0.9993239736145381,0.0001815771214712778,0.9991940811667306,0.9994538660623455
Decision Tree,F1-Score,0.9993239139102895,0.0001817063238888475,0.9991939290366404,0.9994538987839386
Gradient Boosting Machine,Accuracy,0.9971801652210803,0.0003200240850431789,0.9969512337817735,0.9974090966603871
Gradient Boosting Machine,Precision,0.9971818055369603,0.00032030487979275437,0.9969526732291902,0.9974109378447304
Gradient Boosting Machine,Recall,0.9971801652210803,0.0003200240850431789,0.9969512337817735,0.9974090966603871
Gradient Boosting Machine,F1-Score,0.9971784730026478,0.0003210191150905106,0.996948829761725,0.9974081162435706
