Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0,49317,0,1,0,201,3201,509169,643611,159,0,86377.29015
2.13284,33434,0,1,0,191,3201,477179,611621,149,0,86377.24115
12.294982,46369,18,2,0,95,85,3682,8272,41,0,989.1957731
0.010702,443,18,2,0,95,85,3682,8272,41,0.01070213318,989.1957731
3.352659,123,0,2,0,90,26,1248,2340,48,0,2168.965949
0.179796,42458,0,2,0,90,26,1248,2340,48,0.1797959805,2168.965949
9.061481,49317,0,1,0,201,3201,509169,643611,159,27.03245997,86377.29015
2.127167,33434,0,1,0,191,3201,477179,611621,149,27.02678704,86377.24115
15.30587,443,18,2,0,95,85,3682,8272,41,30.02697301,989.1957731
0.216397,46369,18,2,0,95,85,3682,8272,41,0.216397047,989.1957731
0.459979,46369,18,1,0,95,85,3682,8272,41,0.4599788189,989.1957731
8.917781,49317,0,1,0,201,3201,509169,643611,159,27.02719402,86377.29015
2.126337,33434,0,1,0,191,3201,477179,611621,149,27.02636409,86377.24115
7.833421,123,0,2,0,90,4,192,360,48,0,53.53066397
0.14395,37543,0,2,0,90,4,192,360,48,0.1439499855,53.53066397
4.014396,123,0,2,0,90,26,1248,2340,48,50.206779,2168.965949
0.179851,42458,0,2,0,90,26,1248,2340,48,0.1798510551,2168.965949
6.070149,46369,18,2,0,95,85,3682,8272,41,29.2858851,989.1957731
0.002743,443,18,2,0,95,85,3682,8272,41,0.002743005753,989.1957731
6.653407,49317,0,1,0,201,3201,509169,643611,159,27.02425408,86377.29015
2.127063,33434,0,1,0,191,3201,477179,611621,149,27.02497983,86377.24115
21.247534,443,18,3,0,95,85,3682,8272,41,30.02800393,989.1957731
0.216348,46369,18,3,0,95,85,3682,8272,41,0.2163481712,989.1957731
0.239023,443,18,3,0,95,85,3682,8272,41,0.2390229702,989.1957731
0.228081,46369,18,1,0,95,85,3682,8272,41,0.2280809879,989.1957731
2.969075,49317,0,1,0,201,3201,509169,643611,159,27.02712393,86377.29015
2.126506,33434,0,1,0,191,3201,477179,611621,149,27.02656722,86377.24115
7.168606,123,0,2,0,90,4,192,360,48,53.24278188,53.53066397
0.143932,37543,0,2,0,90,4,192,360,48,0.1439321041,53.53066397
4.860406,123,0,2,0,90,26,1248,2340,48,54.0528729,2168.965949
0.179739,42458,0,2,0,90,26,1248,2340,48,0.1797389984,2168.965949
11.837459,46369,18,2,0,95,85,3682,8272,41,29.28572297,989.1957731
0.006943,443,18,2,0,95,85,3682,8272,41,0.006942987442,989.1957731
0.703447,49317,0,1,0,201,3201,509169,643611,159,27.0270381,86377.29015
2.121274,33434,0,1,0,191,3201,477179,611621,149,27.021806,86377.24115
1.973549,53,0,12,0,75,4,176,344,33,0,0.00208902359
0.000158,53,0,12,0,75,4,176,344,33,0.0001580715179,0.00208902359
0.001823,53219,0,12,0,91,4,176,344,49,0.001822948456,0.00208902359
0.000108,53219,0,12,0,103,4,176,344,61,0.0001080036163,0.00208902359
0.174016,53,0,12,0,75,4,176,344,33,0,0.00199007988
0.000152,53,0,12,0,75,4,176,344,33,0.0001518726349,0.00199007988
0.001732,34378,0,12,0,91,4,176,344,49,0.001732110977,0.00199007988
0.000106,34378,0,12,0,103,4,176,344,61,0.0001060962677,0.00199007988
0.186089,53,0,12,0,75,4,176,344,33,0,0.002331018448
0.000159,53,0,12,0,75,4,176,344,33,0.0001590251923,0.002331018448
0.002066,57787,0,12,0,91,4,176,344,49,0.002066135406,0.002331018448
0.000106,57787,0,12,0,103,4,176,344,61,0.0001058578491,0.002331018448
22.56458,49317,0,1,0,201,3201,509169,643611,159,27.02591777,86377.29015
2.120984,33434,0,3,0,191,3201,477179,611621,149,27.02562785,86377.24115
0.178669,443,18,3,0,95,85,3682,8272,41,30.02901793,989.1957731
0.216366,46369,18,3,0,95,85,3682,8272,41,0.2163660526,989.1957731
9.97044,123,0,2,0,90,26,1248,2340,48,52.06022596,2168.965949
0.179789,42458,0,2,0,90,26,1248,2340,48,0.1797890663,2168.965949
