Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0,49317,0,1,0,329,3201,509169,1072671,159,0,89698.20613
2.31149,33434,0,1,0,384,3201,477179,1023655,149,0,89698.00933
12.539043,46369,18,2,0,226,85,14294,18884,172,0,1027.412319
0.146673,443,18,2,0,121,85,14294,18884,67,0.1466729641,1027.412319
3.475406,123,0,2,0,296,26,1248,5676,48,0,2258.388546
0.419745,42458,0,2,0,156,26,1248,5676,48,0.4197452068,2258.388546
9.197711,49317,0,1,0,409,3201,509169,1072671,159,28.0900681,89698.20613
2.150118,33434,0,1,0,256,3201,477179,1023655,149,27.92869592,89698.00933
15.403365,443,18,1,0,268,85,14294,18884,214,30.64634514,1027.412319
0.424649,46369,18,2,0,293,85,14294,18884,239,0.4246490002,1027.412319
0.700066,46369,18,2,0,317,85,14294,18884,263,0.7000658512,1027.412319
9.181255,49317,0,1,0,430,3201,509169,1072671,159,27.85945296,89698.20613
2.319696,33434,0,1,0,394,3201,477179,1023655,149,28.02903104,89698.00933
8.053847,123,0,2,0,152,4,192,1007,48,0,55.61431098
0.374159,37543,0,2,0,291,4,192,1007,48,0.3741588593,55.61431098
4.267821,123,0,1,0,160,26,1248,5676,48,52.07268691,2258.388546
0.213676,42458,0,1,0,293,26,1248,5676,48,0.2136759758,2258.388546
6.286743,46369,18,2,0,244,85,14294,18884,190,30.69719696,1027.412319
0.168875,443,18,2,0,256,85,14294,18884,202,0.168874979,1027.412319
6.752877,49317,0,1,0,355,3201,509169,1072671,159,28.43769383,89698.20613
2.227171,33434,0,1,0,268,3201,477179,1023655,149,28.34516907,89698.00933
21.312976,443,18,1,0,281,85,14294,18884,227,30.29302406,1027.412319
0.327494,46369,18,3,0,218,85,14294,18884,164,0.3274941444,1027.412319
0.271454,443,18,3,0,225,85,14294,18884,171,0.2714538574,1027.412319
0.388683,46369,18,3,0,104,85,14294,18884,50,0.3886830807,1027.412319
3.069128,49317,0,1,0,428,3201,509169,1072671,159,27.59690619,89698.20613
2.292182,33434,0,1,0,256,3201,477179,1023655,149,27.66191697,89698.00933
7.379986,123,0,2,0,247,4,192,1007,48,54.95906615,55.61431098
0.281086,37543,0,2,0,317,4,192,1007,48,0.281085968,55.61431098
5.067441,123,0,2,0,211,26,1248,5676,48,55.82609606,2258.388546
0.42519,42458,0,2,0,214,26,1248,5676,48,0.4251899719,2258.388546
12.012954,46369,18,2,0,180,85,14294,18884,126,30.52796698,1027.412319
0.116512,443,18,2,0,146,85,14294,18884,92,0.1165120602,1027.412319
0.858789,49317,0,1,0,252,3201,509169,1072671,159,28.43413997,89698.20613
2.142671,33434,0,1,0,272,3201,477179,1023655,149,28.28462887,89698.00933
2.163212,53,0,2,0,148,4,176,727,33,0,0.5220739841
0.2604,53,0,2,0,263,4,176,727,33,0.2604000568,0.5220739841
0.045186,53219,0,6,0,132,4,176,727,49,0.04518604279,0.5220739841
0.216488,53219,0,6,0,184,4,176,727,61,0.2164878845,0.5220739841
0.258075,53,0,6,0,277,4,176,1037,33,0,0.452559948
0.275924,53,0,6,0,301,4,176,1037,33,0.2759239674,0.452559948
0.153141,34378,0,6,0,259,4,176,1037,49,0.1531410217,0.452559948
0.023495,34378,0,6,0,200,4,176,1037,61,0.02349495888,0.452559948
0.224843,53,0,4,0,185,4,176,880,33,0,0.453207016
0.085068,53,0,4,0,307,4,176,880,33,0.08506798744,0.453207016
0.09111,57787,0,4,0,159,4,176,880,49,0.09110999107,0.453207016
0.277029,57787,0,4,0,229,4,176,880,61,0.2770290375,0.453207016
22.836273,49317,0,1,0,226,3201,509169,1072671,159,29.05291486,89698.20613
