Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0,49317,0,1,0,386,3201,509169,1058318,159,0,90594.42216
2.402818,33434,0,1,0,431,3201,477179,1037853,149,0,90594.19899
12.322414,46369,18,2,0,118,85,14969,19559,64,0,1033.860226
0.02851,443,18,2,0,160,85,14969,19559,106,0.02850985527,1033.860226
3.685749,123,0,2,0,154,26,1248,5571,48,0,2276.855141
0.341443,42458,0,2,0,309,26,1248,5571,48,0.3414430618,2276.855141
9.339387,49317,0,1,0,344,3201,509169,1058318,159,28.12032104,90594.42216
2.179771,33434,0,1,0,363,3201,477179,1037853,149,27.89727402,90594.19899
15.617821,443,18,1,0,266,85,14969,19559,212,31.16417098,1033.860226
0.448948,46369,18,1,0,253,85,14969,19559,199,0.4489481449,1033.860226
0.822602,46369,18,1,0,104,85,14969,19559,50,0.8226020336,1033.860226
9.178484,49317,0,1,0,290,3201,509169,1058318,159,28.24762607,90594.42216
2.194956,33434,0,1,0,282,3201,477179,1037853,149,28.26281118,90594.19899
8.07762,123,0,1,0,140,4,192,697,48,0,55.84525514
0.416081,37543,0,1,0,195,4,192,697,48,0.4160811901,55.84525514
4.153072,123,0,2,0,158,26,1248,5571,48,52.42874193,2276.855141
0.231404,42458,0,2,0,134,26,1248,5571,48,0.2314040661,2276.855141
6.094073,46369,18,2,0,148,85,14969,19559,94,30.34569001,1033.860226
0.092685,443,18,2,0,123,85,14969,19559,69,0.09268498421,1033.860226
6.865217,49317,0,1,0,322,3201,509169,1058318,159,28.125108,90594.42216
2.264489,33434,0,1,0,388,3201,477179,1037853,149,28.19464087,90594.19899
21.500444,443,18,3,0,268,85,14969,19559,214,30.63014984,1033.860226
0.365528,46369,18,3,0,275,85,14969,19559,221,0.3655281067,1033.860226
0.279075,443,18,3,0,329,85,14969,19559,275,0.2790749073,1033.860226
0.551772,46369,18,1,0,126,85,14969,19559,72,0.5517721176,1033.860226
3.000852,49317,0,1,0,233,3201,509169,1058318,159,27.96215987,90594.42216
2.319593,33434,0,1,0,424,3201,477179,1037853,149,28.01726413,90594.19899
7.31409,123,0,2,0,133,4,192,697,48,55.03229403,55.84525514
0.39688,37543,0,2,0,229,4,192,697,48,0.3968799114,55.84525514
4.998421,123,0,2,0,264,26,1248,5571,48,56.04311895,2276.855141
0.402281,42458,0,2,0,211,26,1248,5571,48,0.4022810459,2276.855141
11.870025,46369,18,2,0,99,85,14969,19559,45,30.3021419,1033.860226
0.081438,443,18,2,0,113,85,14969,19559,59,0.08143806458,1033.860226
0.854229,49317,0,1,0,274,3201,509169,1058318,159,28.23695707,90594.42216
2.13933,33434,0,1,0,284,3201,477179,1037853,149,28.05669379,90594.19899
2.30998,53,0,5,0,124,4,176,823,33,0,0.4812049866
0.339762,53,0,5,0,184,4,176,823,33,0.3397619724,0.4812049866
0.033399,53219,0,5,0,176,4,176,823,49,0.03339886665,0.4812049866
0.108044,53219,0,5,0,339,4,176,823,61,0.1080441475,0.4812049866
0.279592,53,0,5,0,121,4,176,693,33,0,0.7696900368
0.354198,53,0,3,0,91,4,176,693,33,0.354197979,0.7696900368
0.152994,34378,0,3,0,271,4,176,693,49,0.1529939175,0.7696900368
0.262498,34378,0,3,0,210,4,176,693,61,0.2624981403,0.7696900368
0.374785,53,0,4,0,285,4,176,834,33,0,0.4507918358
0.078747,53,0,4,0,126,4,176,834,33,0.07874703407,0.4507918358
0.048568,57787,0,4,0,152,4,176,834,49,0.04856801033,0.4507918358
