Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0,49317,0,1,0,524,3201,509169,1598549,159,0,93198.45569
2.196945,33434,0,1,0,590,3201,477179,1565728,149,0,93198.93265
12.738091,46369,18,1,0,435,85,28185,32775,381,0,1068.902231
0.542526,443,18,1,0,215,85,28185,32775,161,0.5425260067,1068.902231
3.926667,123,0,1,0,687,26,1248,10538,48,0,2352.839409
0.719884,42458,0,1,0,259,26,1248,10538,48,0.7198839188,2352.839409
9.453755,49317,0,1,0,597,3201,509169,1598549,159,29.57786798,93198.45569
2.589849,33434,0,1,0,319,3201,477179,1565728,149,29.97077203,93198.93265
15.435212,443,18,1,0,432,85,28185,32775,378,32.12536693,1068.902231
0.795792,46369,18,1,0,273,85,28185,32775,219,0.7957921028,1068.902231
0.658164,46369,18,1,0,325,85,28185,32775,271,0.6581640244,1068.902231
9.077166,49317,0,1,0,265,3201,509169,1598549,159,28.55618286,93198.45569
2.442637,33434,0,1,0,675,3201,477179,1565728,149,28.40897083,93198.93265
7.908678,123,0,2,0,428,4,192,1681,48,0,58.46310711
0.319716,37543,0,2,0,342,4,192,1681,48,0.3197159767,58.46310711
4.595551,123,0,1,0,280,26,1248,10538,48,53.27652001,2352.839409
0.690651,42458,0,1,0,110,26,1248,10538,48,0.6906509399,2352.839409
6.196523,46369,18,2,0,347,85,28185,32775,293,31.23092198,1068.902231
0.27314,443,18,2,0,571,85,28185,32775,517,0.2731399536,1068.902231
6.946805,49317,0,1,0,245,3201,509169,1598549,159,29.3737011,93198.45569
2.673189,33434,0,1,0,715,3201,477179,1565728,149,29.60425305,93198.93265
21.685099,443,18,1,0,416,85,28185,32775,362,31.30509305,1068.902231
0.541224,46369,18,2,0,642,85,28185,32775,588,0.5412240028,1068.902231
0.483125,443,18,2,0,398,85,28185,32775,344,0.4831249714,1068.902231
0.582806,46369,18,1,0,571,85,28185,32775,517,0.582805872,1068.902231
3.167305,49317,0,1,0,305,3201,509169,1598549,159,29.13274789,93198.45569
2.444927,33434,0,1,0,664,3201,477179,1565728,149,28.90448594,93198.93265
7.319117,123,0,2,0,454,4,192,1681,48,57.59946203,58.46310711
0.543929,37543,0,2,0,457,4,192,1681,48,0.5439291,58.46310711
