Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,22017,14,5,2,54,1,0,54,0,0.0,0.0
0.332039,22039,18,5,2,85,4,31,247,31,0.0,2.10733389854431
3.6e-05,443,10,5,2,54,4,31,247,0,3.60012054443359e-05,2.10733389854431
0.338346,12177,0,5,2,148,58,6148,8584,106,0.0,84.2199809551239
0.02881,12177,0,5,2,148,58,6148,8584,106,0.0288100242614746,84.2199809551239
1.74009,22039,11,4,2,54,4,31,247,0,2.10724592208862,2.10733389854431
5.2e-05,443,10,4,2,54,4,31,247,0,5.19752502441406e-05,2.10733389854431
0.455414,443,18,4,2,111,6,206,530,57,0.0,55.3024520874023
0.079502,1056,18,4,2,100,6,206,530,46,0.0795021057128906,55.3024520874023
0.043408,443,10,4,2,54,6,206,530,0,0.043407917022705,55.3024520874023
0.641722,12177,0,4,2,148,58,6148,8584,106,2.9601879119873,84.2199809551239
0.016316,12177,0,4,2,148,58,6148,8584,106,0.0163159370422363,84.2199809551239
0.288761,1900,0,4,2,159,6,702,954,117,0.0,5.68603205680847
0.127057,55930,0,3,2,450,1,408,450,408,0.0,0.0
0.479374,49771,10,3,2,54,16,2,890,0,0.0,78.0904638767242
3.4e-05,80,10,3,2,54,16,2,890,0,3.38554382324219e-05,78.0904638767242
0.528732,1900,0,2,2,159,6,702,954,117,1.13519692420959,5.68603205680847
0.156111,55930,0,2,2,450,1,408,450,408,0.0,0.0
1.013299,1900,0,4,2,159,6,702,954,117,1.16940999031067,5.68603205680847
0.124325,55930,0,4,2,450,1,408,450,408,0.0,0.0
0.278591,12177,0,4,2,148,58,6148,8584,106,2.99628400802612,84.2199809551239
0.030285,12177,0,4,2,148,58,6148,8584,106,0.0302851200103759,84.2199809551239
0.703106,1900,0,2,2,159,6,702,954,117,1.13630700111389,5.68603205680847
0.1086,55930,0,2,2,450,1,408,450,408,0.0,0.0
1.014267,1900,0,5,2,159,6,702,954,117,1.12286710739136,5.68603205680847
0.108546,55930,0,5,2,450,1,408,450,408,0.0,0.0
0.281511,443,10,5,2,55,7,1415,1817,1,0.0,72.4305851459503
0.046179,13948,10,5,2,66,7,1415,1817,0,0.0461790561676025,72.4305851459503
0.029908,443,10,5,2,55,16,9653,10541,1,0.0,72.4167470932007
0.046884,13949,10,153,2,66,16,9653,10541,0,0.0468840599060058,72.4167470932007
0.609223,1900,0,153,2,159,6,702,954,117,1.12225103378296,5.68603205680847
0.002025,49153,2,153,2,66,13,4890,5616,0,0.0,0.22142505645752
0.030758,12177,0,153,2,148,58,6148,8584,106,2.98100686073303,84.2199809551239
0.02435,12177,0,153,2,148,58,6148,8584,106,0.0243501663208007,84.2199809551239
0.052256,22041,12,153,2,66,13,4890,5616,0,0.107363939285278,0.22142505645752
0.0,55930,0,153,2,450,1,408,450,408,0.0,0.0
0.000159,49153,10,153,2,54,13,4890,5616,0,0.0001590251922607,0.22142505645752
0.000141,49153,18,153,2,168,13,4890,5616,114,0.0001411437988281,0.22142505645752
0.108755,22041,10,153,2,54,13,4890,5616,0,0.108754873275757,0.22142505645752
0.0,22041,18,153,2,289,13,4890,5616,235,0.0,0.22142505645752
0.0,22041,10,153,2,1514,13,4890,5616,1460,0.0,0.22142505645752
0.0,22041,10,153,2,1514,13,4890,5616,1460,0.0,0.22142505645752
0.0,22041,10,153,2,1514,13,4890,5616,1460,0.0,0.22142505645752
0.0,22041,19,153,2,215,13,4890,5616,161,0.0,0.22142505645752
0.00014,49153,10,153,2,54,13,4890,5616,0,0.0001399517059326,0.22142505645752
0.000642,49153,11,153,2,54,13,4890,5616,0,0.0006420612335205,0.22142505645752
0.002022,49153,2,153,2,66,13,4447,5173,0,0.0,0.0126519203186035
0.002202,22041,10,153,2,54,13,4890,5616,0,0.0042240619659423,0.22142505645752
0.000713,22042,12,153,2,66,13,4447,5173,0,0.0029149055480957,0.0126519203186035
3.6e-05,49153,10,153,2,54,13,4447,5173,0,3.60012054443359e-05,0.0126519203186035
4.5e-05,49153,18,153,2,175,13,4447,5173,121,4.50611114501953e-05,0.0126519203186035
