Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,22017,14,3,2,127,1,73,127,73,0.0,0.0
0.450592,22039,18,3,2,267,4,600,816,213,0.0,2.78894400596619
0.120227,443,10,3,2,82,4,600,816,28,0.120227098464966,2.78894400596619
0.635835,12177,0,2,2,230,58,6148,16891,106,0.0,501.888865947723
0.068143,12177,0,2,2,397,58,6148,16891,106,0.0681431293487548,501.888865947723
1.934063,22039,11,3,2,180,4,600,816,126,2.6380410194397,2.78894400596619
0.030676,443,10,3,2,287,4,600,816,233,0.0306758880615234,2.78894400596619
0.485045,443,18,3,2,299,6,1319,1643,245,0.0,389.393571138382
0.299027,1056,18,4,2,338,6,1319,1643,284,0.29902720451355,389.393571138382
0.074244,443,10,4,2,241,6,1319,1643,187,0.0742440223693847,389.393571138382
0.647304,12177,0,4,2,168,58,6148,16891,106,3.47035884857178,501.888865947723
0.056389,12177,0,4,2,167,58,6148,16891,106,0.0563890933990478,501.888865947723
0.448778,1900,0,2,2,256,6,702,2132,117,0.0,8.21239304542542
0.330516,55930,0,2,2,701,1,408,701,408,0.0,0.0
0.505514,49771,10,3,2,86,16,1835,2723,32,0.0,494.562788963318
0.037106,80,10,3,2,232,16,1835,2723,178,0.0371060371398925,494.562788963318
0.816462,1900,0,3,2,391,6,702,2132,117,1.68959808349609,8.21239304542542
0.354116,55930,0,1,2,638,1,408,638,408,0.0,0.0
1.131429,1900,0,3,2,361,6,702,2132,117,1.48554491996765,8.21239304542542
0.153351,55930,0,3,2,517,1,408,517,408,0.0,0.0
0.3914,12177,0,3,2,172,58,6148,16891,106,4.16867208480835,501.888865947723
0.279151,12177,0,1,2,281,58,6148,16891,106,0.27915096282959,501.888865947723
0.772781,1900,0,2,2,345,6,702,2132,117,1.59668302536011,8.21239304542542
0.142796,55930,0,2,2,651,1,408,651,408,0.0,0.0
1.281675,1900,0,2,2,414,6,702,2132,117,1.42447113990784,8.21239304542542
0.308721,55930,0,2,2,694,1,408,694,408,0.0,0.0
0.319158,443,10,4,2,259,7,2102,2504,205,0.0,485.247281074524
0.22783,13948,10,4,2,78,7,2102,2504,12,0.227829933166504,485.247281074524
0.205929,443,10,4,2,113,16,11852,12740,59,0.0,485.474446058273
0.28565,13949,10,4,2,186,16,11852,12740,120,0.285650014877319,485.474446058273
0.668808,1900,0,3,2,365,6,702,2132,117,2.01609587669373,8.21239304542542
0.204933,49153,2,3,2,147,13,6676,7402,81,0.0,3.0630509853363
0.197026,12177,0,3,2,338,58,6148,16891,106,4.61530685424805,501.888865947723
0.252608,12177,0,4,2,213,58,6148,16891,106,0.252608060836792,501.888865947723
