Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,22017,14,3,2,193,1,139,193,139,0.0,0.0
0.432013,22039,18,3,2,160,4,429,645,106,0.0,2.92785310745239
0.218496,443,10,3,2,88,4,429,645,34,0.218496084213257,2.92785310745239
0.471817,12177,0,2,2,235,58,6148,16565,106,0.0,482.74204301834095
0.053097,12177,0,2,2,366,58,6148,16565,106,0.0530970096588134,482.74204301834095
1.97316,22039,11,3,2,230,4,429,645,176,2.49807405471802,2.92785310745239
0.211283,443,10,3,2,167,4,429,645,113,0.211282968521118,2.92785310745239
0.627139,443,18,3,2,204,6,693,1017,150,0.0,374.544872999191
0.323356,1056,18,2,2,116,6,693,1017,62,0.323355913162231,374.544872999191
0.241697,443,10,2,2,294,6,693,1017,240,0.241697072982788,374.544872999191
0.784595,12177,0,2,2,247,58,6148,16565,106,4.16123008728027,482.74204301834095
0.265844,12177,0,2,2,281,58,6148,16565,106,0.265843868255615,482.74204301834095
0.587104,1900,0,2,2,325,6,702,1938,117,0.0,8.56797289848328
0.231971,55930,0,2,2,502,1,408,502,408,0.0,0.0
0.596823,49771,10,2,2,307,16,2140,3028,253,0.0,474.269649028778
0.209258,80,10,2,2,109,16,2140,3028,55,0.20925784111023,474.269649028778
0.821095,1900,0,2,2,208,6,702,1938,117,1.8591468334198,8.56797289848328
0.188417,55930,0,2,2,512,1,408,512,408,0.0,0.0
1.309472,1900,0,2,2,342,6,702,1938,117,1.49788904190063,8.56797289848328
0.175706,55930,0,2,2,555,1,408,555,408,0.0,0.0
0.383088,12177,0,2,2,233,58,6148,16565,106,4.50293397903442,482.74204301834095
0.216976,12177,0,2,2,277,58,6148,16565,106,0.216976165771484,482.74204301834095
0.970375,1900,0,2,2,362,6,702,1938,117,1.74614500999451,8.56797289848328
0.276265,55930,0,2,2,602,1,408,602,408,0.0,0.0
1.243169,1900,0,1,2,334,6,702,1938,117,1.51943397521973,8.56797289848328
0.3341,55930,0,5,2,547,1,408,547,408,0.0,0.0
0.305527,443,10,5,2,72,7,2308,2710,18,0.0,464.58135008812
