Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,22017,14,3,2,269,1,215,269,215,0.0,0.0
0.491765,22039,18,3,2,283,4,404,620,229,0.0,2.60404801368713
0.034618,443,10,3,2,83,4,404,620,29,0.0346181392669677,2.60404801368713
0.502638,12177,0,2,2,295,58,6148,15821,106,0.0,408.75419306755106
0.128011,12177,0,2,2,231,58,6148,15821,106,0.128010988235474,408.75419306755106
1.934642,22039,11,3,2,67,4,404,620,13,2.56529092788696,2.60404801368713
0.004139,443,10,3,2,187,4,404,620,133,0.0041389465332031,2.60404801368713
0.694071,443,18,3,2,251,6,1096,1420,197,0.0,315.030894994736
0.323682,1056,18,4,2,150,6,1096,1420,96,0.323682069778442,315.030894994736
0.072517,443,10,4,2,103,6,1096,1420,49,0.072516918182373,315.030894994736
0.692529,12177,0,4,2,313,58,6148,15821,106,3.72158002853394,408.75419306755106
0.024881,12177,0,4,2,262,58,6148,15821,106,0.0248811244964599,408.75419306755106
0.382638,1900,0,2,2,168,6,702,1823,117,0.0,7.93028807640076
0.174478,55930,0,2,2,563,1,408,563,408,0.0,0.0
0.716533,49771,10,4,2,176,16,2305,3193,122,0.0,401.329282999039
0.010591,80,10,4,2,200,16,2305,3193,146,0.0105910301208496,401.329282999039
0.531369,1900,0,4,2,374,6,702,1823,117,1.43297100067139,7.93028807640076
0.269654,55930,0,4,2,511,1,408,511,408,0.0,0.0
1.112728,1900,0,4,2,289,6,702,1823,117,1.38238191604614,7.93028807640076
0.264341,55930,0,4,2,476,1,408,476,408,0.0,0.0
0.439105,12177,0,4,2,253,58,6148,15821,106,3.90143704414368,408.75419306755106
0.188806,12177,0,4,2,311,58,6148,15821,106,0.188805818557739,408.75419306755106
0.924005,1900,0,1,2,230,6,702,1823,117,1.81625699996948,7.93028807640076
0.22359,55930,0,1,2,552,1,408,552,408,0.0,0.0
1.033223,1900,0,3,2,394,6,702,1823,117,1.25681304931641,7.93028807640076
0.245492,55930,0,3,2,452,1,408,452,408,0.0,0.0
0.494039,443,10,3,2,289,7,2450,2852,235,0.0,392.889272928238
0.204745,13948,10,3,2,296,7,2450,2852,230,0.204745054244995,392.889272928238
