Delta time,Destination Port,Flags,Packets per Second,Label,length,total_packets,conversation_length,total_packet_length,TCP or UDP segment length,TCP or UDP stream time,Flow time
0.0,22017,14,3,2,193,1,139,193,139,0.0,0.0
0.436961,22039,18,3,2,543,4,1726,1942,489,0.0,2.96428513526917
0.235687,443,10,3,2,545,4,1726,1942,491,0.235687017440796,2.96428513526917
0.378947,12177,0,2,2,172,58,6148,25796,106,0.0,634.909449100494
0.372957,12177,0,2,2,452,58,6148,25796,106,0.372956991195679,634.909449100494
1.944492,22039,11,2,2,346,4,1726,1942,292,2.69639611244202,2.96428513526917
0.032202,443,10,2,2,508,4,1726,1942,454,0.0322020053863525,2.96428513526917
0.605449,443,18,3,2,369,6,2575,2899,315,0.0,495.758223056793
0.253054,1056,18,3,2,508,6,2575,2899,454,0.253053903579712,495.758223056793
0.09259,443,10,3,2,533,6,2575,2899,479,0.0925900936126709,495.758223056793
1.056956,12177,0,3,2,170,58,6148,25796,106,3.98474311828613,634.909449100494
0.085381,12177,0,3,2,195,58,6148,25796,106,0.0853810310363769,634.909449100494
0.292707,1900,0,3,2,371,6,702,2169,117,0.0,9.01672005653381
0.481206,55930,0,3,2,695,1,408,695,408,0.0,0.0
0.488657,49771,10,3,2,566,16,5014,5902,512,0.0,626.331825971603
0.107247,80,10,3,2,286,16,5014,5902,232,0.107247114181519,626.331825971603
0.691908,1900,0,1,2,285,6,702,2169,117,1.76901793479919,9.01672005653381
0.551027,55930,0,1,2,933,1,408,933,408,0.0,0.0
1.065662,1900,0,3,2,448,6,702,2169,117,1.6166889667511,9.01672005653381
0.190335,55930,0,3,2,957,1,408,957,408,0.0,0.0
0.306798,12177,0,3,2,609,58,6148,25796,106,4.17554688453674,634.909449100494
0.382902,12177,0,1,2,580,58,6148,25796,106,0.382902145385742,634.909449100494
1.104033,1900,0,2,2,526,6,702,2169,117,1.9840681552887,9.01672005653381
0.257755,55930,0,2,2,817,1,408,817,408,0.0,0.0
1.388296,1900,0,1,2,256,6,702,2169,117,1.64605093002319,9.01672005653381
0.199788,55930,0,4,2,681,1,408,681,408,0.0,0.0
0.362664,443,10,4,2,140,7,3936,4338,86,0.0,616.523189783096
0.144125,13948,10,4,2,642,7,3936,4338,576,0.144124984741211,616.523189783096
0.312562,443,10,4,2,282,16,14132,15020,228,0.0,616.769925832748
0.257725,13949,10,2,2,570,16,14132,15020,504,0.25772500038147,616.769925832748
0.72403,1900,0,2,2,283,6,702,2169,117,2.00089406967163,9.01672005653381
0.280248,49153,2,5,2,551,13,9035,9761,485,0.0,4.02539205551148
0.071484,12177,0,5,2,457,58,6148,25796,106,5.10271000862122,634.909449100494
0.288756,12177,0,5,2,489,58,6148,25796,106,0.288755893707275,634.909449100494
0.18938,22041,12,5,2,157,13,9035,9761,91,0.549619913101196,4.02539205551148
0.350136,55930,0,5,2,509,1,408,509,408,0.0,0.0
0.310052,49153,10,2,2,498,13,9035,9761,444,0.660187959671021,4.02539205551148
0.371941,49153,18,2,2,289,13,9035,9761,235,0.371941089630127,4.02539205551148
0.44665,22041,10,3,2,227,13,9035,9761,173,0.44665002822876,4.02539205551148
0.28868,22041,18,3,2,713,13,9035,9761,659,0.288680076599121,4.02539205551148
0.256493,22041,10,3,2,2097,13,9035,9761,2043,0.256492853164673,4.02539205551148
0.383538,22041,10,6,2,2048,13,9035,9761,1994,0.383538007736206,4.02539205551148
0.085481,22041,10,6,2,1621,13,9035,9761,1567,0.0854811668395996,4.02539205551148
0.385745,22041,19,6,2,526,13,9035,9761,472,0.38574481010437,4.02539205551148
0.091002,49153,10,6,2,483,13,9035,9761,429,0.0910019874572753,4.02539205551148
0.107269,49153,11,6,2,197,13,9035,9761,143,0.107269048690796,4.02539205551148
0.202964,49153,2,6,2,243,13,7237,7963,177,0.0,2.74994301795959
0.195821,22041,10,4,2,354,13,9035,9761,300,0.39878511428833,4.02539205551148
0.311364,22042,12,4,2,242,13,7237,7963,176,0.507184982299805,2.74994301795959
0.264155,49153,10,4,2,135,13,7237,7963,81,0.26415491104126,2.74994301795959
0.142885,49153,18,4,2,294,13,7237,7963,240,0.142884969711304,2.74994301795959
0.228522,22042,10,5,2,285,13,7237,7963,231,0.228522062301636,2.74994301795959
0.318223,22042,18,5,2,344,13,7237,7963,290,0.318222999572754,2.74994301795959
0.123124,22042,10,5,2,1825,13,7237,7963,1771,0.123124122619629,2.74994301795959
